term,estimate,p_value
Intercept,0.10675350012898158,4.2751682504200095e-07
C(method)[T.Real only],0.023754948554596426,0.4182858971993645
C(method)[T.SMOTE],-0.0345081978107704,0.24743524258786587
C(method)[T.SepAware-SMOTE],-0.0019222503139425529,0.948106609053609
C(overlap)[T.low],0.4280182497482713,2.639125489586773e-89
C(overlap)[T.moderate],0.20677327459435502,1.198655128347504e-20
C(classifier)[T.RandomForest],0.20697438681042724,3.7780050037743593e-119
C(method)[T.Real only]:C(overlap)[T.low],-0.015839168187146254,0.5949569409161829
C(method)[T.SMOTE]:C(overlap)[T.low],0.01798135282433356,0.5530050968152704
C(method)[T.SepAware-SMOTE]:C(overlap)[T.low],0.002553430071931314,0.932280669575369
C(method)[T.Real only]:C(overlap)[T.moderate],-0.007350010674291224,0.8123326316667498
C(method)[T.SMOTE]:C(overlap)[T.moderate],0.00653789313915695,0.8357074989900669
C(method)[T.SepAware-SMOTE]:C(overlap)[T.moderate],0.0020393327564293697,0.9475390017340266
prevalence,1.3134744487546728,2.5412802717223906e-53
C(method)[T.Real only]:prevalence,-0.024187518711823123,0.8407445772983241
C(method)[T.SMOTE]:prevalence,0.08315537524173994,0.4954069743680418
C(method)[T.SepAware-SMOTE]:prevalence,0.01226796259439215,0.9187508184147164
