prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.05,0.4,high,0,Real only,LogisticRegression,0.08686197599369391,0.48497854077253216,0.0
0.05,0.4,high,0,Real only,RandomForest,0.26619311116212424,0.48497854077253216,0.0
0.05,0.4,high,0,Random oversampling,LogisticRegression,0.06470067127758206,0.4344294034129799,0.1299638989169675
0.05,0.4,high,0,Random oversampling,RandomForest,0.17925993455465314,0.48409286328460877,0.0
0.05,0.4,high,0,SMOTE,LogisticRegression,0.06458093829037204,0.44086021505376344,0.13333333333333333
0.05,0.4,high,0,SMOTE,RandomForest,0.11450424064997619,0.5567375886524822,0.16666666666666666
0.05,0.4,high,0,SepAware-SMOTE,LogisticRegression,0.06931951872759742,0.4468777480872251,0.1214574898785425
0.05,0.4,high,0,SepAware-SMOTE,RandomForest,0.16574088715541016,0.5281535073922617,0.09090909090909091
0.05,0.4,high,1,Real only,LogisticRegression,0.1948696558317679,0.4845360824742268,0.0
0.05,0.4,high,1,Real only,RandomForest,0.2506146459585615,0.4845360824742268,0.0
0.05,0.4,high,1,Random oversampling,LogisticRegression,0.17824457533510005,0.478614936440678,0.1796875
0.05,0.4,high,1,Random oversampling,RandomForest,0.23022140750824863,0.4845360824742268,0.0
0.05,0.4,high,1,SMOTE,LogisticRegression,0.1554217664866246,0.48362503620922004,0.18326693227091634
0.05,0.4,high,1,SMOTE,RandomForest,0.12875830636017982,0.5271867612293144,0.1111111111111111
0.05,0.4,high,1,SepAware-SMOTE,LogisticRegression,0.1760805216604285,0.5018410223088585,0.19298245614035087
0.05,0.4,high,1,SepAware-SMOTE,RandomForest,0.1708078636585489,0.531211448309894,0.09523809523809523
0.05,0.4,high,2,Real only,LogisticRegression,0.16949951758371357,0.5108252559108615,0.05263157894736842
0.05,0.4,high,2,Real only,RandomForest,0.3823909005797731,0.4854202401372213,0.0
0.05,0.4,high,2,Random oversampling,LogisticRegression,0.11434156469535865,0.5009821096777619,0.19658119658119658
0.05,0.4,high,2,Random oversampling,RandomForest,0.4538366866893135,0.5923543799257178,0.21052631578947367
0.05,0.4,high,2,SMOTE,LogisticRegression,0.11723968552692529,0.5091491456329527,0.19909502262443438
0.05,0.4,high,2,SMOTE,RandomForest,0.33708408690212266,0.6253746253746253,0.2857142857142857
0.05,0.4,high,2,SepAware-SMOTE,LogisticRegression,0.12132273754237177,0.5327007029985038,0.21649484536082475
0.05,0.4,high,2,SepAware-SMOTE,RandomForest,0.4286832309965411,0.6120689655172413,0.25
0.05,0.4,high,3,Real only,LogisticRegression,0.1014559642500052,0.48497854077253216,0.0
0.05,0.4,high,3,Real only,RandomForest,0.42426430408022864,0.5651780052540991,0.15789473684210525
0.05,0.4,high,3,Random oversampling,LogisticRegression,0.107610801021972,0.4916336590272589,0.1976284584980237
0.05,0.4,high,3,Random oversampling,RandomForest,0.36797381273883506,0.6085776215829457,0.24390243902439024
0.05,0.4,high,3,SMOTE,LogisticRegression,0.10296868027056129,0.4823927258924412,0.17355371900826447
0.05,0.4,high,3,SMOTE,RandomForest,0.368112462719557,0.6628371628371629,0.35714285714285715
0.05,0.4,high,3,SepAware-SMOTE,LogisticRegression,0.0999757764375468,0.49136970676087716,0.18025751072961374
