prevalence,class_sep,overlap,method,classifier,auprc_mean,auprc_sd,macro_f1_mean,minority_f1_mean
0.05,0.4,high,Random oversampling,LogisticRegression,0.10429156913481105,0.037274628124907803,0.4533019666032409,0.1470277657313462
0.05,0.4,high,Random oversampling,RandomForest,0.2840626521611046,0.09600640055253978,0.5374974950435881,0.104614855089823
0.05,0.4,high,Real only,LogisticRegression,0.12575935694409385,0.04382438336894802,0.4900589365839266,0.010526315789473684
0.05,0.4,high,Real only,RandomForest,0.3031865864170979,0.09483627199886872,0.5063889400747984,0.04242015294646874
0.05,0.4,high,SMOTE,LogisticRegression,0.10193315460898392,0.028629517015656566,0.45394198834210686,0.14291227453849856
0.05,0.4,high,SMOTE,RandomForest,0.21964719141754224,0.09142273627399032,0.5953065687999939,0.23183052207890512
0.05,0.4,high,SepAware-SMOTE,LogisticRegression,0.10655390938470088,0.034512686555167066,0.47248312739330955,0.1522700655488473
0.05,0.4,high,SepAware-SMOTE,RandomForest,0.2731503256533102,0.09853362657275645,0.5629993894252725,0.15612541868355823
0.05,1.0,moderate,Random oversampling,LogisticRegression,0.2773642796749368,0.11879137312354833,0.5418639401744751,0.24316037681461253
0.05,1.0,moderate,Random oversampling,RandomForest,0.5602372122122863,0.11325133086864254,0.690331670623543,0.4050443622802077
0.05,1.0,moderate,Real only,LogisticRegression,0.3272963171157842,0.1323410928862822,0.568444027350233,0.16597577797577798
0.05,1.0,moderate,Real only,RandomForest,0.5331831218132301,0.1198044275196475,0.5827033865087243,0.19290031950494083
0.05,1.0,moderate,SMOTE,LogisticRegression,0.27202811480233535,0.1155126053769445,0.5497165418492105,0.25030090351835577
0.05,1.0,moderate,SMOTE,RandomForest,0.49662419985524436,0.12383282389296445,0.7336504220866649,0.49678964431001604
0.05,1.0,moderate,SepAware-SMOTE,LogisticRegression,0.2924535084706701,0.1229152611206062,0.592075475403729,0.2949843728816567
0.05,1.0,moderate,SepAware-SMOTE,RandomForest,0.5374900128565272,0.10595204036485428,0.6856913433673,0.3968395322198
0.05,2.0,low,Random oversampling,LogisticRegression,0.6560288953129872,0.14700489716242043,0.6667149549153117,0.4136103504866616
0.05,2.0,low,Random oversampling,RandomForest,0.8234202200462815,0.06326779655262077,0.8996035363553831,0.809577299936036
0.05,2.0,low,Real only,LogisticRegression,0.6864919791350952,0.13318950532487908,0.8005942710013629,0.6187148171490361
0.05,2.0,low,Real only,RandomForest,0.8119248208266724,0.06753092026735223,0.8672954655795285,0.7471916279121655
0.05,2.0,low,SMOTE,LogisticRegression,0.6515496621139192,0.1436676411771156,0.6715864626954468,0.41900508825760047
0.05,2.0,low,SMOTE,RandomForest,0.8122692182986114,0.06879533369679963,0.8954758300220546,0.8026022236856797
0.05,2.0,low,SepAware-SMOTE,LogisticRegression,0.6751744306016639,0.1413965942456941,0.7632151579054384,0.5644775393701023
0.05,2.0,low,SepAware-SMOTE,RandomForest,0.8139885168585881,0.06950158541586626,0.8916797811471551,0.7944259718457951
0.15,0.4,high,Random oversampling,LogisticRegression,0.26835905156112466,0.05033504408163986,0.5300731349258458,0.33227168022055387
0.15,0.4,high,Random oversampling,RandomForest,0.6603547811031387,0.08273077216520172,0.7353866552917012,0.5345504293539977
0.15,0.4,high,Real only,LogisticRegression,0.3297668752452386,0.08920555948618915,0.4950908460803508,0.07300630798373955
0.15,0.4,high,Real only,RandomForest,0.6463407014729711,0.08072848241489831,0.6268869877977715,0.3250012554993325
0.15,0.4,high,SMOTE,LogisticRegression,0.2729221606307621,0.06192111421524854,0.5323678636854483,0.331737748304482
0.15,0.4,high,SMOTE,RandomForest,0.6174061078855722,0.093634478960458,0.7435586967609843,0.5638797789144654
0.15,0.4,high,SepAware-SMOTE,LogisticRegression,0.2952237007129045,0.06556910244310363,0.5483405864369819,0.3361385578642418
0.15,0.4,high,SepAware-SMOTE,RandomForest,0.6423765082363936,0.09016264931412689,0.729663632913564,0.5251844099746371
0.15,1.0,moderate,Random oversampling,LogisticRegression,0.545000114835714,0.1508488573970947,0.6683780248693021,0.5014732755062947
0.15,1.0,moderate,Random oversampling,RandomForest,0.8232779359517289,0.06898024759856194,0.8603842724146016,0.7606342859987298
0.15,1.0,moderate,Real only,LogisticRegression,0.5826068138996575,0.1419004145944063,0.6857296681504581,0.43966342865813884
0.15,1.0,moderate,Real only,RandomForest,0.8199329744915556,0.0763586441656683,0.8054680914579484,0.6579670618731541
0.15,1.0,moderate,SMOTE,LogisticRegression,0.5437216745802846,0.1583462291574468,0.6719251824523736,0.5045161194606389
0.15,1.0,moderate,SMOTE,RandomForest,0.8112319213262023,0.06982764029884475,0.8549121439285056,0.7551807678017706
0.15,1.0,moderate,SepAware-SMOTE,LogisticRegression,0.5680836284129333,0.14870115555863003,0.6980810018437725,0.5271937160700124
0.15,1.0,moderate,SepAware-SMOTE,RandomForest,0.8093630754721157,0.07852433942731445,0.8451684679603024,0.7329653994231429
0.15,2.0,low,Random oversampling,LogisticRegression,0.8442367881749984,0.08527366219787381,0.8383456613409155,0.7411052782999634
0.15,2.0,low,Random oversampling,RandomForest,0.9380334021003074,0.017322815742284923,0.9525989166506481,0.9197729114617503
0.15,2.0,low,Real only,LogisticRegression,0.8499534335102814,0.07920711761473154,0.8776115958256826,0.7889814017341821
0.15,2.0,low,Real only,RandomForest,0.9358067156740149,0.018556697588874387,0.9459780974631531,0.9078907177431285
0.15,2.0,low,SMOTE,LogisticRegression,0.8432699995093198,0.0875102248687936,0.8401053215729586,0.7429037074080748
0.15,2.0,low,SMOTE,RandomForest,0.9380213610425348,0.0178384948907418,0.9507275831591739,0.9167463172994404
0.15,2.0,low,SepAware-SMOTE,LogisticRegression,0.8492726841127778,0.08102068177655311,0.8632329193892302,0.7752006571686632
0.15,2.0,low,SepAware-SMOTE,RandomForest,0.9368465623351131,0.018374832647525527,0.9485834217020562,0.9125533323532125
0.3,0.4,high,Random oversampling,LogisticRegression,0.44121598013991986,0.07914946915019774,0.5902172878896178,0.49201633759212643
0.3,0.4,high,Random oversampling,RandomForest,0.8166345758597509,0.0435873542625357,0.8101556603303205,0.7273809341802974
0.3,0.4,high,Real only,LogisticRegression,0.46947376096613763,0.08215352936047395,0.5302379924710703,0.2362577688758881
0.3,0.4,high,Real only,RandomForest,0.8187335015300652,0.04410366429660544,0.7751152488400251,0.6604600081652513
0.3,0.4,high,SMOTE,LogisticRegression,0.4429593874611176,0.08281804138912946,0.5856386394828379,0.48465117862136486
0.3,0.4,high,SMOTE,RandomForest,0.7961567963329799,0.05412792254228297,0.802921591336973,0.7241686056787254
0.3,0.4,high,SepAware-SMOTE,LogisticRegression,0.45374845118932194,0.07952096882688203,0.5895075393638252,0.4810805355879489
0.3,0.4,high,SepAware-SMOTE,RandomForest,0.804600175493946,0.04533364699822063,0.7951520716564545,0.7024690989376022
0.3,1.0,moderate,Random oversampling,LogisticRegression,0.6991473084782412,0.13590477068831125,0.7464149679674716,0.6707260658656025
0.3,1.0,moderate,Random oversampling,RandomForest,0.9105314063730706,0.04775203417526292,0.8894175222041542,0.8449302559712709
0.3,1.0,moderate,Real only,LogisticRegression,0.7174872805018377,0.1300428491845745,0.741452886328523,0.6163607478559063
0.3,1.0,moderate,Real only,RandomForest,0.9092938582739171,0.04816879348606522,0.878039845023481,0.8236708905522082
0.3,1.0,moderate,SMOTE,LogisticRegression,0.7037615831138133,0.13513423981147663,0.7450615245569189,0.6680486727108087
0.3,1.0,moderate,SMOTE,RandomForest,0.9035243110601474,0.0485301361187764,0.8848666845545965,0.8398204514094527
