dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Vigitel,0,0,42,42,Real only,4000,1000,0.17025,0.17,LogisticRegression,0.45325314379442316,0.0,0.0,0.0,0.49939759036144576,0.26365824637065427,0.6519525159461376,0.13546027058947713,-0.17871972200443934,0.9031947955438263
Vigitel,0,0,42,42,Real only,4000,1000,0.17025,0.17,RandomForest,0.46385017556582403,0.022598870056497175,0.2857142857142857,0.011764705882352941,0.5028703047484054,0.2777851445666994,0.6712650602409638,0.13449428054821272,-0.3011658105227975,0.8012308295582682
Vigitel,0,0,42,42,Real only,4000,1000,0.17025,0.17,CatBoost,0.4801677969994802,0.054945054945054944,0.4166666666666667,0.029411764705882353,0.5104890148830616,0.2944750764142525,0.6832778171509567,0.1332143102521306,-0.22335852125442532,0.8560853337897679
Vigitel,0,0,42,42,Class weighting,4000,1000,0.17025,0.17,LogisticRegression,0.5631666127989657,0.3639705882352941,0.2647058823529412,0.5823529411764706,0.6255138199858257,0.2682687993578906,0.6603295535081504,0.23446987646643833,-1.6136240968225541,0.906098093019875
Vigitel,0,0,42,42,Class weighting,4000,1000,0.17025,0.17,RandomForest,0.5709794928197568,0.271523178807947,0.3106060606060606,0.2411764705882353,0.5657689581856838,0.2690712918341366,0.6688483345145286,0.16183228415694745,-1.0376530400729442,0.7628107798266763
Vigitel,0,0,42,42,Class weighting,4000,1000,0.17025,0.17,CatBoost,0.5572747043747324,0.3717728055077453,0.26277372262773724,0.6352941176470588,0.6351169383416017,0.28844203905525334,0.6794790928419561,0.21492669605399575,-1.484100563582833,0.7744356064319017
Vigitel,0,0,42,42,Random oversampling,6638,1000,0.5,0.17,LogisticRegression,0.5611364789446982,0.3592592592592593,0.26216216216216215,0.5705882352941176,0.6208362863217576,0.27128171922267685,0.660797306874557,0.2344894185267116,-1.6153089063675805,0.9123876768923329
Vigitel,0,0,42,42,Random oversampling,6638,1000,0.5,0.17,RandomForest,0.5755480136890205,0.2949852507374631,0.2958579881656805,0.29411764705882354,0.5753720765414599,0.2712845664625009,0.660272856130404,0.1691988208762969,-1.1441562269747134,0.6555835818428833
Vigitel,0,0,42,42,Random oversampling,6638,1000,0.5,0.17,CatBoost,0.562330496586552,0.3675675675675676,0.2649350649350649,0.6,0.6295180722891567,0.2839316523063391,0.6701169383416017,0.21027857945897893,-1.4422394852669949,0.6730411471829195
Vigitel,0,0,42,42,Random undersampling,1362,1000,0.5,0.17,LogisticRegression,0.5570162196407624,0.36298932384341637,0.2602040816326531,0.6,0.6253012048192771,0.2571683791682684,0.6506839121190645,0.23598706231665004,-1.6032728200024078,0.8526307043748038
