dataset,repeat,fold,condition,generator_seed,generator_seconds,sampling_strategy,minority_coverage_distance,minority_diversity,exact_match_rate,membership_auc
Vigitel,0,0,Standard CTGAN,10042,7.6454758644104,outcome-conditional rejection sampling,2.0291285789829625,5.7244309443164445,0.0,0.489256625
Vigitel,0,0,SepAware CTGAN,10042,7.8400719165802,outcome-conditional rejection sampling,1.7327821807959896,4.582570772622236,0.0,0.5005798749999999
Vigitel,0,0,Standard TVAE,20042,1.52996826171875,minority-conditional TVAE,3.947828430291968,1.1156792327536647,0.0,0.49098800000000004
Vigitel,0,0,SepAware TVAE,20042,1.5856881141662598,minority-conditional TVAE,4.365333028994632,0.11367737646465012,0.0,0.49339487500000007
Vigitel,0,1,Standard CTGAN,10079,7.8258490562438965,outcome-conditional rejection sampling,1.9271784166857047,5.487134367833969,0.0,0.50259425
Vigitel,0,1,SepAware CTGAN,10079,8.004432201385498,outcome-conditional rejection sampling,1.7526489756418107,4.310326525161112,0.0,0.51972775
Vigitel,0,1,Standard TVAE,20079,1.6109120845794678,minority-conditional TVAE,3.814222161102003,1.3499557108380544,0.0,0.500960625
Vigitel,0,1,SepAware TVAE,20079,1.6694321632385254,minority-conditional TVAE,4.145819102298672,0.12574432578860778,0.0,0.499714625
Vigitel,0,2,Standard CTGAN,10116,7.254031658172607,outcome-conditional rejection sampling,2.080665989531413,5.589530837628104,0.0,0.503207625
Vigitel,0,2,SepAware CTGAN,10116,7.434333801269531,outcome-conditional rejection sampling,1.7956597637826974,4.34260512670822,0.0,0.50765675
Vigitel,0,2,Standard TVAE,20116,1.6219658851623535,minority-conditional TVAE,3.9173576372750536,1.359540116626975,0.0,0.49430412500000004
Vigitel,0,2,SepAware TVAE,20116,1.6882221698760986,minority-conditional TVAE,4.298013160651707,0.11330361008474353,0.0,0.4922925
Vigitel,0,3,Standard CTGAN,10153,8.29876708984375,outcome-conditional rejection sampling,2.0507316742865274,5.687184472864782,0.0,0.510744
Vigitel,0,3,SepAware CTGAN,10153,8.489964008331299,outcome-conditional rejection sampling,1.7539759088116218,4.305496830677559,0.0,0.516221375
Vigitel,0,3,Standard TVAE,20153,1.5164530277252197,minority-conditional TVAE,4.058548606904388,1.5071119710962022,0.0,0.507535875
Vigitel,0,3,SepAware TVAE,20153,1.5783851146697998,minority-conditional TVAE,4.280798164960101,0.09694999072847084,0.0,0.5085385
Vigitel,0,4,Standard CTGAN,10190,7.978523015975952,outcome-conditional rejection sampling,1.9109901289371707,5.4919903546289275,0.0,0.5053242499999999
Vigitel,0,4,SepAware CTGAN,10190,8.158397197723389,outcome-conditional rejection sampling,1.5896908449382134,4.397386175130158,0.0,0.513340375
Vigitel,0,4,Standard TVAE,20190,1.5403480529785156,minority-conditional TVAE,3.79713508756769,1.301006998179834,0.0,0.50806275
Vigitel,0,4,SepAware TVAE,20190,1.6053929328918457,minority-conditional TVAE,4.02921079056911,0.31323375900366246,0.0,0.508831
Vigitel,1,0,Standard CTGAN,11042,9.101050853729248,outcome-conditional rejection sampling,1.963802769118924,5.587071202091608,0.0,0.505440875
Vigitel,1,0,SepAware CTGAN,11042,9.280933856964111,outcome-conditional rejection sampling,1.7305973941128319,4.236953555782291,0.0,0.511588625
Vigitel,1,0,Standard TVAE,21042,1.5449681282043457,minority-conditional TVAE,3.870093196666324,1.2993409269929974,0.0,0.5021282499999999
Vigitel,1,0,SepAware TVAE,21042,1.609450340270996,minority-conditional TVAE,3.9082415111566573,0.1361920082243642,0.0,0.50261075
Vigitel,1,1,Standard CTGAN,11079,7.369731187820435,outcome-conditional rejection sampling,1.9886913184487713,5.4655674331746695,0.0,0.50215875
Vigitel,1,1,SepAware CTGAN,11079,7.556794166564941,outcome-conditional rejection sampling,1.6838041797756331,4.1955443841228295,0.0,0.5093551249999999
Vigitel,1,1,Standard TVAE,21079,1.551391839981079,minority-conditional TVAE,3.7601957346500043,1.627451524293616,0.0,0.495826
Vigitel,1,1,SepAware TVAE,21079,1.6118319034576416,minority-conditional TVAE,4.19376108758029,0.10566982478764139,0.0,0.496468875
Vigitel,1,2,Standard CTGAN,11116,8.343762874603271,outcome-conditional rejection sampling,2.13716108285144,5.428766520303181,0.0,0.521327125
Vigitel,1,2,SepAware CTGAN,11116,8.525861978530884,outcome-conditional rejection sampling,1.8626141670189147,4.398931305318504,0.0,0.5345495
Vigitel,1,2,Standard TVAE,21116,1.5571630001068115,minority-conditional TVAE,4.0958120092714,0.9625940557705815,0.0,0.522943125
Vigitel,1,2,SepAware TVAE,21116,1.6092140674591064,minority-conditional TVAE,4.500226674774522,0.06560604767082447,0.0,0.5225022500000001
Vigitel,1,3,Standard CTGAN,11153,7.350980281829834,outcome-conditional rejection sampling,1.880939662190175,5.3596657856566505,0.0,0.49661825000000004
Vigitel,1,3,SepAware CTGAN,11153,7.545406103134155,outcome-conditional rejection sampling,1.5286158701074501,4.284028917227521,0.0,0.49888912500000004
Vigitel,1,3,Standard TVAE,21153,1.5538890361785889,minority-conditional TVAE,3.7522543989459645,1.3759351117374017,0.0,0.491961875
Vigitel,1,3,SepAware TVAE,21153,1.6118450164794922,minority-conditional TVAE,4.17306876523214,0.08380201683642821,0.0,0.492650625
Vigitel,1,4,Standard CTGAN,11190,11.584991931915283,outcome-conditional rejection sampling,2.036215359603493,5.464255476417679,0.0,0.48038925000000005
Vigitel,1,4,SepAware CTGAN,11190,11.773262023925781,outcome-conditional rejection sampling,1.8193554810329817,4.247203142914416,0.0,0.505050125
Vigitel,1,4,Standard TVAE,21190,1.8201186656951904,minority-conditional TVAE,3.9944997348115145,1.2094529303019015,0.0,0.4903825
Vigitel,1,4,SepAware TVAE,21190,1.8801488876342773,minority-conditional TVAE,4.4105551861851335,0.07563909578209718,0.0,0.48582087499999993
