condition,model,fold,macro_f1
baseline,CatBoost,1,0.47871853546910753
baseline,XGBoost,1,0.6013729977116704
baseline,CatBoost,2,0.49242424242424243
baseline,XGBoost,2,0.45616883116883117
baseline,CatBoost,3,0.46659743856005537
baseline,XGBoost,3,0.4344954128440367
baseline,CatBoost,4,0.5379310344827586
baseline,XGBoost,4,0.48764705882352943
baseline,CatBoost,5,0.3944954128440367
baseline,XGBoost,5,0.4
ctgan_standard,CatBoost,1,0.548406862745098
ctgan_standard,XGBoost,1,0.6013153773880363
ctgan_standard,CatBoost,2,0.48574561403508776
ctgan_standard,XGBoost,2,0.4779220779220779
ctgan_standard,CatBoost,3,0.45528455284552843
ctgan_standard,XGBoost,3,0.45928099779897286
ctgan_standard,CatBoost,4,0.6079787234042553
ctgan_standard,XGBoost,4,0.524822695035461
ctgan_standard,CatBoost,5,0.533695652173913
ctgan_standard,XGBoost,5,0.5642256902761105
dacpf_age,CatBoost,1,0.5379310344827586
dacpf_age,XGBoost,1,0.5593485750078296
dacpf_age,CatBoost,2,0.6326118326118326
dacpf_age,XGBoost,2,0.548406862745098
dacpf_age,CatBoost,3,0.45862357202563386
dacpf_age,XGBoost,3,0.46825396825396826
dacpf_age,CatBoost,4,0.5479082321187584
dacpf_age,XGBoost,4,0.4798136645962733
dacpf_age,CatBoost,5,0.4516215491825248
dacpf_age,XGBoost,5,0.4358974358974359
dacpf_disease,CatBoost,1,0.6134615384615385
dacpf_disease,XGBoost,1,0.5820183486238533
dacpf_disease,CatBoost,2,0.5485175202156334
dacpf_disease,XGBoost,2,0.5593485750078296
dacpf_disease,CatBoost,3,0.49744974497449745
dacpf_disease,XGBoost,3,0.46825396825396826
dacpf_disease,CatBoost,4,0.6079787234042553
dacpf_disease,XGBoost,4,0.49042748492001054
dacpf_disease,CatBoost,5,0.6178660049627791
dacpf_disease,XGBoost,5,0.5695652173913044
dacpf_combined,CatBoost,1,0.5593631014191762
dacpf_combined,XGBoost,1,0.5705128205128205
dacpf_combined,CatBoost,2,0.6180618061806181
dacpf_combined,XGBoost,2,0.5819376026272578
dacpf_combined,CatBoost,3,0.42014162077104644
dacpf_combined,XGBoost,3,0.5117408906882591
dacpf_combined,CatBoost,4,0.5479082321187584
dacpf_combined,XGBoost,4,0.45528455284552843
dacpf_combined,CatBoost,5,0.48264277715565507
dacpf_combined,XGBoost,5,0.48264277715565507
