Condition,Model,Mean F1,+/- 95% CI,Delta vs Baseline,Delta vs Std CTGAN,_mean,_delta_bl,_delta_ctgan
baseline,CatBoost,0.4740,0.0646,+0.0000,-0.0522,0.4740333327560401,0.0,-0.052188948284736414
baseline,XGBoost,0.4759,0.0957,+0.0000,-0.0496,0.47593686010961356,0.0,-0.04957650757451815
ctgan_standard,CatBoost,0.5262,0.0732,+0.0522,+0.0000,0.5262222810407765,0.052188948284736414,0.0
ctgan_standard,XGBoost,0.5255,0.0732,+0.0496,+0.0000,0.5255133676841317,0.04957650757451815,0.0
dacpf_age,CatBoost,0.5257,0.0922,+0.0517,-0.0005,0.5257392440843016,0.05170591132826152,-0.00048303695647489153
dacpf_age,XGBoost,0.4983,0.0662,+0.0224,-0.0272,0.49834410130012097,0.02240724119050741,-0.027169266384010737
dacpf_combined,CatBoost,0.5256,0.0945,+0.0516,-0.0006,0.5256235075290508,0.051590174773010755,-0.0005987735117256587
dacpf_combined,XGBoost,0.5204,0.0681,+0.0445,-0.0051,0.5204237287659041,0.04448686865629059,-0.005089638918227557
dacpf_disease,CatBoost,0.5771,0.0654,+0.1030,+0.0508,0.5770547064037407,0.10302137364770059,0.05083242536296417
dacpf_disease,XGBoost,0.5339,0.0634,+0.0580,+0.0084,0.5339227188393931,0.05798585872977957,0.008409351155261424
