dataset_group,fold,dataset,Macro_F1,sep_on,anchor_on,lambda_sep,lambda_anchor,A_sep,B_anchor,AB,condition_label,response,log_response
covid,1,S0_A0_realism_only,0.5298245614035088,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.5298245614035088,-0.6352093434537263
covid,1,S0_A1_anchor_only,0.568085018657101,0,1,0.0,0.5,-1,1,-1,B anchor,0.568085018657101,-0.5654841907276963
covid,1,S1_A0_sep_only,0.45881579703482356,1,0,1.0,0.0,1,-1,-1,A separability,0.45881579703482356,-0.7791064631190872
covid,1,S1_A1_sep_anchor,0.5516784286050341,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.5516784286050341,-0.5947899593321663
covid,2,S0_A0_realism_only,0.4410754355444621,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.4410754355444621,-0.818539362507265
covid,2,S0_A1_anchor_only,0.5298245614035088,0,1,0.0,0.5,-1,1,-1,B anchor,0.5298245614035088,-0.6352093434537263
covid,2,S1_A0_sep_only,0.4384284696784697,1,0,1.0,0.0,1,-1,-1,A separability,0.4384284696784697,-0.8245586054968261
covid,2,S1_A1_sep_anchor,0.47065395434960655,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.47065395434960655,-0.7536321591340377
covid,3,S0_A0_realism_only,0.5151468908358726,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.5151468908358726,-0.6633031940632721
covid,3,S0_A1_anchor_only,0.5604072398190045,0,1,0.0,0.5,-1,1,-1,B anchor,0.5604072398190045,-0.5790915455823843
covid,3,S1_A0_sep_only,0.5374988549636722,1,0,1.0,0.0,1,-1,-1,A separability,0.5374988549636722,-0.620828649282733
covid,3,S1_A1_sep_anchor,0.47290689222794224,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.47290689222794224,-0.7488567550508146
covid,4,S0_A0_realism_only,0.4643606817519861,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.4643606817519861,-0.7670936973593913
covid,4,S0_A1_anchor_only,0.4416895395595037,0,1,0.0,0.5,-1,1,-1,B anchor,0.4416895395595037,-0.8171480428889647
covid,4,S1_A0_sep_only,0.4920020442633982,1,0,1.0,0.0,1,-1,-1,A separability,0.4920020442633982,-0.709272407491554
covid,4,S1_A1_sep_anchor,0.5073739245250872,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.5073739245250872,-0.6785070235098013
covid,5,S0_A0_realism_only,0.6312791783380018,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.6312791783380018,-0.4600070763511166
covid,5,S0_A1_anchor_only,0.5384266769627046,0,1,0.0,0.5,-1,1,-1,B anchor,0.5384266769627046,-0.6191039532856765
covid,5,S1_A0_sep_only,0.49437352860895967,1,0,1.0,0.0,1,-1,-1,A separability,0.49437352860895967,-0.7044639167297104
covid,5,S1_A1_sep_anchor,0.6160659874718019,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.6160659874718019,-0.48440119866666576
vigitel,1,S0_A0_realism_only,0.4983735141215456,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.4983735141215456,-0.6964054547316727
vigitel,1,S0_A1_anchor_only,0.5013888755281661,0,1,0.0,0.5,-1,1,-1,B anchor,0.5013888755281661,-0.6903732803246453
vigitel,1,S1_A0_sep_only,0.5995594820371958,1,0,1.0,0.0,1,-1,-1,A separability,0.5995594820371958,-0.5115600900249858
vigitel,1,S1_A1_sep_anchor,0.6046168413086834,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.6046168413086834,-0.5031603417341528
vigitel,2,S0_A0_realism_only,0.46673645861044166,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.46673645861044166,-0.761990509063774
vigitel,2,S0_A1_anchor_only,0.4776872271564667,0,1,0.0,0.5,-1,1,-1,B anchor,0.4776872271564667,-0.7387990971549834
vigitel,2,S1_A0_sep_only,0.5951978060450461,1,0,1.0,0.0,1,-1,-1,A separability,0.5951978060450461,-0.5188614815502802
vigitel,2,S1_A1_sep_anchor,0.5982524991129937,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.5982524991129937,-0.513742374830054
vigitel,3,S0_A0_realism_only,0.4734206879741486,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.4734206879741486,-0.747770882024516
vigitel,3,S0_A1_anchor_only,0.4965074096744279,0,1,0.0,0.5,-1,1,-1,B anchor,0.4965074096744279,-0.700156871792704
vigitel,3,S1_A0_sep_only,0.6053766689608687,1,0,1.0,0.0,1,-1,-1,A separability,0.6053766689608687,-0.5019044213583629
vigitel,3,S1_A1_sep_anchor,0.5932376321106415,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.5932376321106415,-0.5221602315689716
vigitel,4,S0_A0_realism_only,0.4534025281813646,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.4534025281813646,-0.7909749648736047
vigitel,4,S0_A1_anchor_only,0.4591486824222174,0,1,0.0,0.5,-1,1,-1,B anchor,0.4591486824222174,-0.7783811945287761
vigitel,4,S1_A0_sep_only,0.5597046945883073,1,0,1.0,0.0,1,-1,-1,A separability,0.5597046945883073,-0.5803459654331901
vigitel,4,S1_A1_sep_anchor,0.5557530773877808,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.5557530773877808,-0.5874311887932328
vigitel,5,S0_A0_realism_only,0.4605379290241992,0,0,0.0,0.0,-1,-1,1,(1) realism only,0.4605379290241992,-0.7753600618051787
vigitel,5,S0_A1_anchor_only,0.46278549910316913,0,1,0.0,0.5,-1,1,-1,B anchor,0.46278549910316913,-0.770491617119862
vigitel,5,S1_A0_sep_only,0.534620316789892,1,0,1.0,0.0,1,-1,-1,A separability,0.534620316789892,-0.6261984722772344
vigitel,5,S1_A1_sep_anchor,0.5277541200858169,1,1,1.0,0.5,1,1,1,AB separability + anchor,0.5277541200858169,-0.6391247853949018
