dataset_group,dataset,anchor,anchor_mean_abs_corr_delta_mean,anchor_target_corr_delta_mean,anchor_target_corr_real_mean,anchor_target_corr_synthetic_mean
covid,S0_A0_realism_only,comorb_cirrose,0.06231466570733505,0.19920264065738014,0.18507815029049413,-0.014124490366886028
covid,S0_A0_realism_only,idade,0.12937735044576915,0.18359252927495115,0.21851235457198676,0.03491982529703559
covid,S0_A0_realism_only,sexo,0.08864934022710694,0.08187781423503268,0.017022642213490945,0.0013323698859053546
covid,S0_A0_realism_only,tabagismo,0.06652926349475398,0.13159568890391823,0.14137764459368868,0.00978195568977042
covid,S0_A1_anchor_only,comorb_cirrose,0.06065139079058076,0.15369668172349965,0.18507815029049413,0.031381468566994454
covid,S0_A1_anchor_only,idade,0.12788362761445043,0.16048559978868476,0.21851235457198676,0.05802675478330197
covid,S0_A1_anchor_only,sexo,0.0928954065029311,0.0704094854899713,0.017022642213490945,0.007284154326757835
covid,S0_A1_anchor_only,tabagismo,0.06347663320834049,0.04413377845673422,0.14137764459368868,0.11853292950939247
covid,S1_A0_sep_only,comorb_cirrose,0.06233148170213041,0.12773211962068884,0.18507815029049413,0.05734603066980528
covid,S1_A0_sep_only,idade,0.12741923581824954,0.13394832043586585,0.21851235457198676,0.34184927686519734
covid,S1_A0_sep_only,sexo,0.09604344213223885,0.08444393088651209,0.017022642213490945,0.029906596496970063
covid,S1_A0_sep_only,tabagismo,0.06438448043471964,0.09371215593545737,0.14137764459368868,0.14899659183787733
covid,S1_A1_sep_anchor,comorb_cirrose,0.06172484081492382,0.0700251189262587,0.18507815029049413,0.11920800687347562
covid,S1_A1_sep_anchor,idade,0.12786046823911412,0.15762343189749015,0.21851235457198676,0.3761357864694769
covid,S1_A1_sep_anchor,sexo,0.0977968777996621,0.07832879029299329,0.017022642213490945,0.023948250404133176
covid,S1_A1_sep_anchor,tabagismo,0.06629328719456995,0.09420470155991491,0.14137764459368868,0.23437827421816695
covid,Standard_CTGAN,comorb_cirrose,0.0791074609301464,0.21166011605240564,0.18507815029049413,-0.02658196576191154
covid,Standard_CTGAN,idade,0.1424442868831391,0.23993520452443926,0.21851235457198676,-0.021422849952452538
covid,Standard_CTGAN,sexo,0.1018973893158246,0.06435598812618668,0.017022642213490945,-0.01373671621665086
covid,Standard_CTGAN,tabagismo,0.08384026471658479,0.11877961985002965,0.14137764459368868,0.02259802474365902
vigitel,S0_A0_realism_only,age,0.11262861783493208,0.10294431291364788,0.105778902208495,0.002834589294847115
vigitel,S0_A0_realism_only,ati_livre,0.0903747375547375,0.04412792157351064,-0.06680114987377513,-0.022673228300264484
vigitel,S0_A0_realism_only,ativo_livre,0.09964083162290208,0.014766605516701628,0.006057319512434876,0.00020161286668602917
vigitel,S0_A0_realism_only,diab,0.07202085572695216,0.11014966376669708,0.12309083253232804,0.012941168765630973
vigitel,S0_A0_realism_only,dislipidemia,0.08166932320972851,0.07392701782617267,0.042816916156249406,0.019263555817161614
vigitel,S0_A0_realism_only,doces5,0.10478707108679856,0.023054697891691994,0.017852352982638327,0.013668582386298042
vigitel,S0_A0_realism_only,exfuma,0.09769905722672094,0.0203632652739833,0.0026424044477184523,-0.012268764079600373
vigitel,S0_A0_realism_only,flvreg,0.058436009813241784,0.044908048300906535,-0.017128678067203928,-0.006776274133180646
vigitel,S0_A0_realism_only,fumante,0.03509393701510808,0.049277377611299,-0.04957534484407521,-0.00029796723277621535
