,idade,sexo,etilismo,tabagismo,motivo_cancer,motivo_msk,motivo_digestivo2,motivo_cardio2,motivo_procedimentos2,motivo_lesao2,motivo_respiratorio,motivo_neuro,motivo_pele,motivo_genitourinaria,motivo_dm,motivo_mental_subst,motivo_infec2,motivo_propedeutica,n_comorbidades,comorb_hipertensao,comorb_ic,comorb_dac,comorb_fibrilacao,comorb_avc,comorb_dpoc,comorb_asma,comorb_dm,comorb_obesidade,comorb_drc,comorb_cancer,comorb_reumatologica,comorb_cirrose,comorb_hiv,obito
idade,100.0,-3.5231945792789885,-1.6602385841799812,5.107741246517017,1.4189552995196244,0.0,6.198667577152174,-2.680223930185389,-5.4662137518252685,3.5062528213376036,0.0,-0.6119392785466726,2.165087368147705,2.215642906745751,0.0,-1.3909111533455694,4.112995590393381,-4.533069709425268,2.2275095792151056,9.160605640727452,-1.6823479239145642,4.700637648279156,-2.636994956841474,-1.8103225825650642,1.0265735357211825,-1.0762055440698999,3.856553127074549,-3.228085192851724,-1.639316497403593,1.437611781561246,0.17507650184944215,0.14320809123159628,-1.0173871422852854,3.4919825297035594
sexo,-3.5231945792789885,100.0,-6.877261560055824,-9.89381839293044,-4.459572256728963,0.0,1.5749981066516994,-2.465523367268941,1.2618534685825151,2.864404401782589,0.0,-0.8785569592688929,-0.521204827453366,-5.6205067131103075,0.0,0.6140734505813996,-0.6523423485124272,1.5757473759645912,3.9194984999128524,9.802995412013841,-3.133840720956671,-5.704178050264211,-1.323015546478139,-6.373878251156763,2.6824469068216708,-0.9670546225833428,1.380760817581812,-1.9549825581778795,-1.098367944607907,-0.7219605982378767,-1.4098147537004826,-2.6686757700224866,-0.7205692909092499,0.13323698859053545
etilismo,-1.6602385841799812,-6.877261560055824,100.0,1.805611297646451,-4.37979181769911,0.0,3.1631073982861158,-0.49872827109284557,-4.00652407863926,12.280704355889348,0.0,-1.4666988778584535,-2.252235662552781,-3.35202964126112,0.0,1.9291046188135548,-7.345573930675907,2.2722791825370896,-4.4310417602727705,-1.7716414448704212,-4.607460116642911,-4.004718609295571,-3.6967452757928636,-4.833938953560728,-0.7382934228525223,-0.4665582730710111,-5.317629656918725,-1.5531171315908499,-4.715328689807059,-3.584127634244917,-0.5372784183442275,-1.0213776995370034,-1.8199909494049444,-5.04137903427147
tabagismo,5.107741246517017,-9.89381839293044,1.805611297646451,100.0,-5.846660485630643,0.0,-4.586335615079997,7.663149456559997,-0.7154555502737028,-3.051109108933652,0.0,-5.751559429976104,-0.08548165180249478,-1.7550459422086346,0.0,-3.0212211561467086,-1.7648183629799734,0.2281935297223392,-5.090449266127411,-1.7355276934596264,-1.6912544698105842,2.7938535480932862,0.9565527156308891,-5.214585139654139,0.3649263461283131,-0.6855659956387478,-5.818417729211714,-0.7246639210587202,0.7584025916910012,-2.827516152453875,-0.8891275488177132,0.5206872048827695,0.9439425179426416,0.9781955689770422
motivo_cancer,1.4189552995196244,-4.459572256728963,-4.37979181769911,-5.846660485630643,100.0,0.0,-3.945983100857338,-5.992017966427012,-2.8606996241053118,-3.9307703491626698,0.0,-2.279468539345777,-0.7457330118916905,-1.682412051792147,0.0,-0.633879234145821,-5.220713887070085,-0.42247891997407255,3.772606473438929,-1.1344866051443203,2.7719391064705627,-2.426640241752459,-1.419614394152255,-2.3606332812822726,-0.27593623450609595,-0.18522488956273137,1.176937708310633,-1.3554714017692968,-1.739712613685975,9.132360456567564,-0.18592789348192545,-0.29246017748926606,-0.7484930620100514,3.0053845815044404
motivo_msk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motivo_digestivo2,6.198667577152174,1.5749981066516994,3.1631073982861158,-4.586335615079997,-3.945983100857338,0.0,100.0,-10.801122750952056,-7.170188221952009,-6.652306773288669,0.0,-5.653421387761091,-1.688465273373324,-3.912468926239912,0.0,-1.2751895192388552,-9.336259011671116,-1.0983462436782876,2.853782579020101,-2.2445456129310153,-0.3325589224402299,-2.138565258631923,-3.289295239235472,-0.6457646604967141,-0.8802383591218885,-0.40119300842098565,-3.343572119233682,1.1492774889549455,1.7917083356660959,7.670200230053855,-0.3394221166510654,8.013040853646828,-1.6457932800113488,-1.0459308539599033
motivo_cardio2,-2.680223930185389,-2.465523367268941,-0.49872827109284557,7.663149456559997,-5.992017966427012,0.0,-10.801122750952056,100.0,-8.32315419142521,-11.087866413438556,0.0,-5.277321366351098,-2.0393479680963575,-5.281549560949143,0.0,-3.093674066780506,-17.640637632106973,-2.4041535835077794,5.765954259475202,-3.2755045648118113,4.66473239013385,6.952804307646435,5.550490976483513,2.8684518101311376,-1.1880750317271525,-0.8703333362263859,9.060421122286336,-1.6137103468641194,5.609769564738461,-7.071604719603113,-0.7239042520545305,-1.412447375630277,-3.301861925200643,1.4019244093217686
motivo_procedimentos2,-5.4662137518252685,1.2618534685825151,-4.00652407863926,-0.7154555502737028,-2.8606996241053118,0.0,-7.170188221952009,-8.32315419142521,100.0,-7.140733711194922,0.0,-4.065728309116704,-1.1677471778031583,-3.0385559474383586,0.0,-0.9322906453785123,-8.768220394923429,-0.7695482729017339,-3.2936940795298684,-5.215708937499354,-3.3296709533967808,-4.373486997212093,-2.3894015122982175,-4.286466112530804,9.235721594597312,-0.21470031642153387,-1.9028321244626243,-2.262864465780164,1.7300171088715197,6.804238798957804,-0.22903432756544864,-0.5064583058055486,-1.2048015020006662,5.8435681185286485
motivo_lesao2,3.5062528213376036,2.864404401782589,12.280704355889348,-3.051109108933652,-3.9307703491626698,0.0,-6.652306773288669,-11.087866413438556,-7.140733711194922,100.0,0.0,-4.084346989947245,-1.8242718677451295,-4.220649474921003,0.0,-1.5499496145746006,-10.19732622326636,-1.251046715143617,-1.6312605982360013,0.22234729627485303,-4.717727137264591,-5.985502948097916,-3.3597388701677806,-2.826577937795199,-0.7254380769948847,-0.37502070059300824,-1.4949769544716394,3.9454510238999796,-4.2832475585782985,-2.6975938786782137,4.560921509139499,-0.7061992757345881,-1.7095363899296205,-7.7311640943579825
