,idade,sexo,etilismo,tabagismo,motivo_cancer,motivo_msk,motivo_digestivo2,motivo_cardio2,motivo_procedimentos2,motivo_lesao2,motivo_respiratorio,motivo_neuro,motivo_pele,motivo_genitourinaria,motivo_dm,motivo_mental_subst,motivo_infec2,motivo_propedeutica,n_comorbidades,comorb_hipertensao,comorb_ic,comorb_dac,comorb_fibrilacao,comorb_avc,comorb_dpoc,comorb_asma,comorb_dm,comorb_obesidade,comorb_drc,comorb_cancer,comorb_reumatologica,comorb_cirrose,comorb_hiv,obito
idade,100.0,-5.650632483490784,-4.846747284785851,9.677193064504555,-0.5376831671373159,0.0,2.8354297946863127,-2.2652545763876297,-1.5037980415737031,4.2877031861728225,0.0,0.6996010983968728,0.6562230013978987,2.5607235446565215,0.0,-2.7012808424001755,5.234834062813221,-1.4961790889549187,2.3446211392581606,9.08446096079147,-1.2098042293100022,3.600112755785166,-3.328675274872625,1.4398859538365787,2.2335077714773246,-1.4798361705209429,3.5015385341257934,-0.8757743982083458,-2.4282110295289905,1.4126435669714656,-1.7532451204996968,0.9000046927913962,-2.647780436391826,5.8026754783301975
sexo,-5.650632483490784,100.0,-5.032543474443056,-8.610992220698824,-2.1161844697265764,0.0,3.3674458089151593,-2.2150427636595555,4.601436224556384,5.051670133144324,0.0,-0.4820583785686968,-0.9814730141840758,-3.9673472341328995,0.0,-1.6330097412723141,0.2376173586287749,1.3070082925106978,3.2327532222247304,6.594225812519494,-6.979790359422592,-6.788419604625269,1.241022070977406,-6.742142563815677,0.26294736642118927,-0.990078866191922,0.27875651190070194,-1.28589567581549,-0.7124949845359062,-2.251942476810641,-2.9925514058487543,-2.625183934055282,0.5759550988399667,0.7284154326757836
etilismo,-4.846747284785851,-5.032543474443056,100.0,1.0793296711570208,-5.165210232009226,0.0,2.766240446578823,-1.4993675738077106,-3.4176169208430793,9.392599819859862,0.0,0.05047363976363621,-2.746072408521642,-3.903050884504148,0.0,1.0204217547439571,-7.430967059562825,2.9649972666444047,-4.521174931569589,-1.8131380242694415,-3.7524323143965708,-2.368581326679687,-3.1478660436924497,-5.160061995526517,2.31936200123571,-0.5126688580743841,-5.476144707469581,-3.1186828336823345,-3.0671692758527223,-4.920168143152927,-1.039229151840697,4.3076473567229785,-2.049091059641068,-4.335847935883068
tabagismo,9.677193064504555,-8.610992220698824,1.0793296711570208,100.0,-3.8145709867900655,0.0,-4.837521967622843,7.630820423613577,-0.5572669349956311,-5.309484784335814,0.0,-5.084561829103242,-1.3801425090772206,-4.259487771553839,0.0,-1.7471571331740563,-3.9626110811533373,-1.0585122480499265,-4.296075958607486,-1.232414969609716,-7.434127006020409,2.8065678285648143,-0.3995178781338272,-5.602342732480903,2.8117479159461567,-0.6785278989246306,-5.769997368281025,-1.519631689210872,-2.499942881427877,-3.082428786706295,2.1580639747719546,3.444430743173379,2.428958487737811,11.853292950939247
motivo_cancer,-0.5376831671373159,-2.1161844697265764,-5.165210232009226,-3.8145709867900655,100.0,0.0,-2.5563538863627233,-4.54639606408158,-3.0233179624752675,-4.490235535263639,0.0,-2.571030023489177,-1.0462855528700834,-1.9813644900896221,0.0,-0.8962203836504992,-4.725154759507451,-0.1694039504987553,4.895606460947808,-2.898537853813236,1.0387706970151287,-0.2646434594854932,-1.7665537556971533,-2.969461666849176,-0.5696081633850065,-0.20044864799212023,2.446553336896535,-1.2593699034923227,-2.3587735320300673,14.851997940497785,-0.41466856329967466,-0.39125612925517894,-0.835444926808532,5.475464782369201
motivo_msk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motivo_digestivo2,2.8354297946863127,3.3674458089151593,2.766240446578823,-4.837521967622843,-2.5563538863627233,0.0,100.0,-10.393769502317976,-6.9709091942164125,-5.41050914317002,0.0,-5.824559851937079,-2.2720284240441138,-2.9846841172493184,0.0,-1.827643203449663,-8.321458437100613,-0.4113063728303114,5.467701539932595,-0.4690416367054336,-0.6779604439996632,-3.113514589871761,-3.960577161780343,-1.3318878534788885,-1.3877643890325022,-0.4263579971967453,-0.860722113394101,1.7578934301116436,0.388831406810239,4.8057251527770015,-0.9439400938324558,1.8624194996681214,-1.8579755791204404,-3.237085843774342
motivo_cardio2,-2.2652545763876297,-2.2150427636595555,-1.4993675738077106,7.630820423613577,-4.54639606408158,0.0,-10.393769502317976,100.0,-8.220554385594973,-7.249108228174501,0.0,-5.47111036529545,-2.853519845291383,-6.155352470516727,0.0,-3.9239389770315096,-14.78343473874076,-0.6388765649999399,3.345789065855059,-1.8308353081067368,4.6014934335814015,1.4633103419412787,6.0182085478121055,3.051117152407018,3.149430309712673,-0.8849361666623617,3.294623676262489,0.678573485974785,7.583986289248844,-6.689968031460121,0.47583138762063204,-1.4275192801219911,-3.505718854587868,3.5969922607058837
motivo_procedimentos2,-1.5037980415737031,4.601436224556384,-3.4176169208430793,-0.5572669349956311,-3.0233179624752675,0.0,-6.9709091942164125,-8.220554385594973,100.0,-6.218443591005696,0.0,-4.067209399999939,-1.5707367057545025,-1.7977916953396351,0.0,-1.2362187888916225,-7.952986016459065,-0.28846487225567635,-4.7855673744923335,-1.8941374939023807,-3.745029687391825,-2.7708275012862633,-2.840088309079833,-4.737199698428186,7.421127427753563,-0.20044864799212023,-5.547693862152444,-1.9762956068775372,0.14832374171043966,2.8871425511266846,-0.69950442564047,-0.8028608238120997,-1.3121721639781703,4.207182500125592
motivo_lesao2,4.2877031861728225,5.051670133144324,9.392599819859862,-5.309484784335814,-4.490235535263639,0.0,-5.41050914317002,-7.249108228174501,-6.218443591005696,100.0,0.0,-3.1994060988464814,-2.3313965667987113,-1.6436388092628988,0.0,-2.096124224714877,-10.32897390632765,-0.36746626537887683,2.341703109732801,1.3274122709539284,-5.49653130523323,-5.9214311030964515,-4.037221282524801,-3.0166679186266596,3.395951667625395,-0.39259180740976296,0.3366403395350331,3.309101809322664,-2.8670566968858022,-0.38445007472684756,2.420403143313803,-0.9060375819452954,-1.9353346604428132,-4.110348375478265
motivo_respiratorio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motivo_neuro,0.6996010983968728,-0.4820583785686968,0.05047363976363621,-5.084561829103242,-2.571030023489177,0.0,-5.824559851937079,-5.47111036529545,-4.067209399999939,-3.1994060988464814,0.0,100.0,-1.3340296549202662,-2.5454378687563195,0.0,-1.063410116913979,-7.933062626464252,-0.2418926184322163,1.9178694518180943,-3.275317061825034,-3.0427194099608506,-3.9398677782432516,-2.3195100158622,1.1324027424973087,-0.8175734231239878,-0.25322358085883606,0.6095914541114797,-1.6497755986207543,5.237508605604326,-3.8202488911357495,5.610427402770052,-0.5969268042368786,-1.085696704223838,-2.554778789573687
motivo_pele,0.6562230013978987,-0.9814730141840758,-2.746072408521642,-1.3801425090772206,-1.0462855528700834,0.0,-2.2720284240441138,-2.853519845291383,-1.5707367057545025,-2.3313965667987113,0.0,-1.3340296549202662,100.0,-1.1237129053506036,0.0,-0.4950924027743369,-3.2085622636615176,-0.07518796992481203,-0.5630407318340264,4.897905348407085,-1.3482111630407112,-1.5734236179626826,-0.9768001137457873,-1.5240095817730013,-0.33295141929289657,-0.0749063670411985,0.5201324674390364,-0.7155570108455361,-1.308629386651714,-1.5865213861112208,-0.28946428932913787,-0.18172025393215266,-0.4390839559842484,1.4199341389093327
motivo_genitourinaria,2.5607235446565215,-3.9673472341328995,-3.903050884504148,-4.259487771553839,-1.9813644900896221,0.0,-2.9846841172493184,-6.155352470516727,-1.7977916953396351,-1.6436388092628988,0.0,-2.5454378687563195,-1.1237129053506036,100.0,0.0,-0.9506964483310681,-2.0712579165584235,-0.13072174640400053,1.9324332345610171,3.9361159204142466,-0.49358166885418087,-3.170310555822388,-1.9326181520247836,1.0398810790081745,-0.6651196043716828,-0.0749063670411985,6.020958366253694,-1.3737323934013692,11.049806157202937,-1.3475442311720631,-0.5400323829649184,-0.40073531418836306,-0.8824230130912504,-0.9827732571209246
