,idade,sexo,etilismo,tabagismo,motivo_cancer,motivo_msk,motivo_digestivo2,motivo_cardio2,motivo_procedimentos2,motivo_lesao2,motivo_respiratorio,motivo_neuro,motivo_pele,motivo_genitourinaria,motivo_dm,motivo_mental_subst,motivo_infec2,motivo_propedeutica,n_comorbidades,comorb_hipertensao,comorb_ic,comorb_dac,comorb_fibrilacao,comorb_avc,comorb_dpoc,comorb_asma,comorb_dm,comorb_obesidade,comorb_drc,comorb_cancer,comorb_reumatologica,comorb_cirrose,comorb_hiv,obito
idade,100.0,-1.4805598618196918,-2.6249864708454322,10.91784307613385,2.7227093454300983,0.09237727818925762,3.274173593320924,0.2986846671307518,-4.405236314217518,2.9158167367333627,-5.307837025830544,-1.3271647470818493,4.438660162956966,5.60855132487869,1.905044829161153,-2.3279650201736732,2.5668219058721418,-2.5678289605319087,1.476699256621174,7.269304269468951,-1.3269444015041387,-0.3684343033907932,-4.80169998130238,-3.836245354941392,1.1265996124726025,-2.104398865982843,-0.08728799971958037,-2.9579361668476865,-4.594266711730942,-1.0485427693489768,2.8527269849665147,2.605080676157636,-9.06959769487815,34.18492768651974
sexo,-1.4805598618196918,100.0,-8.395137882039329,-2.7404076317569537,-4.030072187283927,2.756241930152176,3.2249656205514308,-0.38604868151469407,0.7285241807037413,-0.10596361406356242,0.08534454912924566,2.1655091638757367,2.497416726397448,-3.8259238433394174,2.351354678668919,0.36920788658969506,3.5500705386660987,2.704836983678052,0.5729958611876653,0.960511076537587,-3.657399304366081,-4.719009917924363,4.0294379382662395,-5.284928119234214,1.1094720914981977,4.1707643319367955,-1.6602132153943343,-0.3689590755130821,0.07589210128473953,-1.564107694774751,0.017210868978186286,-2.091693977710422,2.501289501078578,2.9906596496970064
etilismo,-2.6249864708454322,-8.395137882039329,100.0,3.6912818116427206,-4.552942513239973,3.0792276937826117,1.1872443446866416,2.870738732611929,-2.298005604089571,11.028225526083776,-0.16349775943577102,0.035676464704087196,-2.2614951802259466,-5.223633913465331,-0.9705416732204476,3.8913185856273924,-3.0905686079950803,1.578651890482732,-2.8667312590324863,-1.7362519072937308,-3.4362620252034635,-6.299255860850035,-3.0908846804953436,-3.2788827488832433,9.889348730873401,0.2778259220107672,-2.724748666023901,-1.2395297468095434,-1.34973208803497,-4.578250063763993,2.825587672080835,1.8503488399969452,0.8153930022323086,-1.7699858531180446
tabagismo,10.91784307613385,-2.7404076317569537,3.6912818116427206,100.0,-5.396224144949061,0.6999440620830809,-2.865084362314546,5.744187987289062,-1.464579847068305,-7.911202333580729,5.702814309058522,-2.5725175233271234,-0.8163401403572709,-1.7274972264118997,1.0456768154724936,2.0447693322752825,3.198630114191415,-0.39118688530530327,-1.6652082591001558,1.7550036115290606,-3.7438721070250836,-1.802726675288128,-2.1635650292647988,-6.581050279685169,11.061264117974682,-2.243580372128753,-5.962079800491029,-2.2489670759192304,-1.1053558985995549,-3.4929238152408546,1.449003045580175,2.1824134374074844,4.10185233183192,14.899659183787733
motivo_cancer,2.7227093454300983,-4.030072187283927,-4.552942513239973,-5.396224144949061,100.0,-0.20590971632881255,2.4780437164068054,-2.9016200712408393,-2.7792304653958584,-3.451406794429832,-0.5976117785971475,-2.37599768550169,-0.6657277972277921,-1.432533344542128,-0.31664963988592604,-1.3908211019457006,-4.361646612190313,-0.8055154000568897,2.3479236043831313,-1.6584881343043774,-2.3135223343209876,-3.1576614205574915,-1.904239384999121,-2.6586031145402163,-1.1025538815831673,-1.0185898715341475,4.094795769520557,-1.2199413294728572,-2.1458137107508186,5.905672745033865,-1.1384953803214048,-0.44369134285001,-1.1449239293679458,4.2827020774246805
motivo_msk,0.09237727818925762,2.756241930152176,3.0792276937826117,0.6999440620830809,-0.20590971632881255,40.0,-0.8312646937300084,-1.433913235179074,-0.7225538301958998,-0.9503633722326368,-0.20590971632881255,-0.48967578140205975,0.0,-0.3388079009975106,-0.07518796992481203,-0.331932655550384,-0.8881657008668344,-0.15037593984962405,-2.4776341188361686,2.289607002879588,-0.366749532904948,-0.6861022019207981,-0.366749532904948,-0.696268462934783,19.88689824493783,-0.22641913528555596,0.3104375522045244,-0.331932655550384,-0.37061485964513874,-0.4278205119141417,-0.21306456801468127,-0.15123116536074394,-0.26144349280800105,-1.4053778748647074
motivo_digestivo2,3.274173593320924,3.2249656205514308,1.1872443446866416,-2.865084362314546,2.4780437164068054,-0.8312646937300084,100.0,-11.896523680049826,-6.727097749819349,-9.241239669181523,2.518142020923638,-5.34521758735418,-1.698090051413438,-4.395205540743048,-0.7507284894813768,-2.4024417464776238,-9.502549804068464,-2.4701133603647167,2.782819943965725,0.8227315022849732,-2.6314148023840347,-5.200616991099703,-2.9272896754635203,2.42365545076834,2.77707128239117,3.8493339437418514,0.34368532419409337,1.0043939876231849,1.7132671910451904,7.09735533119374,-3.380165180728238,1.9828996055665244,1.9608227199027655,-6.2244456455156305
motivo_cardio2,0.2986846671307518,-0.38604868151469407,2.870738732611929,5.744187987289062,-2.9016200712408393,-1.433913235179074,-11.896523680049826,100.0,-4.231639795747977,-8.735990894469856,-3.742761038227971,-6.543713672255566,-1.416530281895308,-5.271659631806795,1.1029414688114882,-6.119206605738831,-12.385050946907473,-4.234029871092213,4.336163215792517,3.35608402679037,8.411631582701292,1.1052380054999935,1.736646628465078,-2.1854503643450918,0.805972532314298,0.0630846353595918,6.895628774001225,-2.3694260027013367,1.8865091920507726,-3.7802064786764236,1.378889858828924,-0.8480354188542283,-3.1451452360133407,-9.126741591140592
motivo_procedimentos2,-4.405236314217518,0.7285241807037413,-2.298005604089571,-1.464579847068305,-2.7792304653958584,-0.7225538301958998,-6.727097749819349,-4.231639795747977,100.0,-5.465828669300967,-1.7313071718608413,-5.53522145196359,-1.144541708690309,-3.328000117990311,-0.5971983347756802,-3.21538242051449,-7.646634101471536,-1.8268908774303623,3.86994296709401,-0.11466196386894227,-3.7410412790770327,-1.2398408316093923,-4.305342380631152,-2.0051657052581766,4.19307094924236,-2.4432948258884624,-1.6118226680791814,-2.83686585188349,8.201431954041642,10.323730007565453,-2.507974493263033,0.6931338801582698,0.11481698796069584,-2.19315339097635
motivo_lesao2,2.9158167367333627,-0.10596361406356242,11.028225526083776,-7.911202333580729,-3.451406794429832,-0.9503633722326368,-9.241239669181523,-8.735990894469856,-5.465828669300967,100.0,-2.0905679596656763,-1.5856458410762615,-1.3093339477834827,-2.405236963572523,-0.8319163460564225,-2.7480005340577067,-6.105191187891161,-2.2130841031810844,0.1956409932921982,1.0724143308834482,-4.836566051829881,-7.157270786416666,-2.0535481791493435,-3.1365098548301376,-3.469662265482564,0.09981483917417294,-2.8799913085498554,1.0510086905945972,-5.847080611292675,-2.7860704273259964,-0.07560618627975427,0.4814440848637222,0.9792256416157599,-3.558701352097784
