dataset_group,fold,dataset,anchor,anchor_mean_abs_corr_delta,anchor_target_corr_real,anchor_target_corr_synthetic,anchor_target_corr_delta
covid,1,Standard_CTGAN,idade,0.1413718462258365,0.2533630855850993,0.012095530360614051,0.24126755522448523
covid,1,Standard_CTGAN,sexo,0.08363499125488595,0.046539876036547224,-0.06500530959937383,0.11154518563592106
covid,1,Standard_CTGAN,tabagismo,0.09544137841759061,0.140494861009751,0.0007964263049925743,0.13969843470475843
covid,1,Standard_CTGAN,comorb_cirrose,0.06810309284518606,0.15881698662341412,-0.04400661135293714,0.20282359797635124
covid,1,S0_A0_realism_only,idade,0.12857147300988284,0.2533630855850993,0.09400679940187157,0.15935628618322772
covid,1,S0_A0_realism_only,sexo,0.08841650457813996,0.046539876036547224,-0.11023773693582675,0.15677761297237397
covid,1,S0_A0_realism_only,tabagismo,0.05818716894299646,0.140494861009751,0.07226566669028948,0.06822919431946152
covid,1,S0_A0_realism_only,comorb_cirrose,0.05661124006785802,0.15881698662341412,-0.03548800496281246,0.19430499158622658
covid,1,S1_A0_sep_only,idade,0.11677121205411284,0.2533630855850993,0.3441833437796734,0.09082025819457412
covid,1,S1_A0_sep_only,sexo,0.09093982683362431,0.046539876036547224,-0.03665364652265794,0.08319352255920517
covid,1,S1_A0_sep_only,tabagismo,0.05720455565914129,0.140494861009751,0.2318070019556576,0.09131214094590659
covid,1,S1_A0_sep_only,comorb_cirrose,0.056888354067669296,0.15881698662341412,-0.03548800496281246,0.19430499158622658
covid,1,S0_A1_anchor_only,idade,0.13312084832254276,0.2533630855850993,0.06918298789555774,0.18418009768954155
covid,1,S0_A1_anchor_only,sexo,0.08976689938746077,0.046539876036547224,-0.07560438283184703,0.12214425886839425
covid,1,S0_A1_anchor_only,tabagismo,0.06305534083923209,0.140494861009751,0.12912091889749425,0.011373942112256757
covid,1,S0_A1_anchor_only,comorb_cirrose,0.05202388781902174,0.15881698662341412,0.04990698190777295,0.10891000471564116
covid,1,S1_A1_sep_anchor,idade,0.1334556934644016,0.2533630855850993,0.38524203689889797,0.13187895131379868
covid,1,S1_A1_sep_anchor,sexo,0.08976708026693452,0.046539876036547224,-0.06259535620489987,0.10913523224144708
covid,1,S1_A1_sep_anchor,tabagismo,0.06539427204858142,0.140494861009751,0.2351366747351678,0.0946418137254168
covid,1,S1_A1_sep_anchor,comorb_cirrose,0.050740967509208694,0.15881698662341412,0.14196031028960174,0.01685667633381238
covid,2,Standard_CTGAN,idade,0.13869553789978237,0.19514347218751552,0.028956064669973986,0.16618740751754152
covid,2,Standard_CTGAN,sexo,0.10502232947063043,0.03191030575451523,-0.014515089447461497,0.04642539520197672
covid,2,Standard_CTGAN,tabagismo,0.08556661035946998,0.07434203660418147,0.04970766523631865,0.02463437136786282
