dataset_group,fold,dataset,evaluation,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC
covid,1,Real,train_real_test_real,CatBoost,0.5298245614035088,0.7611940298507462,0.6388888888888888,0.5428921568627452,0.6875
covid,1,Real,train_real_test_real,XGBoost,0.5649350649350648,0.7611940298507462,0.6434426229508197,0.5643382352941176,0.5870098039215687
covid,1,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.41228070175438597,0.7014925373134329,0.373015873015873,0.46078431372549017,0.5784313725490196
covid,1,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.40707964601769914,0.6865671641791045,0.3709677419354839,0.45098039215686275,0.6311274509803921
covid,1,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.5298245614035088,0.7611940298507462,0.6388888888888888,0.5428921568627452,0.6433823529411765
covid,1,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.5298245614035088,0.7611940298507462,0.6388888888888888,0.5428921568627452,0.6715686274509804
covid,1,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.40707964601769914,0.6865671641791045,0.3709677419354839,0.45098039215686275,0.5674019607843137
covid,1,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.510551948051948,0.7313432835820896,0.5519125683060109,0.5232843137254901,0.5575980392156863
covid,1,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.6063454759106933,0.7761194029850746,0.6857142857142857,0.5955882352941176,0.670343137254902
covid,1,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.5298245614035088,0.7611940298507462,0.6388888888888888,0.5428921568627452,0.6691176470588236
covid,1,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.5328440366972478,0.7164179104477612,0.5545977011494253,0.5349264705882353,0.5526960784313725
covid,1,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.5705128205128205,0.7313432835820896,0.5947368421052632,0.5661764705882353,0.5723039215686275
covid,2,Real,train_real_test_real,CatBoost,0.44888366627497067,0.6865671641791045,0.4521857923497268,0.47941176470588237,0.6882352941176471
covid,2,Real,train_real_test_real,XGBoost,0.40707964601769914,0.6865671641791045,0.36507936507936506,0.46,0.6129411764705882
covid,2,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.5328440366972478,0.7164179104477612,0.5688559322033898,0.538235294117647,0.5235294117647058
covid,2,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.5200168563000421,0.746268656716418,0.6309523809523809,0.5388235294117647,0.5599999999999999
covid,2,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.47507122507122507,0.6716417910447762,0.4818007662835249,0.4888235294117647,0.4270588235294118
covid,2,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.40707964601769914,0.6865671641791045,0.36507936507936506,0.46,0.41411764705882353
covid,2,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.47507122507122507,0.6716417910447762,0.4818007662835249,0.4888235294117647,0.5894117647058823
covid,2,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.4017857142857143,0.6716417910447762,0.3629032258064516,0.45,0.5611764705882353
covid,2,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.5298245614035088,0.7611940298507462,0.7161458333333333,0.5488235294117647,0.5411764705882354
covid,2,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.5298245614035088,0.7611940298507462,0.7161458333333333,0.5488235294117647,0.5141176470588235
covid,2,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.44888366627497067,0.6865671641791045,0.4521857923497268,0.47941176470588237,0.6388235294117647
covid,2,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.49242424242424243,0.7014925373134329,0.5178571428571428,0.5088235294117647,0.5976470588235294
covid,3,Real,train_real_test_real,CatBoost,0.48366972477064224,0.6865671641791045,0.4978813559322034,0.4988235294117647,0.5129411764705882
covid,3,Real,train_real_test_real,XGBoost,0.48366972477064224,0.6865671641791045,0.4978813559322034,0.4988235294117647,0.5094117647058823
covid,3,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.4224137931034483,0.7313432835820896,0.3712121212121212,0.49,0.6070588235294117
covid,3,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.4224137931034483,0.7313432835820896,0.3712121212121212,0.49,0.6435294117647059
covid,3,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.49744974497449745,0.6268656716417911,0.49754901960784315,0.49764705882352944,0.5447058823529412
covid,3,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.5328440366972478,0.7164179104477612,0.5688559322033898,0.538235294117647,0.571764705882353
covid,3,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.5093314434207418,0.5373134328358209,0.5409982174688057,0.5541176470588236,0.5694117647058823
covid,3,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.5656662665066027,0.5970149253731343,0.5861607142857144,0.6135294117647059,0.6070588235294118
covid,3,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.5073529411764706,0.6417910447761194,0.5083333333333333,0.5076470588235295,0.528235294117647
covid,3,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.6134615384615385,0.7313432835820896,0.628917378917379,0.6064705882352941,0.5776470588235294
covid,3,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.4537619380386676,0.47761194029850745,0.4959677419354839,0.4947058823529412,0.5752941176470588
covid,3,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.4920518464172169,0.5373134328358209,0.5117117117117117,0.5152941176470589,0.6047058823529412
covid,4,Real,train_real_test_real,CatBoost,0.643282179768243,0.746268656716418,0.6556603773584906,0.6358823529411765,0.6388235294117648
covid,4,Real,train_real_test_real,XGBoost,0.5073529411764706,0.6417910447761194,0.5083333333333333,0.5076470588235295,0.5470588235294118
covid,4,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.45616883116883117,0.7014925373134329,0.47096774193548385,0.4894117647058824,0.4094117647058823
covid,4,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.47507122507122507,0.6716417910447762,0.4818007662835249,0.4888235294117647,0.46
covid,4,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.4273504273504274,0.6417910447761194,0.4176245210727969,0.44941176470588234,0.4423529411764706
covid,4,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.5013709361535448,0.7164179104477612,0.5437158469945355,0.5188235294117647,0.3941176470588235
covid,4,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.514856429463171,0.5671641791044776,0.5274725274725275,0.5352941176470588,0.5552941176470587
covid,4,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.46914765906362543,0.5074626865671642,0.49642857142857144,0.49529411764705883,0.5270588235294118
covid,4,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.4344954128440367,0.6567164179104478,0.4269067796610169,0.45941176470588235,0.5094117647058823
covid,4,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.44888366627497067,0.6865671641791045,0.4521857923497268,0.47941176470588237,0.4117647058823529
covid,4,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.46920521339125987,0.5373134328358209,0.4812382739212008,0.4764705882352941,0.5682352941176471
covid,4,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.5455426356589147,0.582089552238806,0.5640681003584229,0.5841176470588235,0.6123529411764705
covid,5,Real,train_real_test_real,CatBoost,0.4731494920174166,0.6666666666666666,0.475,0.4825,0.55125
covid,5,Real,train_real_test_real,XGBoost,0.46964285714285714,0.7272727272727273,0.5040322580645161,0.50125,0.49875
covid,5,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.4,0.6666666666666666,0.36666666666666664,0.44,0.39
covid,5,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.4107142857142857,0.696969696969697,0.3709677419354839,0.46,0.39625
covid,5,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.611764705882353,0.7272727272727273,0.6181318681318682,0.6074999999999999,0.69125
covid,5,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.6507936507936507,0.7727272727272727,0.6818181818181819,0.6375,0.7325
covid,5,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.5089285714285714,0.5454545454545454,0.5376838235294117,0.55125,0.66625
covid,5,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.479818485789348,0.5,0.5316868592730661,0.5425,0.6325000000000001
covid,5,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.47301181731076336,0.6212121212121212,0.4725490196078431,0.47375,0.6875
covid,5,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.6038415366146459,0.696969696969697,0.6006944444444444,0.60875,0.7275
covid,5,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.6378364253984845,0.6818181818181818,0.6396011396011396,0.6837500000000001,0.7
covid,5,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.5942955495451192,0.6212121212121212,0.6212121212121212,0.665,0.7212500000000001
vigitel,1,Real,train_real_test_real,CatBoost,0.47084148727984343,0.831,0.7160804020100502,0.5076187101346563,0.6834231041814317
vigitel,1,Real,train_real_test_real,XGBoost,0.48573129911491647,0.829,0.6476891902423818,0.5134301913536499,0.6817788802267895
vigitel,1,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.4526546250684182,0.827,0.4147442326980943,0.49819277108433735,0.5384443656980864
vigitel,1,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.45295404814004375,0.828,0.4148296593186373,0.4987951807228916,0.5341814316087881
vigitel,1,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.4983735141215456,0.802,0.532051282051282,0.5111977321048902,0.5470836286321757
vigitel,1,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.4983735141215456,0.802,0.532051282051282,0.5111977321048902,0.5412260807937632
vigitel,1,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.5969671780145596,0.744,0.5902677734330337,0.6119064493267186,0.6798653437278526
vigitel,1,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.602151786059832,0.743,0.5947017104714226,0.6206591070163006,0.6908079376328844
vigitel,1,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.49290060851926976,0.792,0.5125524451475342,0.505173635719348,0.546591070163005
vigitel,1,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.5098771425370626,0.79,0.5322514739361391,0.5156626506024097,0.5622076541459957
vigitel,1,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.6051838456901748,0.738,0.5973333333333334,0.6293408929836994,0.6784408221119773
vigitel,1,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.604049836927192,0.73,0.5967507324168733,0.6338766832034018,0.6869879518072288
vigitel,2,Real,train_real_test_real,CatBoost,0.4642145135566188,0.828,0.5821596244131455,0.5034727143869596,0.6746598157335223
vigitel,2,Real,train_real_test_real,XGBoost,0.47454584663420796,0.827,0.5978950271164629,0.5075478384124734,0.6576860382707299
vigitel,2,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.45295404814004375,0.828,0.4148296593186373,0.4987951807228916,0.49146704464918495
vigitel,2,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.45325314379442316,0.829,0.4149149149149149,0.49939759036144576,0.5051913536498938
vigitel,2,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.4642145135566188,0.828,0.5821596244131455,0.5034727143869596,0.5210028348688873
vigitel,2,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.4692584036642645,0.827,0.5824083417423478,0.5052090715804394,0.5182849043231751
vigitel,2,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.5988446726572529,0.78,0.6020024654980607,0.5961729270021261,0.6731502480510276
vigitel,2,S1_A0_sep_only,train_synthetic_test_real,XGBoost,0.5915509394328393,0.776,0.594485703117953,0.5890857547838413,0.6772714386959603
vigitel,2,S0_A1_anchor_only,train_synthetic_test_real,CatBoost,0.4833497722042177,0.824,0.5831636116768499,0.5104181431608789,0.5870836286321758
vigitel,2,S0_A1_anchor_only,train_synthetic_test_real,XGBoost,0.4720246821087157,0.821,0.5332116569924003,0.5039333805811481,0.5888235294117646
vigitel,2,S1_A1_sep_anchor,train_synthetic_test_real,CatBoost,0.5948613689266036,0.78,0.5990912161124927,0.5914953933380581,0.6762119064493267
vigitel,2,S1_A1_sep_anchor,train_synthetic_test_real,XGBoost,0.6016436292993839,0.781,0.6045849879224343,0.5991141034727144,0.6814847625797307
vigitel,3,Real,train_real_test_real,CatBoost,0.4753941446623655,0.829,0.6384684381657136,0.5087526576895819,0.6548724309000709
vigitel,3,Real,train_real_test_real,XGBoost,0.4797164605080734,0.827,0.6087210661678747,0.5098866052445075,0.6507051736357194
vigitel,3,Standard_CTGAN,train_synthetic_test_real,CatBoost,0.453551912568306,0.83,0.415,0.5,0.5832423812898653
vigitel,3,Standard_CTGAN,train_synthetic_test_real,XGBoost,0.4642145135566188,0.828,0.5821596244131455,0.5034727143869596,0.5841991495393338
vigitel,3,S0_A0_realism_only,train_synthetic_test_real,CatBoost,0.47837014380386716,0.824,0.5724085365853658,0.5080793763288448,0.6104500354358611
vigitel,3,S0_A0_realism_only,train_synthetic_test_real,XGBoost,0.46847123214443004,0.825,0.5519349204890156,0.504004252303331,0.621194188518781
vigitel,3,S1_A0_sep_only,train_synthetic_test_real,CatBoost,0.599686329562342,0.781,0.603172624309601,0.5967753366406803,0.6831218993621544
