dataset_group,fold,condition,sep_on,anchor_on,lambda_sep,lambda_anchor,mean_selected_final_score,mean_selected_realism_score,mean_selected_separability_score,mean_selected_anchor_score
covid,1,S0_A0_realism_only,0,0,0.0,0.0,0.8152400545477796,0.8152400545477796,0.4593146075339549,0.6312361791649461
covid,1,S1_A0_sep_only,1,0,1.0,0.0,1.3357334213741177,0.7664075930186722,0.5693258283554454,0.648232411340482
covid,1,S0_A1_anchor_only,0,1,0.0,0.5,1.1415961054489858,0.8039231589691933,0.4740583204522351,0.6753458929595844
covid,1,S1_A1_sep_anchor,1,1,1.0,0.5,1.6695013886101664,0.7569695903073979,0.5713865743056981,0.6822904479941404
covid,2,S0_A0_realism_only,0,0,0.0,0.0,0.8050856438991641,0.8050856438991641,0.4635347169655068,0.607311754121132
covid,2,S1_A0_sep_only,1,0,1.0,0.0,1.3238553565961986,0.7541235356776961,0.5697318209185023,0.6224904158018736
covid,2,S0_A1_anchor_only,0,1,0.0,0.5,1.121651167563691,0.7923106782080505,0.47194931123980116,0.6586809787112812
covid,2,S1_A1_sep_anchor,1,1,1.0,0.5,1.645612775700885,0.7467060760117153,0.5677617893358381,0.6622898207066632
covid,3,S0_A0_realism_only,0,0,0.0,0.0,0.7842342406965026,0.7842342406965026,0.5003117346474223,0.619945191339418
covid,3,S1_A0_sep_only,1,0,1.0,0.0,1.3400209120520226,0.7348450084448099,0.6051759036072126,0.6079960309125308
covid,3,S0_A1_anchor_only,0,1,0.0,0.5,1.1036595595029477,0.7743876886366663,0.4983716379303804,0.658543741732563
covid,3,S1_A1_sep_anchor,1,1,1.0,0.5,1.654330840786117,0.7322448605291199,0.5980475256123923,0.6480769092892098
covid,4,S0_A0_realism_only,0,0,0.0,0.0,0.8089151783667932,0.8089151783667932,0.5613973837377394,0.6154960721371404
covid,4,S1_A0_sep_only,1,0,1.0,0.0,1.4208497467953984,0.7633177009097687,0.6575320458856297,0.6091016092853861
covid,4,S0_A1_anchor_only,0,1,0.0,0.5,1.1260595470984898,0.7986483927320696,0.5551312785706325,0.6548223087328405
covid,4,S1_A1_sep_anchor,1,1,1.0,0.5,1.7330314582623292,0.7598220355438559,0.6526126295061672,0.6411935864246124
covid,5,S0_A0_realism_only,0,0,0.0,0.0,0.7949252660685301,0.7949252660685301,0.5561223066019256,0.6410243500410138
covid,5,S1_A0_sep_only,1,0,1.0,0.0,1.4066498849081794,0.7532021764772452,0.6534477084309341,0.6308356651381837
covid,5,S0_A1_anchor_only,0,1,0.0,0.5,1.1234956420828721,0.7846623820354438,0.5563166682632709,0.6776665200948566
covid,5,S1_A1_sep_anchor,1,1,1.0,0.5,1.7296960054345583,0.7496110154590375,0.649539239296469,0.6610915013581035
vigitel,1,S0_A0_realism_only,0,0,0.0,0.0,0.8899736425942287,0.8899736425942287,0.6181919329058154,0.7433315332181066
vigitel,1,S1_A0_sep_only,1,0,1.0,0.0,1.5479297625091681,0.8554125654148607,0.6925171970943074,0.7360502179684406
vigitel,1,S0_A1_anchor_only,0,1,0.0,0.5,1.2648719036308058,0.8865662071615122,0.6151216273537482,0.7566113929385871
vigitel,1,S1_A1_sep_anchor,1,1,1.0,0.5,1.9196262209708368,0.8581303319853903,0.6865092821429346,0.7499732136850243
vigitel,2,S0_A0_realism_only,0,0,0.0,0.0,0.7995704200312231,0.7995704200312231,0.591566963592089,0.7424791748098715
vigitel,2,S1_A0_sep_only,1,0,1.0,0.0,1.4533543576110377,0.7557846305036098,0.6975697271074279,0.7285545101306883
vigitel,2,S0_A1_anchor_only,0,1,0.0,0.5,1.1777383999936986,0.794682464669587,0.5899465619413884,0.766111870648223
vigitel,2,S1_A1_sep_anchor,1,1,1.0,0.5,1.8229831427338659,0.7600053934209005,0.6885700702232846,0.7488153581793614
vigitel,3,S0_A0_realism_only,0,0,0.0,0.0,0.8130671103360135,0.8130671103360135,0.5703418437666578,0.7297130182138287
vigitel,3,S1_A0_sep_only,1,0,1.0,0.0,1.4450278842897117,0.7691888639253519,0.6758390203643599,0.7165816400012266
vigitel,3,S0_A1_anchor_only,0,1,0.0,0.5,1.1867540918630488,0.8077956149364057,0.5685578165450941,0.7579169538532864
vigitel,3,S1_A1_sep_anchor,1,1,1.0,0.5,1.8096107076728587,0.7730582066790233,0.6661793852674646,0.740746231452742
vigitel,4,S0_A0_realism_only,0,0,0.0,0.0,0.8059748085215399,0.8059748085215399,0.5818896761311965,0.7406408187045933
vigitel,4,S1_A0_sep_only,1,0,1.0,0.0,1.4431193354038443,0.7660587102748655,0.6770606251289789,0.7292797475125232
vigitel,4,S0_A1_anchor_only,0,1,0.0,0.5,1.1835742789395762,0.8008994727994091,0.5782287121700027,0.7653496122803347
vigitel,4,S1_A1_sep_anchor,1,1,1.0,0.5,1.8130063125459557,0.768776919750505,0.6696497190914819,0.7491593474079377
vigitel,5,S0_A0_realism_only,0,0,0.0,0.0,0.8289350975662171,0.8289350975662171,0.5583207854674083,0.742846837853579
vigitel,5,S1_A0_sep_only,1,0,1.0,0.0,1.4530390338035912,0.7727339490315834,0.6803050847720078,0.7315310055041236
vigitel,5,S0_A1_anchor_only,0,1,0.0,0.5,1.2045795097206515,0.8241320802679377,0.5587421791102352,0.7608948589054273
vigitel,5,S1_A1_sep_anchor,1,1,1.0,0.5,1.8236984397497331,0.7767392561656823,0.6714159766722944,0.7510864138235128
