dataset_group,fold,dataset,binary_similarity,numeric_similarity,spearman_corr_similarity,duplicate_row_rate,exact_real_overlap_rate,quality_score
covid,1,Standard_CTGAN,0.9690709194152473,0.8973707413925365,0.026084959473389045,0.0,0.0,0.7785053240562345
covid,1,S0_A0_realism_only,0.94696145946599,0.8927168449077207,0.3190731725342719,0.0149812734082397,0.0,0.8287540406999486
covid,1,S1_A0_sep_only,0.9612178325480245,0.917732277424304,0.3314007935503248,0.011235955056179775,0.0,0.8398229896932946
covid,1,S0_A1_anchor_only,0.9509484112601182,0.9158024908623257,0.31457998885972227,0.0149812734082397,0.0,0.8332699235147853
covid,1,S1_A1_sep_anchor,0.9612178325480246,0.9363957402644285,0.27129832954915994,0.011235955056179775,0.0,0.8315351894610867
covid,2,Standard_CTGAN,0.9666545849945632,0.8849387663011596,-0.0838395526400705,0.0,0.0,0.7535507597311305
covid,2,S0_A0_realism_only,0.9481696266763319,0.878544650512161,0.24200673990260324,0.0,0.003745318352059925,0.8129951397478072
covid,2,S1_A0_sep_only,0.9573516974749304,0.9058479310500429,0.26855366971475814,0.003745318352059925,0.003745318352059925,0.8248525323071224
covid,2,S0_A1_anchor_only,0.9522773951914943,0.919093497585849,0.22636960913657317,0.0,0.003745318352059925,0.8187990367123714
covid,2,S1_A1_sep_anchor,0.9590431315694092,0.9310860520734624,0.2735890963973038,0.0,0.003745318352059925,0.8319945923376231
covid,3,Standard_CTGAN,0.9647215174580164,0.8247777627363386,-0.0465051471886596,0.0,0.0,0.7485988266011392
covid,3,S0_A0_realism_only,0.9517941283073578,0.9015793511123145,0.3582363324900926,0.003745318352059925,0.0,0.841572898711541
covid,3,S1_A0_sep_only,0.9606137489428539,0.8778484725418527,0.30329937056144224,0.011235955056179775,0.0,0.8261051273979938
covid,3,S0_A1_anchor_only,0.9571100640328624,0.9255132891115021,0.3402409957797125,0.003745318352059925,0.0,0.8438238061144034
covid,3,S1_A1_sep_anchor,0.9636341669687086,0.9041063128920175,0.30753882521080905,0.00749063670411985,0.0,0.8335577336734831
covid,4,Standard_CTGAN,0.9693125528573155,0.8448204987667853,-0.03491587869878944,0.0,0.0,0.7558434345850623
covid,4,S0_A0_realism_only,0.9499818774918448,0.8659221704576596,0.43946108698104136,0.018726591760299626,0.003745318352059925,0.8465786449636374
covid,4,S1_A0_sep_only,0.9499818774918449,0.8502466429158674,0.3341037102358681,0.026217228464419477,0.003745318352059925,0.8208739367654202
covid,4,S0_A1_anchor_only,0.9521565784704602,0.8968347492463689,0.4013639770600194,0.0149812734082397,0.003745318352059925,0.8463257426033097
covid,4,S1_A1_sep_anchor,0.9507067778180499,0.8730245729423587,0.3308080542400634,0.02247191011235955,0.003745318352059925,0.8256644353072105
covid,5,Standard_CTGAN,0.9691863264323544,0.8826649883114548,-0.028680966025169837,0.0,0.0037313432835820895,0.7638878010870114
covid,5,S0_A0_realism_only,0.9523350987000481,0.883559611580651,0.34726681662305764,0.0037313432835820895,0.0,0.835886036724035
covid,5,S1_A0_sep_only,0.9578719306692345,0.8697311634598095,0.28222079997551247,0.0037313432835820895,0.0,0.821218510164195
covid,5,S0_A1_anchor_only,0.954862782859894,0.9122055385721992,0.33450292390734016,0.0,0.0,0.8403142490678868
covid,5,S1_A1_sep_anchor,0.9575108329321137,0.891764071210214,0.2815126872367552,0.0037313432835820895,0.0,0.8254112496191002
vigitel,1,Standard_CTGAN,0.9632916666666667,0.9286675689851196,0.13871736209593682,0.0,0.0,0.8061353195495446
vigitel,1,S0_A0_realism_only,0.9191666666666666,0.8745927836828259,0.6922961536905372,0.0,0.0,0.897211120808006
vigitel,1,S1_A0_sep_only,0.921125,0.8777329604219575,0.6716334272206615,0.0,0.0,0.8940982775285239
vigitel,1,S0_A1_anchor_only,0.9233333333333332,0.8729035358158627,0.6852519814127934,0.0,0.0,0.8962977701123979
vigitel,1,S1_A1_sep_anchor,0.92525,0.8756247788578335,0.6434598806793745,0.0,0.0,0.8888669319074417
vigitel,2,Standard_CTGAN,0.938125,0.9388210424866927,0.06630045755461085,0.0,0.0,0.7886493000082607
vigitel,2,S0_A0_realism_only,0.9182916666666667,0.9317744316405489,0.713271250459441,0.0,0.0,0.9126674697533315
vigitel,2,S1_A0_sep_only,0.9077500000000001,0.9372343826518676,0.6137993407612452,0.0,0.0,0.8917567446826226
vigitel,2,S0_A1_anchor_only,0.9247916666666667,0.9272032906328236,0.6878694459391962,0.0,0.0,0.9079728806477373
vigitel,2,S1_A1_sep_anchor,0.9105833333333333,0.9346506415171371,0.5619429580400703,0.0,0.0,0.8814353865781082
vigitel,3,Standard_CTGAN,0.9496666666666665,0.9393691018385,0.20339043294141163,0.0,0.0,0.8184852402893157
vigitel,3,S0_A0_realism_only,0.9545416666666666,0.9369201740078861,0.8072345004828557,0.0,0.0,0.9397392682314816
vigitel,3,S1_A0_sep_only,0.9601666666666667,0.9421563108378693,0.6741146382297061,0.0,0.0,0.9152875231468485
vigitel,3,S0_A1_anchor_only,0.9610833333333334,0.9367045430486528,0.7525898734735998,0.0,0.0,0.9300755499711173
vigitel,3,S1_A1_sep_anchor,0.9614166666666666,0.9407573909616617,0.6480953554437029,0.0,0.0,0.9100538826144063
vigitel,4,Standard_CTGAN,0.9467083333333334,0.9300972331758659,0.13751255510845026,0.0,0.0,0.8028636243235299
vigitel,4,S0_A0_realism_only,0.9344583333333333,0.9124534479990819,0.709162444384474,0.0,0.0,0.9112148451433779
vigitel,4,S1_A0_sep_only,0.9454166666666666,0.9147363901026533,0.6870828803091982,0.0,0.0,0.9094471874157037
vigitel,4,S0_A1_anchor_only,0.9392083333333333,0.9066716938876271,0.7022875882114217,0.0,0.0,0.9096335230864764
vigitel,4,S1_A1_sep_anchor,0.9458333333333333,0.910552513421364,0.6731448425735722,0.0,0.0,0.9059061378656539
vigitel,5,Standard_CTGAN,0.915375,0.9450623875923942,-0.029472041644671418,0.0,0.0,0.7661930691895446
vigitel,5,S0_A0_realism_only,0.9479583333333333,0.9139072820723018,0.7224249684428774,0.0,0.0,0.9168581167697025
vigitel,5,S1_A0_sep_only,0.9599583333333334,0.9218443967738101,0.6392754608624608,0.0,0.0,0.9042156381939208
vigitel,5,S0_A1_anchor_only,0.9480416666666667,0.9101486765203618,0.7069644352080134,0.0,0.0,0.9130309556790085
vigitel,5,S1_A1_sep_anchor,0.959375,0.9180420161311496,0.6162713096955424,0.0,0.0,0.8987376651653385
