dataset_group,fold,dataset,n,silhouette_cosine,SI_k1,HM_k1
covid,1,Real_train,267,0.00599341795906283,0.6779026217228464,0.6876255563239715
covid,1,Standard_CTGAN,267,-0.0035043657912260788,0.6179775280898876,0.22473882169952358
covid,1,S0_A0_realism_only,267,0.00044401275155946226,0.6067415730337079,0.22164892452981413
covid,1,S1_A0_sep_only,267,0.00870278132672103,0.7827715355805244,0.7105657398969466
covid,1,S0_A1_anchor_only,267,-0.0007013033052567025,0.6179775280898876,0.22400511441327545
covid,1,S1_A1_sep_anchor,267,0.010131768192829316,0.7528089887640449,0.6009389804247465
covid,2,Real_train,267,0.0065143345968998205,0.6853932584269663,0.6039237881444348
covid,2,Standard_CTGAN,267,-0.003999506144482343,0.5692883895131086,0.20921117721219948
covid,2,S0_A0_realism_only,267,-0.0013889441721804281,0.6179775280898876,0.19266657172650525
covid,2,S1_A0_sep_only,267,-0.0006659545441403841,0.7640449438202247,0.7958666038162647
covid,2,S0_A1_anchor_only,267,-0.0004685766883205269,0.6217228464419475,0.27021086257763277
covid,2,S1_A1_sep_anchor,267,0.0030669812721412495,0.7303370786516854,0.614000181848494
covid,3,Real_train,267,0.009741959786304362,0.6891385767790262,0.9342953681144606
covid,3,Standard_CTGAN,267,-0.007556371442653269,0.7378277153558053,0.6998066748471924
covid,3,S0_A0_realism_only,267,-0.00442422576668453,0.6629213483146067,0.5474831926416572
covid,3,S1_A0_sep_only,267,0.06067952458265181,0.7602996254681648,0.7902761029889263
covid,3,S0_A1_anchor_only,267,0.0043204058779763525,0.704119850187266,0.5724200009095364
covid,3,S1_A1_sep_anchor,267,0.05940957320688088,0.7902621722846442,0.9667194285733892
covid,4,Real_train,267,0.006088940733974057,0.6704119850187266,0.7218555058430899
covid,4,Standard_CTGAN,267,-0.0005040116497217254,0.5280898876404494,0.04366335397733624
covid,4,S0_A0_realism_only,267,0.005088530089869187,0.6479400749063671,0.2748299096277289
covid,4,S1_A0_sep_only,267,0.0977348467235422,0.7228464419475655,0.7480551720923717
covid,4,S0_A1_anchor_only,267,0.0008755165798170461,0.6404494382022472,0.19466064605571565
covid,4,S1_A1_sep_anchor,267,0.09589831110963451,0.7378277153558053,0.7825869770362904
covid,5,Real_train,268,0.005067133853305004,0.6940298507462687,0.6623908447943293
covid,5,Standard_CTGAN,268,-0.0037641591877557745,0.5559701492537313,0.19104243648446664
covid,5,S0_A0_realism_only,268,0.004296397530875101,0.6380597014925373,0.35243505319341073
covid,5,S1_A0_sep_only,268,0.03817664396038232,0.7425373134328358,0.7905931610680693
covid,5,S0_A1_anchor_only,268,0.00367838030501378,0.6492537313432836,0.3169144766838756
covid,5,S1_A1_sep_anchor,268,0.035673327280302466,0.7686567164179104,0.8113658115756955
vigitel,1,Real_train,4000,0.0134118521502258,0.73975,0.4560022959577398
vigitel,1,Standard_CTGAN,4000,0.007347160623627589,0.7615,0.4451147956293754
vigitel,1,S0_A0_realism_only,4000,0.03836750494596339,0.74475,0.26930653728810705
vigitel,1,S1_A0_sep_only,4000,0.07436443593620898,0.821,0.4890959609614631
vigitel,1,S0_A1_anchor_only,4000,0.03737999913239007,0.73975,0.2562641807726318
vigitel,1,S1_A1_sep_anchor,4000,0.08112464944988275,0.814,0.460386154687036
vigitel,2,Real_train,4000,0.012145739477894808,0.744,0.4703876026909343
vigitel,2,Standard_CTGAN,4000,0.006213285651541163,0.745,0.4193485866734336
vigitel,2,S0_A0_realism_only,4000,0.009816527618845428,0.722,0.35399143849895076
vigitel,2,S1_A0_sep_only,4000,0.05163617385696985,0.82575,0.7270774853502038
vigitel,2,S0_A1_anchor_only,4000,0.013810248240285747,0.73275,0.37375165563285545
vigitel,2,S1_A1_sep_anchor,4000,0.052856482457364025,0.8245,0.6898569909331502
vigitel,3,Real_train,4000,0.013533269814605018,0.743,0.4611366833567911
vigitel,3,Standard_CTGAN,4000,0.003252777395712453,0.7535,0.44474368549900956
vigitel,3,S0_A0_realism_only,4000,0.004355962566140091,0.72375,0.3792164972456527
vigitel,3,S1_A0_sep_only,4000,0.04390076096866519,0.83475,0.7714776323835877
vigitel,3,S0_A1_anchor_only,4000,0.006473732020284883,0.72575,0.3892264086276852
vigitel,3,S1_A1_sep_anchor,4000,0.043717671627107865,0.83275,0.7358692965443091
vigitel,4,Real_train,4000,0.013745209949368084,0.74575,0.45914132655486006
vigitel,4,Standard_CTGAN,4000,0.0044394133318507575,0.7345,0.40781230034200805
vigitel,4,S0_A0_realism_only,4000,-0.002808149425799163,0.727,0.37900729745442585
vigitel,4,S1_A0_sep_only,4000,0.025086863627699064,0.8105,0.6891058740472156
vigitel,4,S0_A1_anchor_only,4000,8.283289997843558e-05,0.732,0.3807217285600133
vigitel,4,S1_A1_sep_anchor,4000,0.027256041430889017,0.808,0.6703867121081869
vigitel,5,Real_train,4000,0.013452680640495599,0.739,0.42842718414642655
vigitel,5,Standard_CTGAN,4000,-0.0016375480025044716,0.74575,0.4374369334839854
vigitel,5,S0_A0_realism_only,4000,0.0039726453361575405,0.7285,0.34054300264494847
vigitel,5,S1_A0_sep_only,4000,0.03097386220332998,0.84325,0.7015799290559602
vigitel,5,S0_A1_anchor_only,4000,0.004352751111771439,0.7295,0.3272869625442804
vigitel,5,S1_A1_sep_anchor,4000,0.029769192126006882,0.82925,0.6418582325367562
