dataset_group,metric,effect,n,effect_mean,effect_sd,effect_ci95
covid,Macro_F1,separability_main_effect,5,-0.018032190254685852,0.0365941976079698,0.045437697712970494
covid,anchor_mean_abs_corr_delta,separability_main_effect,5,0.0015095545180425606,0.0044899496676848805,0.005575008856111281
covid,anchor_target_corr_delta,separability_main_effect,5,-0.023121956121873868,0.04562729431853018,0.05665376869076619
covid,corr_mae,separability_main_effect,5,0.0016989651699376523,0.001710417404066244,0.0021237637125302
covid,corr_similarity,separability_main_effect,5,-0.03387763066024373,0.04743707885034899,0.05890091298843166
covid,quality_score,separability_main_effect,5,-0.0067283222133196485,0.014781376586727596,0.018353503151631728
vigitel,Macro_F1,separability_main_effect,5,0.10240843266310792,0.020696024923538264,0.025697509053485324
vigitel,anchor_mean_abs_corr_delta,separability_main_effect,5,0.0018408159967851334,0.002278180069496487,0.0028287341737191427
vigitel,anchor_target_corr_delta,separability_main_effect,5,0.00015324981667679953,0.01187745142573909,0.014747803825754226
vigitel,corr_mae,separability_main_effect,5,0.0017353431105283617,0.002671062089982846,0.003316561634098609
vigitel,corr_similarity,separability_main_effect,5,-0.07505325478896759,0.04426539407538918,0.054962746189713044
vigitel,quality_score,separability_main_effect,5,-0.0134896125104069,0.009541767960001888,0.01184766975514854
covid,Macro_F1,anchor_main_effect,5,0.025430678115813975,0.03548984598614002,0.04406646406278651
covid,anchor_mean_abs_corr_delta,anchor_main_effect,5,0.00019165902528365253,0.0017279063010962553,0.0021454790463406575
covid,anchor_target_corr_delta,anchor_main_effect,5,-0.025899701476782423,0.01320648224890223,0.01639801355137901
covid,corr_mae,anchor_main_effect,5,0.000497642357251013,0.00038154961425896185,0.00047375641955388744
covid,corr_similarity,anchor_main_effect,5,-0.014381800519151371,0.01181193886802848,0.014666459241414714
covid,quality_score,anchor_main_effect,5,0.0032036101236264437,0.0032174482684843224,0.003994989681060029
vigitel,Macro_F1,anchor_main_effect,5,0.00302017775573542,0.003735774512314464,0.004638576717348104
vigitel,anchor_mean_abs_corr_delta,anchor_main_effect,5,0.0024322691803445678,0.0010360934750697308,0.0012864799667679163
vigitel,anchor_target_corr_delta,anchor_main_effect,5,-0.0033371615408332514,0.002774668440006249,0.0034452059089079665
vigitel,corr_mae,anchor_main_effect,5,0.0020716797602709585,0.0008744918363954711,0.0010858250299753548
vigitel,corr_similarity,anchor_main_effect,5,-0.025241739416617025,0.013429403099074587,0.016674806345487004
vigitel,quality_score,anchor_main_effect,5,-0.005048550804583352,0.0023483261295411052,0.0029158320110923845
covid,Macro_F1,interaction_difference_in_differences,5,0.028162840820431478,0.1242526995168199,0.1542801036696658
covid,anchor_mean_abs_corr_delta,interaction_difference_in_differences,5,0.001365098929898459,0.003778772609202581,0.004691965906245355
covid,anchor_target_corr_delta,interaction_difference_in_differences,5,0.031972160852631284,0.02014707305295769,0.025015895279038806
covid,corr_mae,interaction_difference_in_differences,5,-0.0002477318407234502,0.0018327462390431558,0.002275655022863241
covid,corr_similarity,interaction_difference_in_differences,5,0.006831060476776974,0.03583747593893571,0.04449810365987019
covid,quality_score,interaction_difference_in_differences,5,-0.0002911786190619825,0.0073798723959432305,0.009163321865380481
vigitel,Macro_F1,interaction_difference_in_differences,5,-0.011978274877628226,0.013848140663813593,0.01719473770431895
vigitel,anchor_mean_abs_corr_delta,interaction_difference_in_differences,5,-0.0011924750457762644,0.001258604630733641,0.001562764057954508
vigitel,anchor_target_corr_delta,interaction_difference_in_differences,5,0.005046840840223587,0.002755472255968365,0.0034213706982852326
vigitel,corr_mae,interaction_difference_in_differences,5,-0.0008025178029012842,0.0013211076672729658,0.0016403718282038018
vigitel,corr_similarity,interaction_difference_in_differences,5,-0.006713081547169741,0.021489374598005723,0.02668258278225824
vigitel,quality_score,interaction_difference_in_differences,5,-0.0018250451255017452,0.0038679116319452187,0.004802646621619956
