dataset_group,fold,metric,Y00_realism_only,Y10_sep_only,Y01_anchor_only,Y11_sep_anchor,separability_main_effect,anchor_main_effect,interaction_difference_in_differences
covid,1,Macro_F1,0.5298245614035088,0.45881579703482356,0.568085018657101,0.5516784286050341,-0.04370767721037605,0.06556154441190143,0.05460217431661829
covid,2,Macro_F1,0.4410754355444621,0.4384284696784697,0.5298245614035088,0.47065395434960655,-0.03090878645994727,0.06048730526509172,-0.05652364118790981
covid,3,Macro_F1,0.5151468908358726,0.5374988549636722,0.5604072398190045,0.47290689222794224,-0.03257419173163134,-0.009665806876299032,-0.1098523117188619
covid,4,Macro_F1,0.4643606817519861,0.4920020442633982,0.4416895395595037,0.5073739245250872,0.04666287373849781,-0.0036496309653966663,0.038043022454171405
covid,5,Macro_F1,0.6312791783380018,0.49437352860895967,0.5384266769627046,0.6160659874718019,-0.02963316960997242,0.014419978743772432,0.2145449602381394
vigitel,1,Macro_F1,0.4983735141215456,0.5995594820371958,0.5013888755281661,0.6046168413086834,0.10220696684808378,0.004036360339054079,0.00204199786486714
vigitel,2,Macro_F1,0.46673645861044166,0.5951978060450461,0.4776872271564667,0.5982524991129937,0.12451330969556573,0.007002730806986435,-0.007896075478077469
vigitel,3,Macro_F1,0.4734206879741486,0.6053766689608687,0.4965074096744279,0.5932376321106415,0.11434310171146689,0.005473842425026021,-0.035225758550506525
vigitel,4,Macro_F1,0.4534025281813646,0.5597046945883073,0.4591486824222174,0.5557530773877808,0.10145328068625303,0.0008972685201631414,-0.009697771441379288
vigitel,5,Macro_F1,0.4605379290241992,0.534620316789892,0.46278549910316913,0.5277541200858169,0.06952550437417027,-0.0023093133125525744,-0.009113766783044985
covid,1,quality_score,0.8287540406999486,0.8398229896932946,0.8332699235147853,0.8315351894610867,0.004667107469823684,-0.0018859587086855756,-0.0128036830470446
covid,2,quality_score,0.8129951397478072,0.8248525323071224,0.8187990367123714,0.8319945923376231,0.012526474092283468,0.006472978497532367,0.0013381630659364818
covid,3,quality_score,0.841572898711541,0.8261051273979938,0.8438238061144034,0.8335577336734831,-0.012866921877233817,0.004851756839175825,0.005201698872626781
covid,4,quality_score,0.8465786449636374,0.8208739367654202,0.8463257426033097,0.8256644353072105,-0.023183007747158313,0.0022687980907312166,0.005043400902117967
covid,5,quality_score,0.835886036724035,0.821218510164195,0.8403142490678868,0.8254112496191002,-0.014785263004313265,0.004310475899378385,-0.00023547288894654184
vigitel,1,quality_score,0.897211120808006,0.8940982775285239,0.8962977701123979,0.8888669319074417,-0.005271840742219092,-0.0030723481583452283,-0.004317994925474022
vigitel,2,quality_score,0.9126674697533315,0.8917567446826226,0.9079728806477373,0.8814353865781082,-0.023724109570169016,-0.007507973605054286,-0.0056267689989202285
vigitel,3,quality_score,0.9397392682314816,0.9152875231468485,0.9300755499711173,0.9100538826144063,-0.022236706220672087,-0.007448679396403257,0.004430077727922144
vigitel,4,quality_score,0.9112148451433779,0.9094471874157037,0.9096335230864764,0.9059061378656539,-0.0027475214742483933,-0.0025611858034757518,-0.001959727493148322
vigitel,5,quality_score,0.9168581167697025,0.9042156381939208,0.9130309556790085,0.8987376651653385,-0.013467884544725917,-0.004652567059638235,-0.0016508119378882968
covid,1,corr_mae,0.07094983823799612,0.0704887746766398,0.07046515898659601,0.07262939368769983,0.0008515855698737473,0.0008279698798299429,0.002625298262460135
covid,2,corr_mae,0.0729789407796783,0.07218975723130168,0.07350444454037851,0.07277048756838027,-0.0007615702601874302,0.0005531170488893983,5.522657637838102e-05
covid,3,corr_mae,0.06947925750427755,0.07364651827907161,0.07110094058011349,0.07298100267314597,0.0030236614339132772,0.00047808373495514256,-0.002287198681761568
covid,4,corr_mae,0.06701443359184349,0.07107889048188662,0.06837423285571252,0.0712455475120336,0.0034678857731821056,0.0007632281470080216,-0.0011931422337220499
covid,5,corr_mae,0.07220488325430148,0.07433756815069412,0.07229011779336013,0.07398395956278062,0.0019132633329065618,-0.00013418702442744013,-0.00043884312697214933
vigitel,1,corr_mae,0.08048435877307251,0.0793227553574252,0.08199833425111226,0.08095363797326258,-0.0011031498467485024,0.0015724290469385782,0.00011690713779763384
vigitel,2,corr_mae,0.08666313302458126,0.08910954383384789,0.0887002742055913,0.09143825770422571,0.0025921971539505095,0.002182927525693934,0.00029157268936777503
vigitel,3,corr_mae,0.07657846541437334,0.08304955972212287,0.08127772130529562,0.08543380456745905,0.005313588784956497,0.0035417503681292317,-0.002315011045586096
vigitel,4,corr_mae,0.08307693200397746,0.08341883534098497,0.08553665149405493,0.08370174254185568,-0.0007465028075958752,0.0013713133454740928,-0.002176812289206756
vigitel,5,corr_mae,0.0866673743921145,0.08925257941363315,0.08832197566067294,0.09097793517531262,0.00262058226807918,0.0016899785151189561,7.075449312102244e-05
covid,1,corr_similarity,0.3190731725342719,0.3314007935503248,0.31457998885972227,0.27129832954915994,-0.015477019147254745,-0.03229782383785723,-0.05560928032661522
covid,2,corr_similarity,0.24200673990260324,0.26855366971475814,0.22636960913657317,0.2735890963973038,0.03688320853644275,-0.005300852041742216,0.020672557448575712
covid,3,corr_similarity,0.3582363324900926,0.30329937056144224,0.3402409957797125,0.30753882521080905,-0.04381956624877692,-0.006877941030506651,0.02223479135974693
covid,4,corr_similarity,0.43946108698104136,0.3341037102358681,0.4013639770600194,0.3308080542400634,-0.08795664978256468,-0.020696382958413362,0.03480145392521722
covid,5,corr_similarity,0.34726681662305764,0.28222079997551247,0.33450292390734016,0.2815126872367552,-0.05901812665906503,-0.0067360027272374,0.012055779976960224
vigitel,1,corr_similarity,0.6922961536905372,0.6716334272206615,0.6852519814127934,0.6434598806793745,-0.03122741360164727,-0.0176088594095154,-0.02112937426354322
vigitel,2,corr_similarity,0.713271250459441,0.6137993407612452,0.6878694459391962,0.5619429580400703,-0.11269919879866086,-0.038629093620709876,-0.026454578200930112
vigitel,3,corr_similarity,0.8072345004828557,0.6741146382297061,0.7525898734735998,0.6480953554437029,-0.1188071901415233,-0.04033195489762953,0.02862534422325269
vigitel,4,corr_similarity,0.709162444384474,0.6870828803091982,0.7022875882114217,0.6731448425735722,-0.025611154856562623,-0.010406446954339121,-0.007063181562573684
vigitel,5,corr_similarity,0.7224249684428774,0.6392754608624608,0.7069644352080134,0.6162713096955424,-0.08692131654644386,-0.019232342200891206,-0.007543617932054381
covid,1,anchor_mean_abs_corr_delta,0.08294659664971932,0.08045098715363694,0.08449174409206434,0.08483950332228156,-0.001073925132932585,0.0029668318054948267,0.0028433687262996027
covid,2,anchor_mean_abs_corr_delta,0.0956175737676126,0.09148633297807456,0.0915333176616973,0.09277541863234924,-0.0014445699094430553,-0.0013975852258203136,0.005373341760189984
covid,3,anchor_mean_abs_corr_delta,0.08927893771403529,0.09107475924850869,0.09145481678707937,0.08914606680902462,-0.00025646422179068096,0.0001235933167799963,-0.004104571512528146
covid,4,anchor_mean_abs_corr_delta,0.07493093661200124,0.08468147568832884,0.07567976027152987,0.08467182223002712,0.009371300517412418,0.00036958510061345373,-0.0007584771178303501
covid,5,anchor_mean_abs_corr_delta,0.09081423010033794,0.09002974504062405,0.08797418383300765,0.09066153156665496,0.0009514313369667071,-0.0011041298706497005,0.003471832793361204
vigitel,1,anchor_mean_abs_corr_delta,0.08219552004492617,0.08156045514888323,0.08408080334916514,0.08301710989341919,-0.0008493791758944491,0.0016709690243874586,-0.0004286285597030065
vigitel,2,anchor_mean_abs_corr_delta,0.08848881271339609,0.0906612222289887,0.09116030429467299,0.09320302036403308,0.0021075627924763557,0.002606644858160645,-0.00012969344623252332
vigitel,3,anchor_mean_abs_corr_delta,0.07867887412315495,0.08457806814042325,0.0841169293110686,0.08748086098132164,0.004631562843760664,0.004170424014406024,-0.0025352623470152463
vigitel,4,anchor_mean_abs_corr_delta,0.08426734327752107,0.08555022366016843,0.0874145526855093,0.08610044406519994,-1.5614118830997725e-05,0.0018487149065098685,-0.002596989002956712
vigitel,5,anchor_mean_abs_corr_delta,0.08867533839393915,0.09214118697284017,0.09067583242868492,0.0938698791346121,0.003329947642414094,0.0018645930982588432,-0.0002718018729738342
covid,1,anchor_target_corr_delta,0.14466702126532244,0.11490772832147811,0.10665207584645843,0.08812816840361873,-0.024141600193342008,-0.03239725266836169,0.011235385501004627
covid,2,anchor_target_corr_delta,0.15130092669873427,0.05734704733830308,0.09404867992530952,0.0329080721525738,-0.07754724356658346,-0.04084561097957701,0.03281327158769547
