dataset_group,scale,source,SS,DF,F_value,p_value,percent_total_SS,percent_experimental_SS
covid,response,Fold (block),0.02686472524243136,4.0,3.1197675555222033,0.05632564622951248,45.8842175944293,
covid,response,Separability,0.0016257994269059243,1.0,0.7552083645860729,0.4018795437232534,2.7768210542211538,5.131259183153392
covid,response,Anchor,0.003233596947150717,1.0,1.502054571907238,0.24386552149739202,5.522895343124591,10.205701733614893
covid,response,Separability × Anchor,0.0009914320038462,1.0,0.46053512495567334,0.5102500226956519,1.693338807080351,3.1291034367564428
covid,response,Error,0.025833391203981475,12.0,,,44.1227272011446,81.53393564647527
vigitel,response,Fold (block),0.008766911208606225,4.0,13.412604453989115,0.00022016893122515097,13.83007350799057,
vigitel,response,Separability,0.052437435402571626,1.0,320.8986895844763,5.027424365101328e-10,82.72167573411161,95.99831298658752
vigitel,response,Anchor,4.560736838119402e-05,1.0,0.2791010780096979,0.6069232786548187,0.07194703381947405,0.08349436601427962
vigitel,response,Separability × Anchor,0.00017934883630501845,1.0,1.0975518941179696,0.315447244089648,0.2829283348091889,0.3283376768754989
vigitel,response,Error,0.00196089683521506,12.0,,,3.0933753892691493,3.5898549705226905
covid,log,Fold (block),0.09848471077816741,4.0,3.093619884652143,0.057611739932841494,45.67047889604459,
covid,log,Separability,0.005719888304406325,1.0,0.7186967421312014,0.4131617346210117,2.6524933264263812,4.882232113460078
covid,log,Anchor,0.01280982359448459,1.0,1.6095381578586636,0.2286148663599942,5.940320822505326,10.933872969612548
covid,log,Separability × Anchor,0.0031231839796636005,1.0,0.39242412295559026,0.5427612052460952,1.4483193066685798,2.665805398684319
covid,log,Error,0.09550434227562644,12.0,,,44.28838764835513,81.51808951824307
vigitel,log,Fold (block),0.030805956691797923,4.0,15.832000673544666,9.878389873202758e-05,13.571401094187987,
vigitel,log,Separability,0.18938755965865506,1.0,389.3252207129313,1.6332814399062366e-10,83.43368654612807,96.53481324746716
vigitel,log,Anchor,0.00022815904101508694,1.0,0.4690280035338636,0.5064478025853462,0.10051425735158093,0.11629745087169487
vigitel,log,Separability × Anchor,0.0007326345860461367,1.0,1.5060816160704142,0.24327001893053457,0.32275828737218837,0.3734392220379775
vigitel,log,Error,0.005837409433024115,12.0,,,2.571639814960187,2.9754500796231853
