dataset_group,dataset,corr_similarity_mean,corr_mae_mean,corr_frobenius_mean
covid,S0_A0_realism_only,0.34120882970621336,0.07052547067361939,4.354616826366046
covid,S0_A1_anchor_only,0.3234114989486735,0.07114697895123213,4.338532195327954
covid,S1_A0_sep_only,0.30391566880758114,0.07234830176391877,3.909515915992394
covid,S1_A1_sep_anchor,0.2929493985268182,0.07272207820080806,3.955457643446212
covid,Standard_CTGAN,-0.03357131701586007,0.08645561997241138,4.257131248513055
vigitel,S0_A0_realism_only,0.728877863492037,0.0826940527216238,1.8142112954875795
vigitel,S0_A1_anchor_only,0.7069926648490049,0.08516699138334541,1.8853723722184221
vigitel,S1_A0_sep_only,0.6571811494766544,0.08483065473360282,1.8769247483242093
vigitel,S1_A1_sep_anchor,0.6285828692864526,0.08650107559242312,1.9252096638806442
vigitel,Standard_CTGAN,0.10328975321114761,0.10279084240479548,2.400174248844737
