dataset_group,dataset,n,Macro_F1_mean,Macro_F1_sd,Macro_F1_ci95
covid,S0_A0_realism_only,5,0.5163373495747663,0.07375783988130326,0.09158245436589221
covid,S0_A1_anchor_only,5,0.5276866072803645,0.050542276948840704,0.0627565256746196
covid,S1_A0_sep_only,5,0.48422373890986464,0.03789633376052604,0.04705451329435914
covid,S1_A1_sep_anchor,5,0.5237358374358945,0.061185425519356816,0.07597174008216334
covid,Standard_CTGAN,5,0.44590031689306137,0.05094416871743706,0.06325554021486014
vigitel,S0_A0_realism_only,5,0.47049422358234,0.017256836945093508,0.021427193157595278
vigitel,S0_A1_anchor_only,5,0.47950353877688945,0.019139041289147948,0.023764258528870413
vigitel,S1_A0_sep_only,5,0.578891793684262,0.03050654207505408,0.03787887500428307
vigitel,S1_A1_sep_anchor,5,0.5759228340011833,0.03297273993408827,0.04094106409829304
vigitel,Standard_CTGAN,5,0.4542295116493424,0.0026066004669567286,0.003236521957521296
