,age,sex,fumante,exfuma,inativo,ativo_livre,ati_livre,diab,hart,dislipidemia,doces5,lanche_7,gordura,flvreg,years_schooling,obesity
age,100.0,5.201829749387114,-0.3663503128225192,2.702421621596282,3.352470773013195,-1.817899201293789,-2.7182707454269153,5.368393086787804,11.144974733438092,3.3926848665306055,1.4980352579890717,3.672553904317212,-6.29544276185162,6.363634567629662,-4.425132633845158,0.2834589294847114
sex,5.201829749387114,100.0,-1.9536604591961646,-3.3306350069271087,0.6610522219103793,0.16413900839452594,-0.795024452396686,0.7655770842100639,1.711824636227121,3.6073733565962516,3.2843989978775987,1.8904268889479194,-6.929046108986355,5.322640839629744,-0.4893630155590382,-1.0936093020370576
fumante,-0.3663503128225192,-1.9536604591961646,100.0,-7.910318276931909,-4.885156271428735,-2.2263899598876677,-1.2675445927741054,-1.9270853463426048,-3.8346113925724747,-3.7354442166790056,-2.8059749090682993,-2.8469644425890386,2.545271504286526,-2.3293432321515937,-0.5321163083485201,-0.029796723277621534
exfuma,2.702421621596282,-3.3306350069271087,-7.910318276931909,100.0,-2.243988694402362,-6.971520043928803,-0.3242184880576607,-3.0867959679536217,-1.01279807856664,3.1486977492186994,1.2822081762233817,2.074275110341765,19.3390915468107,-5.823136883911836,-2.204091182238321,-1.2268764079600374
inativo,3.352470773013195,0.6610522219103793,-4.885156271428735,-2.243988694402362,100.0,0.9005357085995305,-6.607628848128977,-0.6531184027067723,-0.6760721660490613,-0.6373832494250551,-0.15744476409952607,2.956210317243781,-1.671845505573136,-3.6726236609400074,0.803570657864789,-0.012388748302857161
ativo_livre,-1.817899201293789,0.16413900839452594,-2.2263899598876677,-6.971520043928803,0.9005357085995305,100.0,17.556054643135102,-0.35176755715548175,-3.437527073059385,-6.986296376120038,9.741801732638876,7.859133281747168,-10.687943394950636,1.3220222052739201,2.580136717125941,0.020161286668602917
ati_livre,-2.7182707454269153,-0.795024452396686,-1.2675445927741054,-0.3242184880576607,-6.607628848128977,17.556054643135102,100.0,-2.0091245851588826,-2.4185748670742164,-1.1890535093585575,-0.10898305957002237,0.002438939070936383,-0.42071566406402033,1.7845762402439242,-0.06223387762715477,-2.2673228300264485
diab,5.368393086787804,0.7655770842100639,-1.9270853463426048,-3.0867959679536217,-0.6531184027067723,-0.35176755715548175,-2.0091245851588826,100.0,11.970097195544255,3.453266239191351,0.2760312357680349,-0.61145077704061,-1.9480302502111266,1.3441073364893108,-1.5526027704601135,1.2941168765630975
hart,11.144974733438092,1.711824636227121,-3.8346113925724747,-1.01279807856664,-0.6760721660490613,-3.437527073059385,-2.4185748670742164,11.970097195544255,100.0,6.005740874821718,-2.1932603948906233,-0.5239236494202414,0.8165579236995466,2.2558537202472193,-3.631790663952742,5.186275094497604
dislipidemia,3.3926848665306055,3.6073733565962516,-3.7354442166790056,3.1486977492186994,-0.6373832494250551,-6.986296376120038,-1.1890535093585575,3.453266239191351,6.005740874821718,100.0,-0.1546908077770497,0.8683994658016062,6.214561178458914,0.7694542148496399,2.390382495717315,1.926355581716161
doces5,1.4980352579890717,3.2843989978775987,-2.8059749090682993,1.2822081762233817,-0.15744476409952607,9.741801732638876,-0.10898305957002237,0.2760312357680349,-2.1932603948906233,-0.1546908077770497,100.0,36.82172515965277,14.299778968466853,-0.8557578613614624,-1.4755306464780829,1.3668582386298038
lanche_7,3.672553904317212,1.8904268889479194,-2.8469644425890386,2.074275110341765,2.956210317243781,7.859133281747168,0.002438939070936383,-0.61145077704061,-0.5239236494202414,0.8683994658016062,36.82172515965277,100.0,-16.179263429580093,-0.624015741644263,2.0014288634536053,-0.5978138382453829
gordura,-6.29544276185162,-6.929046108986355,2.545271504286526,19.3390915468107,-1.671845505573136,-10.687943394950636,-0.42071566406402033,-1.9480302502111266,0.8165579236995466,6.214561178458914,14.299778968466853,-16.179263429580093,100.0,-2.823935998295123,-1.7494523632452372,-0.8121392560293946
flvreg,6.363634567629662,5.322640839629744,-2.3293432321515937,-5.823136883911836,-3.6726236609400074,1.3220222052739201,1.7845762402439242,1.3441073364893108,2.2558537202472193,0.7694542148496399,-0.8557578613614624,-0.624015741644263,-2.823935998295123,100.0,5.84396937324001,-0.6776274133180648
years_schooling,-4.425132633845158,-0.4893630155590382,-0.5321163083485201,-2.204091182238321,0.803570657864789,2.580136717125941,-0.06223387762715477,-1.5526027704601135,-3.631790663952742,2.390382495717315,-1.4755306464780829,2.0014288634536053,-1.7494523632452372,5.84396937324001,100.0,1.800207447638066
obesity,0.2834589294847114,-1.0936093020370576,-0.029796723277621534,-1.2268764079600374,-0.012388748302857161,0.020161286668602917,-2.2673228300264485,1.2941168765630975,5.186275094497604,1.926355581716161,1.3668582386298038,-0.5978138382453829,-0.8121392560293946,-0.6776274133180648,1.800207447638066,100.0
