,age,sex,fumante,exfuma,inativo,ativo_livre,ati_livre,diab,hart,dislipidemia,doces5,lanche_7,gordura,flvreg,years_schooling,obesity
age,100.0,5.621627117343007,-0.03354853125721126,1.8757964230329578,2.8396571610920773,-1.1090791342048947,-2.7509234351975858,5.069351912112792,9.717924902613888,2.448604227262213,1.4849695115546004,3.040582198424718,-6.375451686843231,5.130729798219141,-3.6702792172298477,1.7255097008441567
sex,5.621627117343007,100.0,-2.725965512153774,-1.6114964463621861,0.8673541255733589,-0.39059849244879374,-1.3426571034366581,0.7904328145801104,0.3770675487206266,3.1252400017178337,3.0900910458955417,1.8916441490774674,-6.348868873030993,5.124324996026668,-0.9280732438064621,-1.8332585070552416
fumante,-0.03354853125721126,-2.725965512153774,100.0,-7.04048115011516,-4.455700172785412,-1.8795380530502792,-1.2303023196181717,-2.4084074067354613,-3.5793420577109116,-3.791319493348207,-2.3509593717541772,-2.570050196794746,3.3857019642002593,-2.1931906674342536,-0.25683657119394476,-1.264468163317264
exfuma,1.8757964230329578,-1.6114964463621861,-7.04048115011516,100.0,-1.0783007584854138,-7.343546246590928,-1.163303153952155,-2.8031542213095633,-0.8214076202238508,1.503025384920081,0.8555540246494533,0.9294911245124438,16.462720219713702,-5.217922500760695,-1.9781856953712107,-0.7341826069274084
inativo,2.8396571610920773,0.8673541255733589,-4.455700172785412,-1.0783007584854138,100.0,0.0005872782048731151,-5.259941250281358,-1.430335742519589,-1.2421940768714599,-0.8511170422834594,0.019765641747824733,2.17537808916801,-1.2272615253556955,-4.186323058409166,0.7883855445742393,0.20178962437301884
ativo_livre,-1.1090791342048947,-0.39059849244879374,-1.8795380530502792,-7.343546246590928,0.0005872782048731151,100.0,17.05220591001846,-0.1556847845933054,-2.6650845264604577,-5.700588675300437,8.609328564633751,5.478580279822069,-10.439687144182724,0.688882618838736,1.7424647589625353,-0.3168422008230525
ati_livre,-2.7509234351975858,-1.3426571034366581,-1.2303023196181717,-1.163303153952155,-5.259941250281358,17.05220591001846,100.0,-1.5259422731353236,-2.1696538091785267,-0.9283577135434253,-0.36977766964594894,-0.8181330145745886,-0.5140990804877602,1.9237581386101537,0.5054132356982762,-2.502676424737155
diab,5.069351912112792,0.7904328145801104,-2.4084074067354613,-2.8031542213095633,-1.430335742519589,-0.1556847845933054,-1.5259422731353236,100.0,11.967126722202453,3.2170668224236825,0.06245650285004095,-1.609694982176913,-1.9370129483315346,2.414706849803258,-1.447369073203579,2.8836775841903317
hart,9.717924902613888,0.3770675487206266,-3.5793420577109116,-0.8214076202238508,-1.2421940768714599,-2.6650845264604577,-2.1696538091785267,11.967126722202453,100.0,5.999454320413854,-2.657770764761996,-0.424771607241212,0.5671608510913962,2.3620210142929103,-3.249326361365707,7.960872307514458
dislipidemia,2.448604227262213,3.1252400017178337,-3.791319493348207,1.503025384920081,-0.8511170422834594,-5.700588675300437,-0.9283577135434253,3.2170668224236825,5.999454320413854,100.0,-1.5692981149480096,-0.8092657211717739,5.0581899750606745,1.0360542767543002,1.9130030985129343,2.908096814858039
doces5,1.4849695115546004,3.0900910458955417,-2.3509593717541772,0.8555540246494533,0.019765641747824733,8.609328564633751,-0.36977766964594894,0.06245650285004095,-2.657770764761996,-1.5692981149480096,100.0,30.405037282681207,12.109871286632565,-0.6372672650664896,-1.1153100380183127,1.2670907378476426
lanche_7,3.040582198424718,1.8916441490774674,-2.570050196794746,0.9294911245124438,2.17537808916801,5.478580279822069,-0.8181330145745886,-1.609694982176913,-0.424771607241212,-0.8092657211717739,30.405037282681207,100.0,-14.606619865288689,-0.8187175835346286,1.3044549015185944,-0.018318534362856687
gordura,-6.375451686843231,-6.348868873030993,3.3857019642002593,16.462720219713702,-1.2272615253556955,-10.439687144182724,-0.5140990804877602,-1.9370129483315346,0.5671608510913962,5.0581899750606745,12.109871286632565,-14.606619865288689,100.0,-2.2283154984744282,-0.8840462961315184,-0.311352348385118
flvreg,5.130729798219141,5.124324996026668,-2.1931906674342536,-5.217922500760695,-4.186323058409166,0.688882618838736,1.9237581386101537,2.414706849803258,2.3620210142929103,1.0360542767543002,-0.6372672650664896,-0.8187175835346286,-2.2283154984744282,100.0,5.65425233822278,-0.7945947313453817
years_schooling,-3.6702792172298477,-0.9280732438064621,-0.25683657119394476,-1.9781856953712107,0.7883855445742393,1.7424647589625353,0.5054132356982762,-1.447369073203579,-3.249326361365707,1.9130030985129343,-1.1153100380183127,1.3044549015185944,-0.8840462961315184,5.65425233822278,100.0,0.8010050382696995
obesity,1.7255097008441567,-1.8332585070552416,-1.264468163317264,-0.7341826069274084,0.20178962437301884,-0.3168422008230525,-2.502676424737155,2.8836775841903317,7.960872307514458,2.908096814858039,1.2670907378476426,-0.018318534362856687,-0.311352348385118,-0.7945947313453817,0.8010050382696995,100.0
