,age,sex,fumante,exfuma,inativo,ativo_livre,ati_livre,diab,hart,dislipidemia,doces5,lanche_7,gordura,flvreg,years_schooling,obesity
age,100.0,2.6942536321533943,4.971564015526854,1.3716354132520796,4.197214110074377,-0.7352976906152096,-4.68967653387165,5.288205491979884,9.097592510957345,3.606262699377352,0.5201212520706541,3.1049121276267266,-8.376292374805177,4.724970516548466,-3.3335486516210753,2.921133786615795
sex,2.6942536321533943,100.0,-3.2220329542532014,-1.2511812508100522,-0.5896566461746284,0.9041319454634813,0.14905036732084154,-1.5271665380051258,-0.9270796110957364,4.664663896144299,-0.18797842302608628,1.9912891745427312,-6.319406253681906,4.285870869434608,1.0762269348844609,-5.435591045048558
fumante,4.971564015526854,-3.2220329542532014,100.0,-8.253968216722068,-3.7633537698121664,-3.2083402485831907,-1.3587375311137098,-2.09462397047987,-2.8821900300776258,-2.290031528951548,-2.7053374697744057,-0.2533254483268685,0.5826386245828465,0.5822922645354776,0.041267967800088096,-9.640456404521936
exfuma,1.3716354132520796,-1.2511812508100522,-8.253968216722068,100.0,-0.31941342924440413,-5.578078454823985,-1.005916073400404,-1.7143195953127517,-2.613177315898275,1.3811037537533177,0.7512350747410227,1.0958661453376441,12.761128970549956,-2.93365259297494,-3.9431146325850595,-2.676448364227726
inativo,4.197214110074377,-0.5896566461746284,-3.7633537698121664,-0.31941342924440413,100.0,1.3157140869591477,-7.1471746235710985,-0.35761187063544836,-2.34707506495109,-2.6952293295394827,0.5087986542778505,3.8767814552934614,-2.061046152535468,-4.623976260353495,0.29402795574716434,-1.441873088961187
ativo_livre,-0.7352976906152096,0.9041319454634813,-3.2083402485831907,-5.578078454823985,1.3157140869591477,100.0,18.965950670350225,1.1943918675566145,-1.3759859972963562,-4.370346838273783,11.201811224259524,8.742712105287067,-7.9875116093717144,1.8792039313130615,4.018114636617409,-0.3897425667658402
ati_livre,-4.68967653387165,0.14905036732084154,-1.3587375311137098,-1.005916073400404,-7.1471746235710985,18.965950670350225,100.0,-2.090474097367894,-2.6231310275604547,-0.9099829773853935,1.096484853259171,1.298464795379493,-0.09333557360010072,2.3418209944419406,1.3302548442862678,-5.59937417870343
diab,5.288205491979884,-1.5271665380051258,-2.09462397047987,-1.7143195953127517,-0.35761187063544836,1.1943918675566145,-2.090474097367894,100.0,13.225281832568372,3.488384870734562,0.744056855712647,0.27038462745763714,-2.638798170348575,-0.1076508594764747,-1.7989634160840633,15.866675615885601
hart,9.097592510957345,-0.9270796110957364,-2.8821900300776258,-2.613177315898275,-2.34707506495109,-1.3759859972963562,-2.6231310275604547,13.225281832568372,100.0,4.798743119262677,0.091847959333867,-0.39346892734614375,0.7083913014852375,0.9924157857082241,-3.8597785980375927,33.76727975634219
dislipidemia,3.606262699377352,4.664663896144299,-2.290031528951548,1.3811037537533177,-2.6952293295394827,-4.370346838273783,-0.9099829773853935,3.488384870734562,4.798743119262677,100.0,0.01488835057496817,-0.32695294272394804,6.563740594705229,3.72416412119395,3.900566754203142,2.5876932498685994
doces5,0.5201212520706541,-0.18797842302608628,-2.7053374697744057,0.7512350747410227,0.5087986542778505,11.201811224259524,1.096484853259171,0.744056855712647,0.091847959333867,0.01488835057496817,100.0,30.44147128007649,12.411569222149527,-1.8812677028692513,0.4102471360760395,0.3597391898162776
lanche_7,3.1049121276267266,1.9912891745427312,-0.2533254483268685,1.0958661453376441,3.8767814552934614,8.742712105287067,1.298464795379493,0.27038462745763714,-0.39346892734614375,-0.32695294272394804,30.44147128007649,100.0,-14.965833385815905,0.483140922083186,0.8796329905897144,-0.4230317357262686
gordura,-8.376292374805177,-6.319406253681906,0.5826386245828465,12.761128970549956,-2.061046152535468,-7.9875116093717144,-0.09333557360010072,-2.638798170348575,0.7083913014852375,6.563740594705229,12.411569222149527,-14.965833385815905,100.0,-2.3349324885392853,-2.056185464553859,-0.10108069283222504
flvreg,4.724970516548466,4.285870869434608,0.5822922645354776,-2.93365259297494,-4.623976260353495,1.8792039313130615,2.3418209944419406,-0.1076508594764747,0.9924157857082241,3.72416412119395,-1.8812677028692513,0.483140922083186,-2.3349324885392853,100.0,5.175644191228514,-6.70746518352088
years_schooling,-3.3335486516210753,1.0762269348844609,0.041267967800088096,-3.9431146325850595,0.29402795574716434,4.018114636617409,1.3302548442862678,-1.7989634160840633,-3.8597785980375927,3.900566754203142,0.4102471360760395,0.8796329905897144,-2.056185464553859,5.175644191228514,100.0,-3.0752041751100383
obesity,2.921133786615795,-5.435591045048558,-9.640456404521936,-2.676448364227726,-1.441873088961187,-0.3897425667658402,-5.59937417870343,15.866675615885601,33.76727975634219,2.5876932498685994,0.3597391898162776,-0.4230317357262686,-0.10108069283222504,-6.70746518352088,-3.0752041751100383,100.0
