,age,sex,fumante,exfuma,inativo,ativo_livre,ati_livre,diab,hart,dislipidemia,doces5,lanche_7,gordura,flvreg,years_schooling,obesity
age,100.0,2.3105984784259546,4.721453438314556,0.3263875353195657,3.9771223159570703,-0.8767873531189746,-4.727388211037845,5.186223441300431,8.708313083013868,3.273396387755162,0.3736114254763965,2.3927956326747895,-8.129258881843471,4.371165586726051,-3.009192056868879,3.462427983262824
sex,2.3105984784259546,100.0,-3.2513305660947553,-0.9513670499657247,-0.40038683956030025,0.7598045279563225,0.21250325003607604,-1.4548789096145482,-1.3910769176958668,4.657772280670745,0.8329334939654796,2.7344086344442013,-5.8619569524496695,4.1339807505433885,1.0404072348287232,-6.111667691134431
fumante,4.721453438314556,-3.2513305660947553,100.0,-7.898741184678756,-3.6591034882610423,-3.2242409181243734,-1.356870792606383,-2.119602527423352,-2.415074835641122,-2.2598676657218872,-2.198036768612244,-0.3178201577400443,0.42650847690711113,0.054461998316435375,0.07137111480578169,-9.494611490173686
exfuma,0.3263875353195657,-0.9513670499657247,-7.898741184678756,100.0,-0.4300237025019838,-5.348085797855645,-1.0081666171056654,-1.5087082064673198,-3.14215378637496,0.08154804717029687,0.0715723279618466,0.06852858069030215,11.624710812285928,-3.3402535975089203,-3.496797027533053,-2.5768918073019154
inativo,3.9771223159570703,-0.40038683956030025,-3.6591034882610423,-0.4300237025019838,100.0,0.5983130615324792,-5.737680801098395,-1.3205682378122952,-2.612407149384255,-1.9402628459725957,0.3203992995696782,2.9731785162595834,-0.9729900715861963,-3.869252952721073,0.5369837175037891,-1.5381761736565394
ativo_livre,-0.8767873531189746,0.7598045279563225,-3.2242409181243734,-5.348085797855645,0.5983130615324792,100.0,17.493961798172204,0.9980594147559897,-1.4902206156214686,-4.185611828657644,10.039428953934744,7.871702259183798,-7.463195214126409,1.4567857717252215,3.4638605079474987,-0.4332788917748161
ati_livre,-4.727388211037845,0.21250325003607604,-1.356870792606383,-1.0081666171056654,-5.737680801098395,17.493961798172204,100.0,-2.137641511575963,-2.5090105607516575,-0.9743186757848146,0.9881279717622325,0.8193142076014515,0.3786188087548664,1.9482090824309024,0.45344507926226574,-5.495336740085616
diab,5.186223441300431,-1.4548789096145482,-2.119602527423352,-1.5087082064673198,-1.3205682378122952,0.9980594147559897,-2.137641511575963,100.0,14.23800702713006,4.767838045057801,1.6252190409406904,0.8277486959649101,-2.1493264417664935,0.329775054878778,-2.087601463082148,18.190234060960584
hart,8.708313083013868,-1.3910769176958668,-2.415074835641122,-3.14215378637496,-2.612407149384255,-1.4902206156214686,-2.5090105607516575,14.23800702713006,100.0,4.3164373359448005,0.2774230560248952,-1.0490580351124748,0.43879708533644646,1.1416604063563054,-3.756934044527739,33.650610512264066
dislipidemia,3.273396387755162,4.657772280670745,-2.2598676657218872,0.08154804717029687,-1.9402628459725957,-4.185611828657644,-0.9743186757848146,4.767838045057801,4.3164373359448005,100.0,-0.24019904281725313,-0.12729535424813512,5.374723363144461,4.011608530791974,2.973050316703379,3.673900935021236
doces5,0.3736114254763965,0.8329334939654796,-2.198036768612244,0.0715723279618466,0.3203992995696782,10.039428953934744,0.9881279717622325,1.6252190409406904,0.2774230560248952,-0.24019904281725313,100.0,27.469278033487875,11.378551815601687,-1.8073127674419966,0.4233797563445792,1.1734091454260025
lanche_7,2.3927956326747895,2.7344086344442013,-0.3178201577400443,0.06852858069030215,2.9731785162595834,7.871702259183798,0.8193142076014515,0.8277486959649101,-1.0490580351124748,-0.12729535424813512,27.469278033487875,100.0,-13.790899721502631,0.9013307122488129,0.7886099092373993,0.4819610354158285
gordura,-8.129258881843471,-5.8619569524496695,0.42650847690711113,11.624710812285928,-0.9729900715861963,-7.463195214126409,0.3786188087548664,-2.1493264417664935,0.43879708533644646,5.374723363144461,11.378551815601687,-13.790899721502631,100.0,-2.161975504285906,-2.018101062125094,0.30210757108234787
flvreg,4.371165586726051,4.1339807505433885,0.054461998316435375,-3.3402535975089203,-3.869252952721073,1.4567857717252215,1.9482090824309024,0.329775054878778,1.1416604063563054,4.011608530791974,-1.8073127674419966,0.9013307122488129,-2.161975504285906,100.0,4.846082546761172,-5.317336370469881
years_schooling,-3.009192056868879,1.0404072348287232,0.07137111480578169,-3.496797027533053,0.5369837175037891,3.4638605079474987,0.45344507926226574,-2.087601463082148,-3.756934044527739,2.973050316703379,0.4233797563445792,0.7886099092373993,-2.018101062125094,4.846082546761172,100.0,-3.135796797881784
obesity,3.462427983262824,-6.111667691134431,-9.494611490173686,-2.5768918073019154,-1.5381761736565394,-0.4332788917748161,-5.495336740085616,18.190234060960584,33.650610512264066,3.673900935021236,1.1734091454260025,0.4819610354158285,0.30210757108234787,-5.317336370469881,-3.135796797881784,100.0
