dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Kidney mortality,0,0,42,42,Real only,4000,1000,0.0535,0.053,LogisticRegression,0.48638931689779147,0.0,0.0,0.0,0.5,0.12518630569473788,0.7208563288238927,0.04894783340359479,0.14406897552607997,1.046582592799033
Kidney mortality,0,0,42,42,Real only,4000,1000,0.0535,0.053,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.12802164109488154,0.7300611663445638,0.04869580912470924,-0.6246283253041054,0.7577401691208788
Kidney mortality,0,0,42,42,Real only,4000,1000,0.0535,0.053,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.49947201689545934,0.1380778210416041,0.7212448446932718,0.04850783845936324,0.0022856794321644293,0.9724753770633089
Kidney mortality,0,0,42,42,Class weighting,4000,1000,0.0535,0.053,LogisticRegression,0.5052083333333334,0.16875,0.10112359550561797,0.5094339622641509,0.6280010360423183,0.12329854788279254,0.7356597796417683,0.21066023183394234,-2.847202688705845,0.9689962853718745
Kidney mortality,0,0,42,42,Class weighting,4000,1000,0.0535,0.053,RandomForest,0.537345806971057,0.11494252873563218,0.14705882352941177,0.09433962264150944,0.5318583012890757,0.10703338668785414,0.5821262776194935,0.09570474451320873,-2.4793207504989803,0.3003605931553989
Kidney mortality,0,0,42,42,Class weighting,4000,1000,0.0535,0.053,CatBoost,0.5472198364390007,0.20491803278688525,0.13089005235602094,0.4716981132075472,0.6482038612500249,0.1221779479571269,0.6793747883086609,0.15612273022734827,-2.531475632540285,0.7502456539475058
Kidney mortality,0,0,42,42,Random oversampling,7572,1000,0.5,0.053,LogisticRegression,0.5058553386911596,0.1723076923076923,0.10294117647058823,0.5283018867924528,0.6353230658883067,0.12127799193300953,0.7358789424398797,0.21126182737109464,-2.850274639081959,0.963112623295644
Kidney mortality,0,0,42,42,Random oversampling,7572,1000,0.5,0.053,RandomForest,0.5478595478595478,0.14545454545454545,0.14035087719298245,0.1509433962264151,0.5496005259907155,0.09095441574772564,0.5554681118128748,0.10680847200733253,-2.590172801584774,0.22057908178082233
Kidney mortality,0,0,42,42,Random oversampling,7572,1000,0.5,0.053,CatBoost,0.5522929752383576,0.1990521327014218,0.13291139240506328,0.39622641509433965,0.6257795222251001,0.11481189463903253,0.6267159450897571,0.14626153832038558,-2.54815964401968,0.4824931864317206
Kidney mortality,0,0,42,42,Random undersampling,428,1000,0.5,0.053,LogisticRegression,0.49204441391941395,0.15476190476190477,0.09187279151943463,0.49056603773584906,0.6095913610009762,0.10852982905371861,0.7020282520770657,0.22086978164593182,-2.8603522587328354,0.729708221901331
Kidney mortality,0,0,42,42,Random undersampling,428,1000,0.5,0.053,RandomForest,0.4920237805675104,0.1725067385444744,0.10062893081761007,0.6037735849056604,0.6508836245542029,0.14020370997238074,0.7352613018270208,0.21296095053003705,-2.90658804355873,0.9394606243459029
Kidney mortality,0,0,42,42,Random undersampling,428,1000,0.5,0.053,CatBoost,0.49108225946128137,0.16893732970027248,0.09872611464968153,0.5849056603773585,0.6430336116036739,0.1256473983076487,0.7089418421629374,0.22218409322267058,-2.9022452219705874,0.6329612672926501
Kidney mortality,0,0,42,42,SMOTE,7572,1000,0.5,0.053,LogisticRegression,0.5182854711524223,0.1892744479495268,0.11363636363636363,0.5660377358490566,0.6594708214620151,0.13477109986534824,0.7263353987766731,0.20756177111137072,-2.839070804507388,0.8707010443205638
Kidney mortality,0,0,42,42,SMOTE,7572,1000,0.5,0.053,RandomForest,0.5650661099512874,0.16666666666666666,0.22580645161290322,0.1320754716981132,0.5533661413400809,0.10423795447025816,0.5937020581379131,0.09253317058649042,-2.421685826411553,0.3321078152282239
Kidney mortality,0,0,42,42,SMOTE,7572,1000,0.5,0.053,CatBoost,0.5578824898196626,0.15555555555555556,0.1891891891891892,0.1320754716981132,0.550198242712837,0.1417340096938156,0.5864298380187682,0.09070556884043819,-2.4218907469950963,0.33312894568347023
Kidney mortality,0,0,42,42,Standard CTGAN,7572,1000,0.5,0.053,LogisticRegression,0.5166813963764914,0.1532258064516129,0.09743589743589744,0.3584905660377358,0.5863202566197127,0.12498651354002929,0.7024267298918133,0.15813453637057026,-2.637298926361158,0.5421109736853748
Kidney mortality,0,0,42,42,Standard CTGAN,7572,1000,0.5,0.053,RandomForest,0.5402127448056466,0.11904761904761904,0.16129032258064516,0.09433962264150944,0.5334422506026977,0.15026605547169045,0.7298021557649779,0.06588083917286125,-1.6552740716283127,0.600394802505565
Kidney mortality,0,0,42,42,Standard CTGAN,7572,1000,0.5,0.053,CatBoost,0.5359307359307359,0.10666666666666667,0.18181818181818182,0.07547169811320754,0.528232153174872,0.12662324142026748,0.7363172680361021,0.05799744688799669,-1.423364943973018,0.6279245065443725
Kidney mortality,0,0,42,42,SepAware CTGAN,7572,1000,0.5,0.053,LogisticRegression,0.5189442621538373,0.1518987341772152,0.09782608695652174,0.33962264150943394,0.5821661254009682,0.18261942030220754,0.6810683190213386,0.14768659381549606,-2.5250509015996494,0.6137396697959903
Kidney mortality,0,0,42,42,SepAware CTGAN,7572,1000,0.5,0.053,RandomForest,0.5547389593174711,0.1553398058252427,0.16,0.1509433962264151,0.5532964077225001,0.1446644605136857,0.7418361857703573,0.06904561945147009,-1.6931456655242345,0.6042875287743323
Kidney mortality,0,0,42,42,SepAware CTGAN,7572,1000,0.5,0.053,CatBoost,0.5355099688968068,0.11235955056179775,0.1388888888888889,0.09433962264150944,0.5308023350799944,0.14553344340375096,0.7497260465023609,0.06286253706524758,-1.565717356835429,0.6072451220093514
Kidney mortality,0,0,42,42,Standard TVAE,7572,1000,0.5,0.053,LogisticRegression,0.5359307359307359,0.10666666666666667,0.18181818181818182,0.07547169811320754,0.528232153174872,0.10014990718064842,0.5647127971150206,0.05913181042541875,-2.2456024232549883,0.1985487693153369
Kidney mortality,0,0,42,42,Standard TVAE,7572,1000,0.5,0.053,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.11918550031178804,0.7258572253989759,0.049138520873411556,-0.6714648063830327,0.7833120982072576
Kidney mortality,0,0,42,42,Standard TVAE,7572,1000,0.5,0.053,CatBoost,0.48612538540596095,0.0,0.0,0.0,0.49947201689545934,0.1194438924435305,0.7243131238668287,0.04938991370993276,-0.522436686220611,0.8100620471495612
Kidney mortality,0,0,42,42,SepAware TVAE,7572,1000,0.5,0.053,LogisticRegression,0.5464126577550095,0.1282051282051282,0.2,0.09433962264150944,0.5366101492299417,0.09829660247056704,0.5488334561973263,0.059717181938857486,-2.303482348715123,0.1770888310884124
Kidney mortality,0,0,42,42,SepAware TVAE,7572,1000,0.5,0.053,RandomForest,0.48612538540596095,0.0,0.0,0.0,0.49947201689545934,0.11581183554841495,0.7241238469048236,0.04932658757718694,-0.6728883952325803,0.777886676447701
