dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
COVID-19,0,0,42,42,Real only,267,67,0.250936329588015,0.23880597014925373,LogisticRegression,0.5013709361535448,0.17391304347826086,0.2857142857142857,0.125,0.5134803921568627,0.339273879426239,0.5894607843137255,0.20056195716233355,-0.8200207862224291,0.19972738979825755
COVID-19,0,0,42,42,Real only,267,67,0.250936329588015,0.23880597014925373,RandomForest,0.4322033898305085,0.0,0.0,0.0,0.5,0.3328630311583956,0.633578431372549,0.17815784975655027,-0.2309184709216995,0.7056268994759853
COVID-19,0,0,42,42,Real only,267,67,0.250936329588015,0.23880597014925373,CatBoost,0.5298245614035088,0.2,0.5,0.125,0.5428921568627452,0.37987529598319564,0.6875,0.1752762190992218,-0.12660630558663735,0.6827936306859154
COVID-19,0,0,42,42,Class weighting,267,67,0.250936329588015,0.23880597014925373,LogisticRegression,0.5275641025641026,0.26666666666666666,0.2857142857142857,0.25,0.5269607843137255,0.35381659036758994,0.6066176470588236,0.2302077060908092,-1.0347978940762732,0.1863752867508181
COVID-19,0,0,42,42,Class weighting,267,67,0.250936329588015,0.23880597014925373,RandomForest,0.5593631014191762,0.2962962962962963,0.36363636363636365,0.25,0.5563725490196079,0.36035632741863727,0.6715686274509804,0.1869214978624665,-0.6211549667314559,1.0009927986545006
COVID-19,0,0,42,42,Class weighting,267,67,0.250936329588015,0.23880597014925373,CatBoost,0.6013153773880363,0.3870967741935484,0.4,0.375,0.5992647058823529,0.40362328510733103,0.7034313725490196,0.18004542230059117,-0.6356994315546167,0.6335214172515156
COVID-19,0,0,42,42,Random oversampling,400,67,0.5,0.23880597014925373,LogisticRegression,0.5778577857785778,0.36363636363636365,0.35294117647058826,0.375,0.579656862745098,0.3730034967990907,0.6299019607843138,0.22761000142410098,-1.0247079273914448,0.19917614604868195
COVID-19,0,0,42,42,Random oversampling,400,67,0.5,0.23880597014925373,RandomForest,0.6134615384615385,0.4,0.42857142857142855,0.375,0.6090686274509804,0.4200787562556193,0.6727941176470589,0.1897822105951863,-0.7399728286510994,0.8193067260794636
COVID-19,0,0,42,42,Random oversampling,400,67,0.5,0.23880597014925373,CatBoost,0.6699507389162561,0.4827586206896552,0.5384615384615384,0.4375,0.6599264705882353,0.40632144858714103,0.6727941176470589,0.17573370368863225,-0.5855540202232176,0.5118890884009706
COVID-19,0,0,42,42,Random undersampling,134,67,0.5,0.23880597014925373,LogisticRegression,0.571939688218758,0.4186046511627907,0.3333333333333333,0.5625,0.6047794117647058,0.2935271807969867,0.5931372549019608,0.26596038302289643,-1.1270114816736712,0.17580810669537772
COVID-19,0,0,42,42,Random undersampling,134,67,0.5,0.23880597014925373,RandomForest,0.5144927536231884,0.3333333333333333,0.2692307692307692,0.4375,0.5324754901960784,0.2861214989788313,0.5906862745098039,0.23374950726420493,-1.0919195905936294,0.5928068954734793
COVID-19,0,0,42,42,Random undersampling,134,67,0.5,0.23880597014925373,CatBoost,0.5840755735492578,0.41025641025641024,0.34782608695652173,0.5,0.6029411764705883,0.3616095124655545,0.7095588235294117,0.22737318894196293,-1.1017875911344337,0.36123970057380506
COVID-19,0,0,42,42,SMOTE,400,67,0.5,0.23880597014925373,LogisticRegression,0.48366972477064224,0.16,0.2222222222222222,0.125,0.49387254901960786,0.3781449460474116,0.5514705882352942,0.20803045535770426,-1.0174739162746793,0.08918666994498736
COVID-19,0,0,42,42,SMOTE,400,67,0.5,0.23880597014925373,RandomForest,0.5593631014191762,0.2962962962962963,0.36363636363636365,0.25,0.5563725490196079,0.3594867450593527,0.6041666666666666,0.19600967369574326,-0.8268790916952792,0.5435495229619058
COVID-19,0,0,42,42,SMOTE,400,67,0.5,0.23880597014925373,CatBoost,0.5593631014191762,0.2962962962962963,0.36363636363636365,0.25,0.5563725490196079,0.39124443587243507,0.6838235294117647,0.17983431949791548,-0.655439461780364,0.4771527899673428
COVID-19,0,0,42,42,Standard CTGAN,400,67,0.5,0.23880597014925373,LogisticRegression,0.49042748492001054,0.2926829268292683,0.24,0.375,0.5012254901960784,0.27504924849038087,0.5441176470588235,0.24786850072640337,-1.1122037192091696,0.12882533481637456
COVID-19,0,0,42,42,Standard CTGAN,400,67,0.5,0.23880597014925373,RandomForest,0.5593485750078296,0.3225806451612903,0.3333333333333333,0.3125,0.5582107843137255,0.3069828494542425,0.6004901960784315,0.2087616215705559,-0.923912418613636,0.5840767394896779
COVID-19,0,0,42,42,Standard CTGAN,400,67,0.5,0.23880597014925373,CatBoost,0.44991789819376027,0.13793103448275862,0.15384615384615385,0.125,0.45465686274509803,0.3605325388619633,0.6311274509803921,0.19713473870718431,-0.8114461991291648,0.5376911180609228
COVID-19,0,0,42,42,SepAware CTGAN,400,67,0.5,0.23880597014925373,LogisticRegression,0.593939393939394,0.4,0.3684210526315789,0.4375,0.6011029411764706,0.33769430952458823,0.5772058823529412,0.2238478791965581,-1.0419915732357676,0.14867578286644823
COVID-19,0,0,42,42,SepAware CTGAN,400,67,0.5,0.23880597014925373,RandomForest,0.6013153773880363,0.3870967741935484,0.4,0.375,0.5992647058823529,0.3824732429697245,0.6397058823529412,0.20056704354714283,-0.8654125944473926,0.675202219582437
COVID-19,0,0,42,42,SepAware CTGAN,400,67,0.5,0.23880597014925373,CatBoost,0.5593485750078296,0.3225806451612903,0.3333333333333333,0.3125,0.5582107843137255,0.3563063121911467,0.6348039215686275,0.20502665867606257,-0.8607020237759455,0.36558479375856995
COVID-19,0,0,42,42,Standard TVAE,400,67,0.5,0.23880597014925373,LogisticRegression,0.48366972477064224,0.16,0.2222222222222222,0.125,0.49387254901960786,0.396943009212797,0.571078431372549,0.20373391556353024,-1.0339446954448699,0.07046213281239845
COVID-19,0,0,42,42,Standard TVAE,400,67,0.5,0.23880597014925373,RandomForest,0.47105263157894733,0.1,0.25,0.0625,0.5018382352941176,0.3197840284981294,0.5882352941176471,0.18615397635845532,-0.6419199965232283,0.542600821098617
COVID-19,0,0,42,42,Standard TVAE,400,67,0.5,0.23880597014925373,CatBoost,0.49242424242424243,0.16666666666666666,0.25,0.125,0.5036764705882353,0.3907655966812379,0.6764705882352942,0.18501501087558722,-0.52606104264379,0.4555593827719771
COVID-19,0,0,42,42,SepAware TVAE,400,67,0.5,0.23880597014925373,LogisticRegression,0.48366972477064224,0.16,0.2222222222222222,0.125,0.49387254901960786,0.3926402374847607,0.5674019607843137,0.20524183319521438,-1.0361555785446157,0.06894666807574033
COVID-19,0,0,42,42,SepAware TVAE,400,67,0.5,0.23880597014925373,RandomForest,0.47871853546910753,0.10526315789473684,0.3333333333333333,0.0625,0.5116421568627452,0.3298421093449154,0.5931372549019608,0.1843515372130039,-0.5967440809259695,0.5645451918099618
COVID-19,0,0,42,42,SepAware TVAE,400,67,0.5,0.23880597014925373,CatBoost,0.5013709361535448,0.17391304347826086,0.2857142857142857,0.125,0.5134803921568627,0.3556136352829636,0.6642156862745098,0.18509800102767568,-0.5134203498112448,0.4515246738921329
COVID-19,0,1,42,79,Real only,267,67,0.24719101123595505,0.2537313432835821,LogisticRegression,0.510551948051948,0.18181818181818182,0.4,0.11764705882352941,0.5288235294117647,0.34780488774603235,0.6458823529411765,0.19339621635734763,-0.4086846419144842,0.506938993879389
COVID-19,0,1,42,79,Real only,267,67,0.24719101123595505,0.2537313432835821,RandomForest,0.4224137931034483,0.0,0.0,0.0,0.49,0.3418259934112917,0.6564705882352941,0.1833179953037602,0.12700329962404644,1.0214349770468545
COVID-19,0,1,42,79,Real only,267,67,0.24719101123595505,0.2537313432835821,CatBoost,0.4416666666666667,0.08333333333333333,0.14285714285714285,0.058823529411764705,0.46941176470588236,0.40413404419989973,0.7188235294117646,0.19060181533975268,-0.3601797336482888,0.515692565782002
COVID-19,0,1,42,79,Class weighting,267,67,0.24719101123595505,0.2537313432835821,LogisticRegression,0.524822695035461,0.3829787234042553,0.3,0.5294117647058824,0.5547058823529412,0.41395180281914895,0.651764705882353,0.226532592759469,-0.9601835421273814,0.5489641785189141
COVID-19,0,1,42,79,Class weighting,267,67,0.24719101123595505,0.2537313432835821,RandomForest,0.5705128205128205,0.3076923076923077,0.4444444444444444,0.23529411764705882,0.5676470588235294,0.36699669975606963,0.6647058823529411,0.2003794965565353,-0.646142071614283,1.0481015498980701
COVID-19,0,1,42,79,Class weighting,267,67,0.24719101123595505,0.2537313432835821,CatBoost,0.6847058823529412,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6847058823529412,0.3972880294212903,0.6776470588235293,0.20058177704989405,-0.7517484406264551,0.40175782443080793
COVID-19,0,1,42,79,Random oversampling,402,67,0.5,0.2537313432835821,LogisticRegression,0.5034500383337592,0.32558139534883723,0.2692307692307692,0.4117647058823529,0.5158823529411765,0.4244751641672591,0.6764705882352942,0.21300331262954084,-0.9123815462870268,0.6020805394405193
COVID-19,0,1,42,79,Random oversampling,402,67,0.5,0.2537313432835821,RandomForest,0.5173817726276229,0.25806451612903225,0.2857142857142857,0.23529411764705882,0.5176470588235295,0.3635748565308397,0.6423529411764706,0.20004211113785617,-0.7200389366820722,0.7661666086713893
COVID-19,0,1,42,79,Random oversampling,402,67,0.5,0.2537313432835821,CatBoost,0.7126225490196079,0.5625,0.6,0.5294117647058824,0.7047058823529412,0.40008472953381047,0.6835294117647059,0.19033378177302723,-0.6777672691474903,0.43701881195536535
COVID-19,0,1,42,79,Random undersampling,132,67,0.5,0.2537313432835821,LogisticRegression,0.5130813953488372,0.375,0.2903225806451613,0.5294117647058824,0.5447058823529412,0.3608317213084991,0.6211764705882352,0.2719241077994272,-1.0866098209256019,0.3395065338964825
COVID-19,0,1,42,79,Random undersampling,132,67,0.5,0.2537313432835821,RandomForest,0.544010889292196,0.4827586206896552,0.34146341463414637,0.8235294117647058,0.6417647058823529,0.32092724729084227,0.6411764705882352,0.23998654389152352,-1.1210683402006245,1.0517796069356344
COVID-19,0,1,42,79,Random undersampling,132,67,0.5,0.2537313432835821,CatBoost,0.6228893058161351,0.5384615384615384,0.4,0.8235294117647058,0.7017647058823528,0.46168568248562786,0.7352941176470589,0.23941728530030723,-1.1491842008947077,0.5486292364039803
COVID-19,0,1,42,79,SMOTE,402,67,0.5,0.2537313432835821,LogisticRegression,0.48366972477064224,0.16,0.25,0.11764705882352941,0.4988235294117647,0.3459085094686901,0.6211764705882352,0.19861028938210604,-0.571227121474226,0.44350354145959164
COVID-19,0,1,42,79,SMOTE,402,67,0.5,0.2537313432835821,RandomForest,0.44888366627497067,0.08695652173913043,0.16666666666666666,0.058823529411764705,0.47941176470588237,0.27224906643244023,0.4929411764705882,0.20891535849858475,-0.9589677901928245,0.18845627155002576
COVID-19,0,1,42,79,SMOTE,402,67,0.5,0.2537313432835821,CatBoost,0.47507122507122507,0.15384615384615385,0.2222222222222222,0.11764705882352941,0.4888235294117647,0.3363510997751138,0.6070588235294118,0.19973424887892563,-0.6918931620522251,0.3033079373350279
COVID-19,0,1,42,79,Standard CTGAN,402,67,0.5,0.2537313432835821,LogisticRegression,0.4088235294117647,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.4088235294117647,0.22378970081753524,0.39294117647058824,0.2668984045509992,-1.3606502242277345,-0.44740765081242484
COVID-19,0,1,42,79,Standard CTGAN,402,67,0.5,0.2537313432835821,RandomForest,0.4059113300492611,0.06896551724137931,0.08333333333333333,0.058823529411764705,0.4194117647058824,0.2588850976295299,0.5129411764705882,0.22250221079330934,-1.0500660170719107,0.06204995759818526
COVID-19,0,1,42,79,Standard CTGAN,402,67,0.5,0.2537313432835821,CatBoost,0.5073529411764706,0.25,0.26666666666666666,0.23529411764705882,0.5076470588235295,0.291229967351312,0.5858823529411764,0.22609436300815539,-0.9224881321985139,0.21382543701281387
COVID-19,0,1,42,79,SepAware CTGAN,402,67,0.5,0.2537313432835821,LogisticRegression,0.5552669552669552,0.34285714285714286,0.3333333333333333,0.35294117647058826,0.5564705882352942,0.2868542883220384,0.5011764705882353,0.2462898630388021,-1.103687633713314,-0.04431815635776752
COVID-19,0,1,42,79,SepAware CTGAN,402,67,0.5,0.2537313432835821,RandomForest,0.46629901960784315,0.1875,0.2,0.17647058823529413,0.4682352941176471,0.29196660017071824,0.5764705882352941,0.21769687991157782,-0.9218650089422912,0.3930401790265317
COVID-19,0,1,42,79,SepAware CTGAN,402,67,0.5,0.2537313432835821,CatBoost,0.5552669552669552,0.34285714285714286,0.3333333333333333,0.35294117647058826,0.5564705882352942,0.29831984154472846,0.5858823529411765,0.21852347788622803,-0.8690097604056426,0.276344936182778
COVID-19,0,1,42,79,Standard TVAE,402,67,0.5,0.2537313432835821,LogisticRegression,0.5013709361535448,0.17391304347826086,0.3333333333333333,0.11764705882352941,0.5188235294117647,0.3639265773547845,0.62,0.1984851720273835,-0.5258699341048284,0.4248850739661045
COVID-19,0,1,42,79,Standard TVAE,402,67,0.5,0.2537313432835821,RandomForest,0.44888366627497067,0.08695652173913043,0.16666666666666666,0.058823529411764705,0.47941176470588237,0.30776718739991643,0.6329411764705882,0.20228445774171572,-0.7244009457581375,0.4145635234835126
COVID-19,0,1,42,79,Standard TVAE,402,67,0.5,0.2537313432835821,CatBoost,0.5593631014191762,0.2962962962962963,0.4,0.23529411764705882,0.5576470588235294,0.3538176721038728,0.6388235294117647,0.21075590791631377,-0.7362046963664587,0.23812267586595048
COVID-19,0,1,42,79,SepAware TVAE,402,67,0.5,0.2537313432835821,LogisticRegression,0.5013709361535448,0.17391304347826086,0.3333333333333333,0.11764705882352941,0.5188235294117647,0.36369973934636196,0.6129411764705882,0.19959595608178196,-0.561594049629055,0.3938479560412656
COVID-19,0,1,42,79,SepAware TVAE,402,67,0.5,0.2537313432835821,RandomForest,0.4017857142857143,0.0,0.0,0.0,0.45,0.28461766162309277,0.5858823529411764,0.21534993353590218,-0.9489328962267221,0.14387197513004696
