dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
COVID-19,Class weighting,CatBoost,15,0.337289950955826,0.07085984320422767,0.5508320956232182,0.0719226520691012,0.34227602392532935,0.1062170031113342,0.3688725490196078,0.12255602220889499,0.5803627450980393,0.08132098204492035,0.2337125558977047,0.03328580075659538
COVID-19,Class weighting,LogisticRegression,15,0.3869293125653103,0.09381219847467254,0.5183284060174167,0.06116469887611508,0.35030676087662943,0.09250148354981387,0.4647058823529412,0.14957665998430802,0.5968398692810459,0.08931845689982087,0.2540230509404493,0.033673531622993746
COVID-19,Class weighting,RandomForest,15,0.3189388062573594,0.07048667041145261,0.5211635024612432,0.05300392388021083,0.283766352177501,0.07035612854915886,0.28480392156862744,0.07513821229865533,0.5808349673202614,0.0923234758639062,0.21388730182280286,0.018873189907277658
COVID-19,Random oversampling,CatBoost,15,0.3380901763684036,0.06996612812078201,0.5412636879408291,0.0888295943079988,0.31671636773445067,0.1277117323121482,0.32107843137254904,0.12770239558131033,0.5782859477124181,0.07996973916511738,0.23020597603239612,0.03231556901039597
COVID-19,Random oversampling,LogisticRegression,15,0.3875359146594673,0.08471095806400752,0.5357742737961391,0.058565902735303,0.3672020211171541,0.08473195187511992,0.4730392156862745,0.13705232775148035,0.6123807189542483,0.09195519602559858,0.24928516517201033,0.03451777848542919
COVID-19,Random oversampling,RandomForest,15,0.3394116265724518,0.0776609503900806,0.5365883181519415,0.06944233316821098,0.3143344990978067,0.10323249598569575,0.32867647058823535,0.11188281574363718,0.5929084967320262,0.07237000355023461,0.2147465752066838,0.01736426953264707
COVID-19,Random undersampling,CatBoost,15,0.324477055787028,0.07945872796086229,0.49824802621955544,0.06357811858126908,0.34653448771279227,0.08729415067118544,0.48970588235294116,0.14923676105511818,0.5573333333333333,0.09572621039388282,0.2965038475255198,0.04397986313741586
COVID-19,Random undersampling,LogisticRegression,15,0.3559197606951726,0.0927849905143299,0.5138368556016292,0.0508102032015782,0.37154643079684696,0.0671230880672657,0.5306372549019608,0.11725797882007093,0.5719754901960783,0.08746307734583009,0.2907649122038247,0.03374343125004579
COVID-19,Random undersampling,RandomForest,15,0.31632677853213764,0.07304366805680408,0.4871989304007196,0.06271670279054374,0.350133150701835,0.07914432097952818,0.5171568627450981,0.14409209886165938,0.5551192810457516,0.08710514752285063,0.250019739943688,0.014840160310555095
COVID-19,Real only,CatBoost,15,0.34644626762513986,0.06756182261324457,0.5099682984301896,0.05217591475262637,0.20285664303208162,0.09183242142117076,0.15661764705882353,0.0834994842232347,0.5924084967320262,0.07759031079225501,0.20590497828245802,0.02332213475385807
COVID-19,Real only,LogisticRegression,15,0.38045756928771746,0.09157071769863137,0.5413787329959988,0.06448841067586635,0.25040702541964815,0.10561999410932546,0.183578431372549,0.08119766017641701,0.5921388888888889,0.08918375166568712,0.20048700510401504,0.0241776133040519
COVID-19,Real only,RandomForest,15,0.3274359714379422,0.08062991588384331,0.4283996130284851,0.0032026705800719097,0.0,0.0,0.0,0.0,0.5837401960784312,0.08365921041087525,0.1871327344888451,0.011284534705595843
COVID-19,SMOTE,CatBoost,15,0.2996601804426755,0.049551644539790114,0.4927262142808928,0.054000134641795275,0.21277312656993788,0.0933562462211967,0.19779411764705881,0.09931526879049528,0.5617385620915034,0.07096240195556876,0.2271015238364363,0.02579371193066165
COVID-19,SMOTE,LogisticRegression,15,0.37091445670822465,0.1063152793456842,0.5440934447365982,0.08337389664066297,0.2874130166841132,0.1270868450092515,0.24828431372549015,0.10341714194456134,0.5751062091503267,0.07769093311671915,0.21468993000843362,0.028471669553856587
COVID-19,SMOTE,RandomForest,15,0.3078741859617111,0.061142096426718785,0.48383497421536215,0.05367452245675808,0.18647810601804196,0.09628244629300663,0.16544117647058823,0.0936701546622183,0.546096405228758,0.07430904745486962,0.21243939558955438,0.015532018555764441
COVID-19,SepAware CTGAN,CatBoost,15,0.32781627057255136,0.04481436865834813,0.5491728435301363,0.03141464702928648,0.3480111882542625,0.036088436430062744,0.3860294117647059,0.048176396199448,0.5640767973856209,0.06088989631936465,0.24171871369236683,0.024242590531847012
COVID-19,SepAware CTGAN,LogisticRegression,15,0.3253873634084783,0.0609892969257862,0.5359525472089803,0.05193425643617895,0.3400823438401431,0.06813918766451531,0.39313725490196083,0.08304344867658243,0.5517728758169935,0.06266755405252254,0.24965668887076858,0.029209635066381204
COVID-19,SepAware CTGAN,RandomForest,15,0.31625143542585465,0.06142200251263759,0.5155077141124472,0.047798598616415465,0.28677463625755856,0.07036129574640325,0.30563725490196075,0.08766300167072331,0.5511879084967322,0.059070473188112115,0.22691815533413146,0.01833739903816853
COVID-19,SepAware TVAE,CatBoost,15,0.32905165456446833,0.06780759501215206,0.5069219292552825,0.06891919631549301,0.22648090309834393,0.1137342829867403,0.20098039215686272,0.11221770297256264,0.5900163398692811,0.07265866524399986,0.2269312552504827,0.026949488817229028
COVID-19,SepAware TVAE,LogisticRegression,15,0.3911727993143953,0.11164267724286538,0.5425256396489488,0.08651497347984445,0.284083681353481,0.13013481412484132,0.24411764705882352,0.10921920176238904,0.5887418300653595,0.09075598126603786,0.2161293107874239,0.03807906996972966
COVID-19,SepAware TVAE,RandomForest,15,0.30771434386400637,0.0607023137442057,0.4758864804809532,0.06777352890456216,0.12488044955016732,0.12225292028008121,0.08897058823529412,0.09262538095059693,0.5681160130718954,0.0784539286470076,0.20145727311012912,0.015833681838679864
COVID-19,Standard CTGAN,CatBoost,15,0.3238915819862235,0.06841392145103971,0.5147418624148336,0.0371497790175185,0.29553561170380976,0.07243575993318488,0.33333333333333337,0.1098877902867787,0.5369166666666667,0.07949596344202355,0.2414501786693185,0.02456307350546134
COVID-19,Standard CTGAN,LogisticRegression,15,0.3108308767252384,0.04413703717233455,0.5333258185572524,0.04826887869248234,0.341371122415973,0.07978251129798589,0.40931372549019607,0.11139737660695537,0.5455702614379085,0.07243231222126809,0.2502293251977059,0.017500785489118507
COVID-19,Standard CTGAN,RandomForest,15,0.298193090123745,0.0364790089040218,0.5145885623566646,0.05571609498230841,0.29082912731724136,0.09115855138720036,0.32156862745098036,0.12069216502450708,0.5453741830065358,0.05925611283012878,0.22948895235283015,0.016801697500434597
COVID-19,Standard TVAE,CatBoost,15,0.33543227619913557,0.0726635743117679,0.5106896603062356,0.06053662284700597,0.23649195611174065,0.1017408004743168,0.21249999999999997,0.09651498069095586,0.5930637254901961,0.07082175777495253,0.2263621545820244,0.026203624854109903
COVID-19,Standard TVAE,LogisticRegression,15,0.3904821287313072,0.11576071827920037,0.5430914594165505,0.08559255408430193,0.2825606301040671,0.1310491067249817,0.24019607843137253,0.1060425909749265,0.5889607843137253,0.092483796392426,0.21492810392282108,0.03761631337501477
COVID-19,Standard TVAE,RandomForest,15,0.3238480341019473,0.07978819609620184,0.4767938694467903,0.052162234906679365,0.1310217391304348,0.10250557761533773,0.09730392156862747,0.08013726072763314,0.5743300653594772,0.09394837156345373,0.19934018743915194,0.01619199508382967
Kidney mortality,Class weighting,CatBoost,15,0.11374048704794469,0.015477258756109703,0.5305641343555957,0.012979102299472925,0.1793010692975455,0.02342532204563162,0.4232471465175868,0.06218819363119551,0.654999915864425,0.036995103381542424,0.1599369756668441,0.0037165327426972655
Kidney mortality,Class weighting,LogisticRegression,15,0.11640326875455961,0.013195780391782387,0.5014383878485081,0.005416078886119731,0.17906466787166594,0.009356474472233835,0.5930817610062892,0.0495163916873131,0.7070304161330819,0.030385458051068657,0.21667181509953715,0.0038920821980643677
Kidney mortality,Class weighting,RandomForest,15,0.08853729188247622,0.01585727228129619,0.5380517725335339,0.017079517234526283,0.11657889199173913,0.03332924407144451,0.09610994642441183,0.029114877950649376,0.5843458522336565,0.02744575215015472,0.09192092417797602,0.002844127847145666
