dataset,repeat,fold,condition,generator_seed,generator_seconds,sampling_strategy,minority_coverage_distance,minority_diversity,exact_match_rate,membership_auc
COVID-19,0,0,Standard CTGAN,10042,2.8607089519500732,outcome-conditional rejection sampling,4.092233663875847,11.609307627665846,0.0,0.4885683939851305
COVID-19,0,0,SepAware CTGAN,10042,2.8680789470672607,outcome-conditional rejection sampling,3.67608144093993,8.226143956733988,0.0,0.46481077757281014
COVID-19,0,0,Standard TVAE,20042,0.5087521076202393,minority-conditional TVAE,5.663172438402711,1.317965641808636,0.0,0.5083850410867012
COVID-19,0,0,SepAware TVAE,20042,0.5155220031738281,minority-conditional TVAE,5.7094020397754655,1.4045251396158371,0.0,0.5073788361562971
COVID-19,0,1,Standard CTGAN,10079,1.5390548706054688,outcome-conditional rejection sampling,4.579691855793222,11.636338111515427,0.0,0.4536307227905417
COVID-19,0,1,SepAware CTGAN,10079,1.5460097789764404,outcome-conditional rejection sampling,4.061546488625398,8.276093662953606,0.0,0.49424227178713176
COVID-19,0,1,Standard TVAE,20079,0.45473575592041016,minority-conditional TVAE,5.266400800061809,0.8466232390341907,0.0,0.48554977919391806
COVID-19,0,1,SepAware TVAE,20079,0.4631469249725342,minority-conditional TVAE,5.427383082018943,1.0741256492036269,0.0,0.4877578400134161
COVID-19,0,2,Standard CTGAN,10116,1.5672729015350342,outcome-conditional rejection sampling,4.320460799536251,11.10778405926471,0.0,0.5254346246296606
COVID-19,0,2,SepAware CTGAN,10116,1.5735390186309814,outcome-conditional rejection sampling,4.352432661296177,8.222177234978075,0.0,0.529487394488233
COVID-19,0,2,Standard TVAE,20116,0.47969508171081543,minority-conditional TVAE,5.988666824366781,0.6640107879576713,0.0,0.535776175303259
COVID-19,0,2,SepAware TVAE,20116,0.4858059883117676,minority-conditional TVAE,6.086091745288653,0.33953780121249055,0.0,0.5345463692772094
COVID-19,0,3,Standard CTGAN,10153,1.4926719665527344,outcome-conditional rejection sampling,4.445057695564824,11.328192859853647,0.007407407407407408,0.49312426630890493
COVID-19,0,3,SepAware CTGAN,10153,1.4998230934143066,outcome-conditional rejection sampling,4.082564838155155,8.557911675708276,0.007407407407407408,0.4567331879926212
COVID-19,0,3,Standard TVAE,20153,0.45693325996398926,minority-conditional TVAE,6.558453129196062,1.0075338297885779,0.0,0.48247526412879427
COVID-19,0,3,SepAware TVAE,20153,0.4642910957336426,minority-conditional TVAE,6.461967382375024,0.9946653621654974,0.0,0.48658393426127794
