dataset,task,repeat,fold,condition,regime,generator_seed,seconds,marginal_similarity,correlation_similarity,detection_auroc,coverage_distance,diversity,exact_match_rate,membership_proxy_auroc
Vigitel obesity,vigitel_obesity,0,0,Standard CTGAN,TSTR,10042,9.38133978843689,0.9302666666666667,0.9480174561615559,0.99178625,2.2886202199778913,5.584513701096381,0.0,0.500462375
Vigitel obesity,vigitel_obesity,0,0,SepAware CTGAN,TSTR,10042,11.720841884613037,0.8992833333333333,0.9600295028799108,0.9823878749999999,1.9607544692209176,4.55975714262336,0.0,0.524738875
Vigitel obesity,vigitel_obesity,0,0,Standard TVAE,TSTR,20042,8.030935049057007,0.6735,0.9362610963556325,0.999881875,3.7608538549646133,0.8201736679863004,0.0,0.49387549999999997
Vigitel obesity,vigitel_obesity,0,0,SepAware TVAE,TSTR,20042,9.411336898803711,0.6468500000000001,0.9272387918751085,0.999960375,3.801341710224533,0.490028559922318,0.0,0.491194625
Vigitel obesity,vigitel_obesity,0,1,Standard CTGAN,TSTR,10079,8.220451831817627,0.9155333333333335,0.948136563798402,0.9958319375,2.3964873410529512,5.357783405204061,0.0,0.49663262500000005
Vigitel obesity,vigitel_obesity,0,1,SepAware CTGAN,TSTR,10079,10.511462926864624,0.8709500000000001,0.9576271452823939,0.9861064687500001,2.035004965167615,4.419977822757626,0.0,0.51746275
Vigitel obesity,vigitel_obesity,0,1,Standard TVAE,TSTR,20079,4.087939977645874,0.6886666666666665,0.9360608026292916,0.999867375,3.85364958399957,1.3057415943459452,0.0,0.50218325
Vigitel obesity,vigitel_obesity,0,1,SepAware TVAE,TSTR,20079,5.844343900680542,0.6522333333333332,0.92605286449353,0.9999834375,3.8548068805052744,1.2092261621640408,0.0,0.5023655
Vigitel obesity,vigitel_obesity,0,2,Standard CTGAN,TSTR,10116,8.052459001541138,0.9296666666666665,0.947867108368324,0.99223025,2.2547809020261758,5.437173198308971,0.0,0.497824625
Vigitel obesity,vigitel_obesity,0,2,SepAware CTGAN,TSTR,10116,10.360846757888794,0.8829999999999999,0.9596398495384447,0.9765499374999999,2.057140284886752,4.254744508411852,0.0,0.5285704999999999
Vigitel obesity,vigitel_obesity,0,2,Standard TVAE,TSTR,20116,4.0347490310668945,0.6721499999999999,0.9373609326678458,0.9998254999999999,3.803226218806968,1.3468294329786594,0.0,0.49474962499999997
Vigitel obesity,vigitel_obesity,0,2,SepAware TVAE,TSTR,20116,5.447221994400024,0.6496666666666666,0.9228224253389575,0.999985125,3.835338746289302,1.0017770320170425,0.0,0.4951462499999999
Vigitel obesity,vigitel_obesity,0,3,Standard CTGAN,TSTR,10153,9.896759986877441,0.9085333333333333,0.9494348524206419,0.9946258125,2.3495088347708126,5.593506513669059,0.0,0.511082625
Vigitel obesity,vigitel_obesity,0,3,SepAware CTGAN,TSTR,10153,12.537243843078613,0.8755833333333333,0.9600901202908176,0.9886285625,2.0535990836906555,4.589755401322394,0.0,0.52645275
Vigitel obesity,vigitel_obesity,0,3,Standard TVAE,TSTR,20153,5.940253973007202,0.6709833333333333,0.9358187376917001,0.9997833124999999,3.8325781526406972,1.7744385999319454,0.0,0.502462
Vigitel obesity,vigitel_obesity,0,3,SepAware TVAE,TSTR,20153,8.063869953155518,0.6477166666666666,0.928556363606949,0.9998672500000001,3.8624090832995104,0.9940166606055048,0.0,0.50551725
Vigitel obesity,vigitel_obesity,0,4,Standard CTGAN,TSTR,10190,13.215774774551392,0.91775,0.9487311314020279,0.9861861875,2.341087907012201,5.477653379092754,0.0,0.510887875
Vigitel obesity,vigitel_obesity,0,4,SepAware CTGAN,TSTR,10190,16.070389986038208,0.8849333333333332,0.9578317221986044,0.9618287812499999,2.030096827453097,4.571915071022364,0.00025,0.51840325
Vigitel obesity,vigitel_obesity,0,4,Standard TVAE,TSTR,20190,6.324258804321289,0.6947666666666666,0.9325772247890383,0.999799875,3.7842477435905195,1.1314428022256704,0.0,0.511400125
Vigitel obesity,vigitel_obesity,0,4,SepAware TVAE,TSTR,20190,8.178381204605103,0.64695,0.9209938492578413,0.99992175,3.8645004187709127,0.33528127646743244,0.0,0.509487625
Vigitel obesity,vigitel_obesity,1,0,Standard CTGAN,TSTR,10043,11.77204418182373,0.9284166666666666,0.9495377490396703,0.9889339375000001,2.2432911732679783,5.650389415303845,0.0,0.488586375
Vigitel obesity,vigitel_obesity,1,0,SepAware CTGAN,TSTR,10043,14.645126342773438,0.8971166666666668,0.9601932235092304,0.9766684374999999,2.028686121794978,4.681226365829602,0.0,0.5120013750000001
Vigitel obesity,vigitel_obesity,1,0,Standard TVAE,TSTR,20043,5.51416802406311,0.7009500000000001,0.9344469085698144,0.9998856875000001,3.817861990414958,1.338699821963429,0.0,0.497258625
Vigitel obesity,vigitel_obesity,1,0,SepAware TVAE,TSTR,20043,7.215503931045532,0.64755,0.9190753136362765,0.9999443125,3.94616530767528,0.24495852339000926,0.0,0.49558662499999995
Vigitel obesity,vigitel_obesity,1,1,Standard CTGAN,TSTR,10080,10.674252033233643,0.9516833333333332,0.9477569819304356,0.9785784062500001,2.2892725891112278,5.541797673805246,0.0,0.500146
Vigitel obesity,vigitel_obesity,1,1,SepAware CTGAN,TSTR,10080,13.35402798652649,0.9009,0.9602521136613412,0.9400950312499999,2.0777689855596093,4.431450231272149,0.00025,0.525952125
Vigitel obesity,vigitel_obesity,1,1,Standard TVAE,TSTR,20080,5.13295316696167,0.7040333333333334,0.9415587189779159,0.999806,3.7497399750047027,1.491948856021149,0.0,0.494923625
Vigitel obesity,vigitel_obesity,1,1,SepAware TVAE,TSTR,20080,6.993864059448242,0.6625333333333334,0.9271001184427391,0.9999496875,3.78486948343917,0.8417769159797588,0.0,0.49215949999999997
Vigitel obesity,vigitel_obesity,1,2,Standard CTGAN,TSTR,10117,10.801523923873901,0.9125333333333333,0.9489634589915471,0.9944431875000002,2.434303394196889,5.61745532848749,0.0,0.5204621249999999
Vigitel obesity,vigitel_obesity,1,2,SepAware CTGAN,TSTR,10117,13.480865955352783,0.8803833333333333,0.9564589414944813,0.98532840625,2.1232573224919586,4.627919203571092,0.0,0.5230165
Vigitel obesity,vigitel_obesity,1,2,Standard TVAE,TSTR,20117,4.93787407875061,0.6798333333333333,0.9337718897415761,0.9998906875,3.7657048509452515,1.2364257957913376,0.0,0.505315375
Vigitel obesity,vigitel_obesity,1,2,SepAware TVAE,TSTR,20117,6.65375018119812,0.6481,0.927141802272973,0.9999778125,3.8592664106669385,0.6707980437113279,0.0,0.5079072499999999
Vigitel obesity,vigitel_obesity,1,3,Standard CTGAN,TSTR,10154,10.389371871948242,0.9403666666666665,0.9484829709510146,0.9906594375000001,2.326551271922355,5.672279831908143,0.0,0.511047
Vigitel obesity,vigitel_obesity,1,3,SepAware CTGAN,TSTR,10154,12.920703887939453,0.9215333333333332,0.9587505387546947,0.9697178125000001,2.0233878227499136,4.768040121240846,0.00025,0.532598
Vigitel obesity,vigitel_obesity,1,3,Standard TVAE,TSTR,20154,5.0118408203125,0.6807666666666667,0.9366178383238657,0.9999369374999999,3.825446133680393,1.596307094222172,0.0,0.5067311250000001
Vigitel obesity,vigitel_obesity,1,3,SepAware TVAE,TSTR,20154,6.623605012893677,0.6488499999999999,0.924983824880375,0.99993059375,3.850808023128632,1.1757054585581181,0.0,0.5040773749999999
Vigitel obesity,vigitel_obesity,1,4,Standard CTGAN,TSTR,10191,9.966360807418823,0.9224999999999999,0.9499488124289769,0.9894137500000001,2.267206212340519,5.3679255751393615,0.0,0.503644875
Vigitel obesity,vigitel_obesity,1,4,SepAware CTGAN,TSTR,10191,12.422788858413696,0.85345,0.9573089463771047,0.9687770625000001,2.073326454164665,4.342061614269999,0.0,0.520735875
Vigitel obesity,vigitel_obesity,1,4,Standard TVAE,TSTR,20191,5.012742042541504,0.6867500000000001,0.9402411466442211,0.9998596875000001,3.8307416858483316,1.2718459343108783,0.0,0.49903000000000003
Vigitel obesity,vigitel_obesity,1,4,SepAware TVAE,TSTR,20191,6.730339288711548,0.6464500000000001,0.9281475300170525,0.9999628750000001,3.881987296036427,0.5152248973036946,0.0,0.49908625
Vigitel obesity,vigitel_obesity,2,0,Standard CTGAN,TSTR,10044,10.327985763549805,0.9222166666666667,0.9479384046953154,0.9921057499999999,2.271231085091863,5.500563913300986,0.0,0.5069097499999999
Vigitel obesity,vigitel_obesity,2,0,SepAware CTGAN,TSTR,10044,12.91253399848938,0.8825500000000001,0.960187288630539,0.9800734375,2.018441076566068,4.591357390431674,0.0,0.5171083750000001
Vigitel obesity,vigitel_obesity,2,0,Standard TVAE,TSTR,20044,5.728760004043579,0.6832666666666667,0.9413669859804533,0.9998059375,3.885137600295823,1.1652181634229102,0.0,0.50128825
Vigitel obesity,vigitel_obesity,2,0,SepAware TVAE,TSTR,20044,7.26948094367981,0.6507333333333334,0.9273516422763636,0.9999798125,3.9011255462037715,1.2264496044019515,0.0,0.50177275
Vigitel obesity,vigitel_obesity,2,1,Standard CTGAN,TSTR,10081,11.16402816772461,0.9387166666666666,0.9481412235179469,0.9854050625,2.293141587740339,5.573664977440034,0.0,0.49476462499999996
Vigitel obesity,vigitel_obesity,2,1,SepAware CTGAN,TSTR,10081,13.658411979675293,0.889,0.9583768324834901,0.9580051249999999,1.9906650490731908,4.496897843157568,0.0,0.523512875
Vigitel obesity,vigitel_obesity,2,1,Standard TVAE,TSTR,20081,4.880077123641968,0.6834166666666666,0.9310155146410795,0.9997680937500001,3.827587954587117,1.2025002268783636,0.00525,0.497080125
Vigitel obesity,vigitel_obesity,2,1,SepAware TVAE,TSTR,20081,6.385821342468262,0.6528833333333334,0.9242658953593685,0.9999004375,3.834725019631205,1.239159762057131,0.02425,0.49699387500000003
Vigitel obesity,vigitel_obesity,2,2,Standard CTGAN,TSTR,10118,10.12167501449585,0.9286833333333334,0.9499016822767367,0.989687125,2.3250781302625048,5.459286062040439,0.0,0.511026875
Vigitel obesity,vigitel_obesity,2,2,SepAware CTGAN,TSTR,10118,12.664495944976807,0.8725500000000002,0.957907556311838,0.9715095,2.055429141879108,4.328702896301512,0.0,0.5277323749999999
Vigitel obesity,vigitel_obesity,2,2,Standard TVAE,TSTR,20118,4.948596000671387,0.6621666666666666,0.9305776930726878,0.999922875,3.9083135653594994,1.33572403475534,0.0,0.515315125
