dataset,task,repeat,fold,partition_seed,generator_seed,condition,regime,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Vigitel obesity,vigitel_obesity,0,0,42,10042,Standard CTGAN,TSTR,LogisticRegression,0.453551912568306,0.0,0.0,0.0,0.5,0.27344382350014457,0.6387207654145997,0.13848864337044273,3.7294897905861943,3.3971419145411597
Vigitel obesity,vigitel_obesity,0,0,42,10042,Standard CTGAN,TSTR,RandomForest,0.453551912568306,0.0,0.0,0.0,0.5,0.18289642205678452,0.5298051027639972,0.1422800603127169,-1.0880033211473463,0.30215113211980443
Vigitel obesity,vigitel_obesity,0,0,42,10042,Standard CTGAN,TSTR,CatBoost,0.453551912568306,0.0,0.0,0.0,0.5,0.1887343385073705,0.5376293408929836,0.14250759517915265,-1.1306654728172025,0.25858300829235914
Vigitel obesity,vigitel_obesity,0,0,42,10042,SepAware CTGAN,TSTR,LogisticRegression,0.4971011660478145,0.10232558139534884,0.24444444444444444,0.06470588235294118,0.5118710134656272,0.25714113045378745,0.6503791637136782,0.14245210548399564,-0.7668202458999989,0.5624316206472418
Vigitel obesity,vigitel_obesity,0,0,42,10042,SepAware CTGAN,TSTR,RandomForest,0.4872326696165192,0.07291666666666667,0.3181818181818182,0.041176470588235294,0.5115520907158044,0.2948836395300181,0.6711304039688164,0.13619849298301756,-0.5489233824615993,0.7271658970857341
Vigitel obesity,vigitel_obesity,0,0,42,10042,SepAware CTGAN,TSTR,CatBoost,0.5017438963627304,0.1111111111111111,0.2608695652173913,0.07058823529411765,0.5148121899362155,0.2717721678193628,0.6780333097094259,0.1399239646247856,-0.6967637276821342,0.5449785019365244
Vigitel obesity,vigitel_obesity,0,0,42,20042,Standard TVAE,TSTR,LogisticRegression,0.5514001038862917,0.26519337016574585,0.25,0.2823529411764706,0.554429482636428,0.22805531786583694,0.597962437987243,0.23537224177050484,-1.3227487624413623,0.047574711595495464
Vigitel obesity,vigitel_obesity,0,0,42,20042,Standard TVAE,TSTR,RandomForest,0.5619235977630992,0.32229580573951433,0.2579505300353357,0.4294117647058823,0.5881998582565556,0.2751688067552244,0.6540574060949682,0.1995783270247346,-1.3515885748446843,0.4422979963813476
Vigitel obesity,vigitel_obesity,0,0,42,20042,Standard TVAE,TSTR,CatBoost,0.5047555872933145,0.3378582202111614,0.22718052738336714,0.6588235294117647,0.5998936924167257,0.27434889084689057,0.6545109851169384,0.3792573971498285,-1.7113661577788002,0.11091366554913647
Vigitel obesity,vigitel_obesity,0,0,42,20042,SepAware TVAE,TSTR,LogisticRegression,0.30684403990897957,0.29644670050761424,0.17914110429447852,0.8588235294117647,0.5263997165131112,0.18605318052203548,0.5395818568391212,0.676866510430742,-1.77033210428825,0.021173407971886618
Vigitel obesity,vigitel_obesity,0,0,42,20042,SepAware TVAE,TSTR,RandomForest,0.3416813737849119,0.32719836400818,0.19801980198019803,0.9411764705882353,0.5802267895109852,0.259356070579772,0.6712012756909993,0.4710251761673624,-2.5247851760821978,0.6879866801793343
Vigitel obesity,vigitel_obesity,0,0,42,20042,SepAware TVAE,TSTR,CatBoost,0.3415548911063879,0.324435318275154,0.19651741293532338,0.9294117647058824,0.5755492558469171,0.19389615907925753,0.5750460666194188,0.6250312744878336,-1.899258121671301,0.085790639132892
Vigitel obesity,vigitel_obesity,0,1,42,10079,Standard CTGAN,TSTR,LogisticRegression,0.453551912568306,0.0,0.0,0.0,0.5,0.208955371445186,0.5349681077250177,0.14053346873280073,-0.11173224186145056,0.9452674251122533
Vigitel obesity,vigitel_obesity,0,1,42,10079,Standard CTGAN,TSTR,RandomForest,0.453551912568306,0.0,0.0,0.0,0.5,0.18805057462539412,0.5302409638554217,0.1423586973075991,-1.1090489664606658,0.31178550779646
Vigitel obesity,vigitel_obesity,0,1,42,10079,Standard CTGAN,TSTR,CatBoost,0.4593150475802758,0.011627906976744186,0.5,0.0058823529411764705,0.502338766832034,0.17406246094554767,0.4782140326009922,0.14471156545941152,-1.643834183239512,-0.033690196706372015
Vigitel obesity,vigitel_obesity,0,1,42,10079,SepAware CTGAN,TSTR,LogisticRegression,0.574064485686825,0.3155216284987277,0.27802690582959644,0.36470588235294116,0.5853649893692416,0.2754055095397893,0.6469029057406095,0.17601024532447423,-1.2212433510757086,0.4269252892617937
Vigitel obesity,vigitel_obesity,0,1,42,10079,SepAware CTGAN,TSTR,RandomForest,0.5609948394495412,0.234375,0.3488372093023256,0.17647058823529413,0.5545003543586109,0.27813801849301667,0.6450815024805103,0.15127833539290078,-0.9449146864952035,0.6471634732011395
Vigitel obesity,vigitel_obesity,0,1,42,10079,SepAware CTGAN,TSTR,CatBoost,0.5548747233005037,0.23972602739726026,0.28688524590163933,0.20588235294117646,0.5505315379163713,0.27697070144068925,0.6410489014883062,0.15795653545690386,-1.0808772794101005,0.44978588256691276
Vigitel obesity,vigitel_obesity,0,1,42,20079,Standard TVAE,TSTR,LogisticRegression,0.5437729150422217,0.3037974683544304,0.23684210526315788,0.4235294117647059,0.5720056697377747,0.23798320239315698,0.5987526576895819,0.3080435893461123,-1.4589476851326457,0.03418026760349385
Vigitel obesity,vigitel_obesity,0,1,42,20079,Standard TVAE,TSTR,RandomForest,0.5518968381017527,0.27989821882951654,0.24663677130044842,0.3235294117647059,0.5605598866052445,0.23654994022967218,0.6068603827072997,0.19596997049898268,-1.422948957027333,0.10724078628507604
Vigitel obesity,vigitel_obesity,0,1,42,20079,Standard TVAE,TSTR,CatBoost,0.5206322787243465,0.31833910034602075,0.22549019607843138,0.5411764705882353,0.5802267895109852,0.21577043652389988,0.5850389794472006,0.3333243256963555,-1.547182741716634,0.06077625509823691
Vigitel obesity,vigitel_obesity,0,1,42,20079,SepAware TVAE,TSTR,LogisticRegression,0.34829140540404424,0.292896174863388,0.17986577181208055,0.788235294117647,0.526045357902197,0.18188520931236507,0.5387491141034727,0.6284528026406534,-1.7348164279328246,0.0203894276608961
Vigitel obesity,vigitel_obesity,0,1,42,20079,SepAware TVAE,TSTR,RandomForest,0.3985459082772316,0.31554524361948955,0.19653179190751446,0.8,0.5650602409638554,0.24541739996067485,0.6124734231041814,0.495556354734568,-1.8215235292942356,0.06807514239262946
Vigitel obesity,vigitel_obesity,0,1,42,20079,SepAware TVAE,TSTR,CatBoost,0.3931025493766063,0.3117782909930716,0.1939655172413793,0.7941176470588235,0.5591070163004961,0.23237517374835565,0.5969631467044648,0.5407048203164859,-1.7556986772693925,0.059834332630900725
Vigitel obesity,vigitel_obesity,0,2,42,10116,Standard CTGAN,TSTR,LogisticRegression,0.453551912568306,0.0,0.0,0.0,0.5,0.13521833333429636,0.39403260099220405,0.14411430746092152,-4.9537972502524905,-2.0756534142781318
Vigitel obesity,vigitel_obesity,0,2,42,10116,Standard CTGAN,TSTR,RandomForest,0.453551912568306,0.0,0.0,0.0,0.5,0.14604112824488935,0.44430191353649895,0.1475967936580252,-2.3554753525500645,-0.5045389577260829
Vigitel obesity,vigitel_obesity,0,2,42,10116,Standard CTGAN,TSTR,CatBoost,0.453551912568306,0.0,0.0,0.0,0.5,0.15033787465015294,0.4364528703047484,0.14683406432052573,-2.472482382112446,-0.5589919064004407
Vigitel obesity,vigitel_obesity,0,2,42,10116,SepAware CTGAN,TSTR,LogisticRegression,0.47953922556462303,0.0730593607305936,0.16326530612244897,0.047058823529411764,0.498830616583983,0.21945761223544136,0.5933238837703756,0.14830050746506868,-1.0283835586766683,0.34232623179979377
Vigitel obesity,vigitel_obesity,0,2,42,10116,SepAware CTGAN,TSTR,RandomForest,0.4983428867488507,0.09852216748768473,0.30303030303030304,0.058823529411764705,0.5155563430191353,0.2565825909683812,0.6483912119064494,0.14156410766182864,-0.7432789263284031,0.5567963015372424
Vigitel obesity,vigitel_obesity,0,2,42,10116,SepAware CTGAN,TSTR,CatBoost,0.5483377728425417,0.21455938697318008,0.3076923076923077,0.16470588235294117,0.544401133947555,0.25404143083531816,0.6364812189936215,0.1509157346556515,-0.9823581198809249,0.34384631958519013
Vigitel obesity,vigitel_obesity,0,2,42,20116,Standard TVAE,TSTR,LogisticRegression,0.451333260177768,0.23076923076923078,0.16121495327102803,0.40588235294117647,0.48667611622962437,0.16111351048611477,0.48089298369950384,0.43633220970671593,-1.5903256129962797,-0.007530395729417238
Vigitel obesity,vigitel_obesity,0,2,42,20116,Standard TVAE,TSTR,RandomForest,0.5007274211876115,0.27255985267034993,0.19839142091152814,0.43529411764705883,0.5375265768958186,0.22728458461000411,0.5600354358610914,0.23808609749167442,-1.4902885019278662,0.18362649846221185
Vigitel obesity,vigitel_obesity,0,2,42,20116,Standard TVAE,TSTR,CatBoost,0.47779822872905925,0.2783171521035599,0.19196428571428573,0.5058823529411764,0.5348688873139618,0.20653392766063666,0.5654075124025514,0.36557439950840087,-1.5786395941070757,0.05389257201391846
Vigitel obesity,vigitel_obesity,0,2,42,20116,SepAware TVAE,TSTR,LogisticRegression,0.2566887990415092,0.28790786948176583,0.1720183486238532,0.8823529411764706,0.5062367115520907,0.16178757150431183,0.48233876683203397,0.7137332113121422,-1.5814546857394154,-0.00047253700663509404
Vigitel obesity,vigitel_obesity,0,2,42,20116,SepAware TVAE,TSTR,RandomForest,0.3457903663874504,0.3176593521421108,0.193138500635324,0.8941176470588236,0.564528703047484,0.19684321701785798,0.5713607370659107,0.636957293083009,-1.8955590207081716,0.03961156116827372
Vigitel obesity,vigitel_obesity,0,2,42,20116,SepAware TVAE,TSTR,CatBoost,0.38711477419295826,0.30927835051546393,0.19203413940256045,0.7941176470588235,0.5548901488306166,0.1747238927727262,0.5408504606661942,0.5680728593353487,-1.7336688448754274,0.04818885003822807
Vigitel obesity,vigitel_obesity,0,3,42,10153,Standard CTGAN,TSTR,LogisticRegression,0.453551912568306,0.0,0.0,0.0,0.5,0.19311026392545966,0.5379978738483344,0.14090927982797694,-0.6301952625383251,0.5984402746278598
Vigitel obesity,vigitel_obesity,0,3,42,10153,Standard CTGAN,TSTR,RandomForest,0.453551912568306,0.0,0.0,0.0,0.5,0.16285936846284219,0.48372430900070873,0.144402816606727,-1.6648761613570113,-0.05137525552790826
Vigitel obesity,vigitel_obesity,0,3,42,10153,Standard CTGAN,TSTR,CatBoost,0.453551912568306,0.0,0.0,0.0,0.5,0.16214264084772212,0.47094613749114106,0.1464103168762597,-1.941055698197757,-0.2086019477446609
Vigitel obesity,vigitel_obesity,0,3,42,10153,SepAware CTGAN,TSTR,LogisticRegression,0.5421551140319919,0.19327731092436976,0.3382352941176471,0.13529411764705881,0.5405386250885896,0.2746534600222141,0.653951098511694,0.1420464281742611,-0.7929653959322362,0.589050244719571
Vigitel obesity,vigitel_obesity,0,3,42,10153,SepAware CTGAN,TSTR,RandomForest,0.5573384342624639,0.2248995983935743,0.35443037974683544,0.16470588235294117,0.5516300496102056,0.2818543548326626,0.6678348688873139,0.1427723094521251,-0.8027577310169736,0.6288175355569158
Vigitel obesity,vigitel_obesity,0,3,42,10153,SepAware CTGAN,TSTR,CatBoost,0.585134850835334,0.29431438127090304,0.34108527131782945,0.25882352941176473,0.5782069454287739,0.28819830930534396,0.6742629340892983,0.15542584284883373,-1.0200511902046474,0.4093915979090514
Vigitel obesity,vigitel_obesity,0,3,42,20153,Standard TVAE,TSTR,LogisticRegression,0.5236838098590467,0.2698072805139186,0.21212121212121213,0.37058823529411766,0.5443302622253721,0.2123834541466152,0.5716761162296244,0.31794501907732114,-1.4869771014609703,0.022195495497564232
