dataset,condition,auprc_mean,auprc_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,positive_f1_mean,positive_f1_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
COVID-19,Class weighting,0.3477193565928319,0.08259715102746493,0.5860125272331155,0.08610809279093236,0.5301080013672927,0.0628583226885608,0.32544971232648656,0.09373770907739769,0.3020286044928249,0.09078163118828186,0.3727941176470588,0.13863179496543412,0.5394079520697168,0.06678639934117411,0.2338743028869856,0.033185037764759236,-0.950251269301256,0.19818970318247764,0.3877699411396234,0.4456631752269007
COVID-19,Random oversampling,0.35501257253344093,0.07937924990339515,0.5945250544662309,0.08118635751245032,0.5378754266296365,0.07171025491331132,0.33275096264980386,0.10711098592190721,0.31211643088833224,0.11207246648233785,0.3742647058823529,0.14194094141894548,0.5460822440087146,0.07293229939142576,0.23141257213703004,0.03180254638270559,-0.9445665364394902,0.17768843915059626,0.3714086631446167,0.3535276822979677
COVID-19,Random undersampling,0.3322411983381127,0.08212062548727078,0.5614760348583878,0.08843662196253912,0.4997612707406347,0.05900206236448439,0.35607135640382476,0.07730397474381753,0.2752277791716501,0.057872776010796594,0.5125,0.13551445380822127,0.5330953159041394,0.07193299683668779,0.2790961665576775,0.03854527258604952,-1.130934432721543,0.08799724758934035,0.267130942675305,0.43452665969184356
COVID-19,Real only,0.3514466027835998,0.08173696211068525,0.5894291938997821,0.08179086552962488,0.49324888148489116,0.0671667654899294,0.15108788948390992,0.1352456140484482,0.25204912371579036,0.23354526856894198,0.1133986928104575,0.10495650538574747,0.5212919389978213,0.043393191737879186,0.19784157262510604,0.02152267095596804,-0.584398195879079,0.5151597700177131,0.4272855566670365,0.4432380910334951
COVID-19,SMOTE,0.3261496077042038,0.08126091930886706,0.5609803921568627,0.0736441061800979,0.5068848777442844,0.06912079455028013,0.22888808309069758,0.11283200387436601,0.27523847430710174,0.14971172816339046,0.20383986928104572,0.10257513330460818,0.5107347494553377,0.06068543680275142,0.2180769498114747,0.024267067496602655,-0.917888763721922,0.2392171769598498,0.23553917054111764,0.31966315737851203
COVID-19,SepAware CTGAN,0.32315168980229475,0.055211397887857,0.5556791938997822,0.05979643063817027,0.5335443682838547,0.04577441843104647,0.3249560561173213,0.0649854831535347,0.2991475064220985,0.06204610445504729,0.3616013071895424,0.08359481428655602,0.5389444444444444,0.047495117850990705,0.23943118596575563,0.025617763254722276,-1.003077382455106,0.1293815362595813,0.19539626165850107,0.23794008289321275
COVID-19,SepAware TVAE,0.34264626591429,0.08878630515255598,0.582291394335512,0.07976195361385048,0.5084446831283949,0.07818237256649532,0.21181501133399736,0.13671143091414933,0.2919996125878479,0.1771103262549804,0.17802287581699344,0.1220845140621868,0.518427559912854,0.06562022507588985,0.21483927971601188,0.029726907106457864,-0.8467582614665711,0.2702265803074158,0.2447862052194917,0.2814253059196713
COVID-19,Standard CTGAN,0.31097184961173563,0.05143026872962341,0.5426203703703704,0.06938282358338228,0.5208854144429169,0.047405934151628436,0.3092452871456747,0.08288774862456613,0.28015562648422354,0.06801280269090888,0.3547385620915033,0.11820353805427804,0.52909477124183,0.05041890707531921,0.24038948540661814,0.021287215879631376,-1.0547901089794522,0.13836365695608416,0.1749592392021124,0.3199890777952204
COVID-19,Standard TVAE,0.3499208130107967,0.09398714246968858,0.5854515250544662,0.08480498983916901,0.5101916630565254,0.07149923602402021,0.2166914417820808,0.12734223363107072,0.2855244332359915,0.1664272745198205,0.18333333333333332,0.11180614644756304,0.5193224400871459,0.058200071290102386,0.2135434819813324,0.029623663953872264,-0.8365752841541446,0.2710084864745143,0.2677085606998758,0.30721693954108004
Kidney mortality,Class weighting,0.10622701589499348,0.019309560750956526,0.6487920614103878,0.05961732551572454,0.5233514315792126,0.020269536978037503,0.1583148763869835,0.038034908524564814,0.12267738179735714,0.03033712858898137,0.370812951316096,0.21397506920059597,0.6021028343978241,0.056245564344785656,0.15617657164811904,0.05168913856675363,-2.6098153766158627,0.19867694579015704,0.5507133711466454,0.24037037780899306
