,,marginal_similarity,marginal_similarity,correlation_similarity,correlation_similarity,detection_auroc,detection_auroc,coverage_distance,coverage_distance,diversity,diversity,exact_match_rate,exact_match_rate,membership_proxy_auroc,membership_proxy_auroc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,condition,,,,,,,,,,,,,,
COVID-19 hospital mortality,SepAware CTGAN,0.9443169184155266,0.0070369712982576195,0.9614943654111119,0.001783249245891308,0.7909564539704628,0.0284160183248695,4.462530840257006,0.22141614142017274,7.975775457180406,0.5135336570728758,0.0004984441090427934,0.001315393322780497,0.5249235394359493,0.03681406981872212
COVID-19 hospital mortality,SepAware TVAE,0.8816247047590331,0.005863109979449787,0.9513059023887066,0.0008132763111952606,0.9892619552259233,0.002318131345182429,5.9396859346318,0.19322779776321464,0.8964542614581309,0.457075010739521,0.00024968789013732665,0.0009670370402515332,0.516229543464157,0.031700818585364436
COVID-19 hospital mortality,Standard CTGAN,0.9425417741617641,0.006862662995468099,0.95602591236222,0.0012897994701458616,0.8413899103654362,0.0350385060277045,4.694056576093652,0.1443254425030164,11.310854910505801,1.3595714527461056,0.00024968789013732665,0.0009670370402515334,0.5021869076476657,0.037518549798987805
COVID-19 hospital mortality,Standard TVAE,0.8782733986406634,0.004539576963614989,0.9513789819645991,0.0008258770619137931,0.9886114029894536,0.0021905396813057393,5.844093793126778,0.13040748324418402,1.0051343286697574,0.3742502606574767,0.0,0.0,0.5164794854464484,0.03133109496832477
Kidney-cohort 365-day mortality,SepAware CTGAN,0.8437822222222222,0.01993358562774985,0.8700734677290823,0.001594909662249896,0.9944575145833333,0.0008059727875855612,2.0784896666841695,0.16364363783744892,4.110453327807168,0.301805236408272,5e-05,0.00010350983390135314,0.5018410999999999,0.011126071922696625
Kidney-cohort 365-day mortality,SepAware TVAE,0.7822588888888888,0.014864576335356126,0.8952929653841264,0.005325703619922659,0.98459411875,0.01159939538038933,2.8979289357120233,0.3157622312161281,1.855589282304974,0.4984316562825854,0.13425,0.08190483371397739,0.5007106916666666,0.01283435906959832
Kidney-cohort 365-day mortality,Standard CTGAN,0.8297644444444444,0.02175758841046394,0.8598837975168697,0.0018191215444242957,0.9978834333333334,0.0002652658154142364,2.422492935123381,0.2054622717236775,6.714617632510833,0.4738027975490724,1.6666666666666667e-05,6.454972243679028e-05,0.501280525,0.012444604013368743
Kidney-cohort 365-day mortality,Standard TVAE,0.8231777777777777,0.0033679256643256226,0.9035661351674714,0.0026113871342301966,0.9782473083333334,0.0032525561731842636,2.9185581414662223,0.33798695040770604,2.0928506285860986,0.3829979436925214,0.10518333333333334,0.015405375530576826,0.5002842583333333,0.01293092361809912
Vigitel current smoking,SepAware CTGAN,0.8226790123456791,0.014423001086809974,0.9625037162114899,0.0005632194088452134,0.9549889666666667,0.018768631871786855,4.173897274591609,0.06363843298605341,6.414545500373523,0.17446513185491871,0.0,0.0,0.5115364333333333,0.011001114835741274
Vigitel current smoking,SepAware TVAE,0.6239271604938271,0.013638156042816745,0.9402043198678995,0.004437374649358618,0.9992995958333334,0.0003847326530862687,5.413265043295933,0.12001646016110777,1.7478373116427757,0.39752967335814693,0.0,0.0,0.5016406666666666,0.013843364569502846
Vigitel current smoking,Standard CTGAN,0.846646913580247,0.007150447914813126,0.9584668156586847,0.0005486582604428051,0.9658091916666667,0.016846894192202092,4.292135555280672,0.06306931868392776,7.319547540041525,0.12365880347675759,0.0,0.0,0.49862725,0.012483273604464874
Vigitel current smoking,Standard TVAE,0.6430888888888888,0.008987108775499514,0.9400910797440144,0.0038203110330439233,0.9991736708333333,0.00046434399964816913,5.336153302400766,0.10701285573780604,2.1428589326534038,0.27281953884715476,0.0,0.0,0.5019252833333333,0.014019086919671714
Vigitel obesity,SepAware CTGAN,0.8867688888888889,0.016151158328241176,0.9587356360772737,0.001247247894869246,0.9747290041666666,0.013607920650855943,2.0378790930621973,0.04212860677394265,4.52259514233371,0.14486026196201782,5e-05,0.00010350983390135312,0.52182745,0.006720462788459676
Vigitel obesity,SepAware TVAE,0.6495188888888889,0.004151720176418512,0.9253257198436219,0.0026583182501535977,0.9999514333333334,3.375996642415722e-05,3.856693490888522,0.04535260390783329,0.7974631405503293,0.3330463070635496,0.0016166666666666666,0.006261323076368658,0.5002279166666667,0.007525312283753147
Vigitel obesity,Standard CTGAN,0.925501111111111,0.011951694219188918,0.948678287096566,0.0007461992676048338,0.9905971145833334,0.004572411936748199,2.312531758135977,0.05393407782749919,5.536051992875654,0.0981396867761398,0.0,0.0,0.5025340333333334,0.010114447998900874
Vigitel obesity,Standard TVAE,0.6828366666666666,0.01123177218203822,0.93594886495349,0.003919549588741292,0.9998505270833333,5.051858975752e-05,3.8143419463824486,0.04594554380856115,1.2955662765342655,0.21785785151642384,0.00035,0.001355544171172596,0.5008126666666667,0.007245839088725509
