dataset,condition,auprc_mean,auprc_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,positive_f1_mean,positive_f1_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
COVID-19 hospital mortality,SepAware CTGAN,0.33295692100348534,0.06529395325630728,0.5662391067538126,0.08088469139174047,0.5171257258996096,0.06381038038083689,0.226099976581286,0.12017300267381051,0.3554812834224599,0.22211208547620614,0.194281045751634,0.1216016186690245,0.5288834422657952,0.0520773121075328,0.22878048951248092,0.04712593070693172,-0.8221627285397247,0.3614125031465018,0.22655720383106845,0.31076212002092185
COVID-19 hospital mortality,SepAware TVAE,0.32356015332693683,0.07245480487210093,0.5638951525054466,0.08699169208271025,0.4782872419826907,0.06506518471097207,0.32966713681379517,0.10884268081809896,0.2636464081734763,0.08090710351808028,0.4977124183006536,0.22255320351081403,0.524677559912854,0.06662460580478585,0.38491884619967237,0.10499686174515106,-1.0786034498763803,0.2460614691408538,0.052317905678913944,0.07598692271728183
COVID-19 hospital mortality,Standard CTGAN,0.2787113493126661,0.05655688901794122,0.47565141612200434,0.0973919687853707,0.4590511318168918,0.04741144059025431,0.08865466290637913,0.10307260098545672,0.18330151330151329,0.22825628909224094,0.06797385620915032,0.08859532102102827,0.49898474945533766,0.03295408431544722,0.21424594924096851,0.025647248864284693,-1.2102119224118895,0.7189694876675811,-0.09324180583039157,0.5432596520254462
COVID-19 hospital mortality,Standard TVAE,0.3316223845218753,0.063497297528524,0.5682366557734204,0.07885537513303761,0.49091247226958573,0.0707341129460361,0.3274620844505755,0.11427875125281643,0.2712716026150001,0.0817141717800646,0.46830065359477124,0.21782229936509148,0.5311699346405229,0.06036692771852515,0.3465847404598916,0.10628682636972535,-1.0439729136760778,0.22655422803114567,0.09308266994527803,0.13093144319207473
Kidney-cohort 365-day mortality,SepAware CTGAN,0.08013266335343461,0.02645591837317017,0.5232832454713049,0.0695313802525109,0.4908926708059269,0.011618920375431326,0.010942463087012468,0.02564161895434888,0.03502480254359953,0.09340067327081072,0.007485053187359258,0.01852263674970265,0.5018407455902066,0.006562565205045915,0.059183958399046686,0.009573164394895509,-2.5299791527118307,0.5292756045000614,0.13472857176862124,0.20726033631555607
Kidney-cohort 365-day mortality,SepAware TVAE,0.10002367065363191,0.019218187181090543,0.658529037808118,0.05265437743135154,0.5185188100159216,0.023576385672363216,0.1576583202809136,0.023090588906798718,0.1055557718211614,0.021826469258880505,0.3675906514480938,0.133528338091869,0.5917176520545655,0.035193238028661464,0.1761220065232762,0.06921294531924206,-2.5178601185749807,0.2994608468318902,0.1598529362658325,0.12730829665208154
Kidney-cohort 365-day mortality,Standard CTGAN,0.06277773937896886,0.013457122868084268,0.5104944966291547,0.07491271312893383,0.48621315695622885,0.00035245569842653167,0.0,0.0,0.0,0.0,0.0,0.0,0.49985916729734414,0.0006698283278764075,0.0515859956272206,0.0016988150722918095,-2.51752005961619,1.4648304088408013,0.11554599653995208,0.4962703654892479
Kidney-cohort 365-day mortality,Standard TVAE,0.10151374556504905,0.01848576634462005,0.664475020181171,0.05075570193997572,0.5239928673606016,0.023483141176997645,0.1564390189926254,0.03316128339615704,0.10805677851252694,0.02289773595486411,0.3358723503377591,0.13015665707910998,0.5864812685475969,0.03830004295681939,0.15955500985296173,0.0651795369721341,-2.433752993370029,0.3228253630465478,0.15122639261296594,0.10814354130562334
Vigitel current smoking,SepAware CTGAN,0.2788714890007532,0.02342213622147621,0.7109661437943073,0.02305889213172293,0.6009220497167577,0.019612417232200304,0.3036038999763076,0.042061206159838514,0.30414273640881945,0.03919616966680773,0.31916105720196986,0.08175230627956058,0.6065235021738924,0.027241329097281997,0.12840557119731363,0.012970907443834426,-1.2326325216914822,0.17983180302061683,0.49390942790990705,0.15141847349358012
Vigitel current smoking,SepAware TVAE,0.17874431564713558,0.054936516031870594,0.5916345978922558,0.09810603716696216,0.4433936481362727,0.08412480499893805,0.2636638462615241,0.040769364319774515,0.16550378776932104,0.03152376183900264,0.6892036017134365,0.11141060531552545,0.5883265451101952,0.06090579531762411,0.41923170085570194,0.14735229952690745,-2.0230464069720697,0.17494550719759921,0.17132200457725524,0.18531270505521272
Vigitel current smoking,Standard CTGAN,0.13868248670679378,0.02398553611853161,0.5187335378692594,0.0590794984392326,0.4673249647807573,0.0012754882662591286,0.0003584229390681,0.00240437416935461,0.022222222222222223,0.14907119849998596,0.0001806684733514,0.0012119609634145187,0.5000143175129965,0.00075327239081092,0.10918532966084812,0.001586473852402342,-1.521368860941976,1.3836829625483782,0.23458707805192916,0.7070380092210529
Vigitel current smoking,Standard TVAE,0.1831213621515211,0.05934408729808325,0.5905702599206918,0.09939138304717425,0.42809005111854204,0.10321414883365407,0.262022927069733,0.043656723151787494,0.16586592272105066,0.03979748852447336,0.7001427863741003,0.13474072316954191,0.5823266803700173,0.06151343288171201,0.4322184788621468,0.16798526144706466,-2.0327990839340595,0.23910823879499032,0.1726748697631319,0.18648781971355008
Vigitel obesity,SepAware CTGAN,0.2792462912652871,0.019755607027805093,0.6594330047393393,0.023762168566571987,0.5475931783678882,0.03692364761694621,0.21215160883013773,0.08554515999942935,0.3387387380784729,0.07151957672340344,0.17522837595077015,0.09925402786116261,0.5502570553839014,0.028888717443886498,0.14794741585691618,0.010269886248741877,-0.8546662343822149,0.2191225388825451,0.5559697967886944,0.15497209162909306
