dataset,generator,metric,mean_delta,lower,upper,n
COVID-19,CTGAN,auprc,0.015170709798064548,-0.00997074436372663,0.04031216395985573,45
COVID-19,CTGAN,macro_f1,0.032794791416473484,0.01159059853176848,0.053998984301178485,45
COVID-19,TVAE,auprc,-0.015075612351458975,-0.02532956353827759,-0.00482166116464036,45
COVID-19,TVAE,macro_f1,-0.029281360016352558,-0.041621606684679215,-0.0169411133480259,45
Vigitel,CTGAN,auprc,0.013151706468771033,0.008043577493985453,0.018259835443556614,45
Vigitel,CTGAN,macro_f1,0.018913242409666037,0.01369984814553031,0.024126636673801764,45
Vigitel,TVAE,auprc,-0.000883582470895802,-0.005108036769128952,0.003340871827337348,45
Vigitel,TVAE,macro_f1,-0.005566877648346648,-0.00907474908258867,-0.002059006214104625,45
Vigitel smoking,CTGAN,auprc,0.037192866294281764,0.029533151021822638,0.04485258156674089,45
Vigitel smoking,CTGAN,macro_f1,0.0379261511179474,0.032487532196042244,0.043364770039852556,45
Vigitel smoking,TVAE,auprc,0.007263074927829591,0.0043722273041185075,0.010153922551540675,45
Vigitel smoking,TVAE,macro_f1,0.0038403652118061036,0.00047105897455385765,0.0072096714490583495,45
Kidney mortality,CTGAN,auprc,0.0002663612933550148,-0.00619854658356178,0.006731269170271809,45
Kidney mortality,CTGAN,macro_f1,-0.001740070314369387,-0.009361761618768963,0.005881620990030188,45
Kidney mortality,TVAE,auprc,-0.0006332069474908887,-0.0037959972054084894,0.0025295833104267123,45
Kidney mortality,TVAE,macro_f1,0.0005640297968310966,-0.002533975406588396,0.003662035000250589,45
