dataset,condition,coverage,diversity,exact_match,membership_auc
COVID-19,SepAware CTGAN,4.301453029176531,7.166732605498011,0.0,0.5142157996195393
COVID-19,SepAware TVAE,6.038456253978082,0.6047900563481287,0.0,0.512291983223142
COVID-19,Standard CTGAN,4.437123664296596,11.119399650552607,0.0,0.5171083211792586
COVID-19,Standard TVAE,5.883417026620387,1.0111501891253865,0.0,0.5156289754834951
Kidney mortality,SepAware CTGAN,1.64713743240993,4.089499851987349,5.5991041433366666e-05,0.4999613833333333
Kidney mortality,SepAware TVAE,3.1346862923484475,1.436367552973182,0.00033578958648091333,0.4985897833333333
Kidney mortality,Standard CTGAN,1.7388328954985621,6.907849379667582,1.8663680477786668e-05,0.5005035916666667
Kidney mortality,Standard TVAE,3.1681783292115933,2.037621712651138,9.328706996507334e-05,0.5001325916666667
Vigitel,SepAware CTGAN,1.714053863186149,4.33454065108917,0.0,0.5135881583333333
Vigitel,SepAware TVAE,4.184677407855635,0.22722601293168904,0.0,0.5002303083333334
Vigitel,Standard CTGAN,1.9866779137762214,5.554846995782918,0.0,0.5022199749999999
Vigitel,Standard TVAE,3.8987692924784607,1.343015268348816,0.0,0.50040345
Vigitel smoking,SepAware CTGAN,3.6195248940618594,6.132513599040682,0.0,0.5089195166666667
Vigitel smoking,SepAware TVAE,5.443325828194129,1.2999032318504204,0.0,0.5002532
Vigitel smoking,Standard CTGAN,3.8072696902828564,7.357447405020448,0.0,0.5008989
Vigitel smoking,Standard TVAE,5.20702208528351,2.0887209957873125,0.0,0.50047445
